original_row_index,source_row_indices,doi,source_dois,conductivity,conductivity_std,replicate_count,cation_name,anion_name,salt_conc,solvents,solvent_fracs,temperature,original_salt,original_concentration,original_concentration_units,salt_conc_units,solvent_ratio_basis,composition_warning,composition_summary
23,[23],10.1016/j.electacta.2008.04.023,"[""10.1016/j.electacta.2008.04.023""]",4.534450652,0.0,1,Li,PF6,0.201931519,"[""EC"",""EMC""]","[0.3,0.7]",298.15,LiPF6,0.201931519,mol/l,mol/L,weight,,EC:0.300+EMC:0.700
24,[24],10.1016/j.electacta.2008.04.023,"[""10.1016/j.electacta.2008.04.023""]",7.802607076,0.0,1,Li,PF6,0.498683055,"[""EC"",""EMC""]","[0.3,0.7]",298.15,LiPF6,0.498683055,mol/l,mol/L,weight,,EC:0.300+EMC:0.700
25,[25],10.1016/j.electacta.2008.04.023,"[""10.1016/j.electacta.2008.04.023""]",9.348230912,0.0,1,Li,PF6,0.798946444,"[""EC"",""EMC""]","[0.3,0.7]",298.15,LiPF6,0.798946444,mol/l,mol/L,weight,,EC:0.300+EMC:0.700
26,[26],10.1016/j.electacta.2008.04.023,"[""10.1016/j.electacta.2008.04.023""]",9.506517691,0.0,1,Li,PF6,1.000877963,"[""EC"",""EMC""]","[0.3,0.7]",298.15,LiPF6,1.000877963,mol/l,mol/L,weight,,EC:0.300+EMC:0.700
27,[27],10.1016/j.electacta.2008.04.023,"[""10.1016/j.electacta.2008.04.023""]",9.217877095,0.0,1,Li,PF6,1.201053556,"[""EC"",""EMC""]","[0.3,0.7]",298.15,LiPF6,1.201053556,mol/l,mol/L,weight,,EC:0.300+EMC:0.700
28,[28],10.1016/j.electacta.2008.04.023,"[""10.1016/j.electacta.2008.04.023""]",7.774674115,0.0,1,Li,PF6,1.599648815,"[""EC"",""EMC""]","[0.3,0.7]",298.15,LiPF6,1.599648815,mol/l,mol/L,weight,,EC:0.300+EMC:0.700
29,[29],10.1016/j.electacta.2008.04.023,"[""10.1016/j.electacta.2008.04.023""]",5.931098696,0.0,1,Li,PF6,1.998244074,"[""EC"",""EMC""]","[0.3,0.7]",298.15,LiPF6,1.998244074,mol/l,mol/L,weight,,EC:0.300+EMC:0.700
30,[30],10.1016/j.electacta.2008.04.023,"[""10.1016/j.electacta.2008.04.023""]",5.158286778,0.0,1,Li,PF6,2.200175593,"[""EC"",""EMC""]","[0.3,0.7]",298.15,LiPF6,2.200175593,mol/l,mol/L,weight,,EC:0.300+EMC:0.700
31,[31],10.1016/j.jpowsour.2010.12.040,"[""10.1016/j.jpowsour.2010.12.040""]",15.58303956,0.0,1,Li,FSI,1.0,"[""EC"",""EMC""]","[0.3,0.7]",332.5420421,LiFSI,1.0,mol/l,mol/L,volume,,EC:0.300+EMC:0.700
32,[32],10.1016/j.jpowsour.2010.12.040,"[""10.1016/j.jpowsour.2010.12.040""]",13.92880901,0.0,1,Li,FSI,1.0,"[""EC"",""EMC""]","[0.3,0.7]",322.5244073,LiFSI,1.0,mol/l,mol/L,volume,,EC:0.300+EMC:0.700
33,[33],10.1016/j.jpowsour.2010.12.040,"[""10.1016/j.jpowsour.2010.12.040""]",12.2868877,0.0,1,Li,FSI,1.0,"[""EC"",""EMC""]","[0.3,0.7]",312.7431776,LiFSI,1.0,mol/l,mol/L,volume,,EC:0.300+EMC:0.700
34,[34],10.1016/j.jpowsour.2010.12.040,"[""10.1016/j.jpowsour.2010.12.040""]",10.69635701,0.0,1,Li,FSI,1.0,"[""EC"",""EMC""]","[0.3,0.7]",302.7131199,LiFSI,1.0,mol/l,mol/L,volume,,EC:0.300+EMC:0.700
35,[35],10.1016/j.jpowsour.2010.12.040,"[""10.1016/j.jpowsour.2010.12.040""]",9.009384647,0.0,1,Li,FSI,1.0,"[""EC"",""EMC""]","[0.3,0.7]",292.8494972,LiFSI,1.0,mol/l,mol/L,volume,,EC:0.300+EMC:0.700
36,[36],10.1016/j.jpowsour.2010.12.040,"[""10.1016/j.jpowsour.2010.12.040""]",7.439667245,0.0,1,Li,FSI,1.0,"[""EC"",""EMC""]","[0.3,0.7]",282.8897228,LiFSI,1.0,mol/l,mol/L,volume,,EC:0.300+EMC:0.700
37,[37],10.1016/j.jpowsour.2010.12.040,"[""10.1016/j.jpowsour.2010.12.040""]",5.943977157,0.0,1,Li,FSI,1.0,"[""EC"",""EMC""]","[0.3,0.7]",273.0531347,LiFSI,1.0,mol/l,mol/L,volume,,EC:0.300+EMC:0.700
38,[38],10.1016/j.jpowsour.2010.12.040,"[""10.1016/j.jpowsour.2010.12.040""]",4.534527977,0.0,1,Li,FSI,1.0,"[""EC"",""EMC""]","[0.3,0.7]",263.0106197,LiFSI,1.0,mol/l,mol/L,volume,,EC:0.300+EMC:0.700
39,[39],10.1016/j.jpowsour.2010.12.040,"[""10.1016/j.jpowsour.2010.12.040""]",3.346973534,0.0,1,Li,FSI,1.0,"[""EC"",""EMC""]","[0.3,0.7]",253.2231362,LiFSI,1.0,mol/l,mol/L,volume,,EC:0.300+EMC:0.700
40,[40],10.1016/j.jpowsour.2010.12.040,"[""10.1016/j.jpowsour.2010.12.040""]",12.3682667,0.0,1,Li,FSI,1.0,"[""EC"",""EMC""]","[0.3,0.7]",332.6084723,LiFSI,1.0,mol/l,mol/L,volume,,EC:0.300+EMC:0.700
41,[41],10.1016/j.jpowsour.2010.12.040,"[""10.1016/j.jpowsour.2010.12.040""]",10.9825629,0.0,1,Li,FSI,1.0,"[""EC"",""EMC""]","[0.3,0.7]",322.7762915,LiFSI,1.0,mol/l,mol/L,volume,,EC:0.300+EMC:0.700
42,[42],10.1016/j.jpowsour.2010.12.040,"[""10.1016/j.jpowsour.2010.12.040""]",9.624200289,0.0,1,Li,FSI,1.0,"[""EC"",""EMC""]","[0.3,0.7]",312.8052904,LiFSI,1.0,mol/l,mol/L,volume,,EC:0.300+EMC:0.700
43,[43],10.1016/j.jpowsour.2010.12.040,"[""10.1016/j.jpowsour.2010.12.040""]",8.268462264,0.0,1,Li,FSI,1.0,"[""EC"",""EMC""]","[0.3,0.7]",302.7744584,LiFSI,1.0,mol/l,mol/L,volume,,EC:0.300+EMC:0.700
44,[44],10.1016/j.jpowsour.2010.12.040,"[""10.1016/j.jpowsour.2010.12.040""]",7.638732831,0.0,1,Li,FSI,1.0,"[""EC"",""EMC""]","[0.3,0.7]",297.7574305,LiFSI,1.0,mol/l,mol/L,volume,,EC:0.300+EMC:0.700
45,[45],10.1016/j.jpowsour.2010.12.040,"[""10.1016/j.jpowsour.2010.12.040""]",6.964404506,0.0,1,Li,FSI,1.0,"[""EC"",""EMC""]","[0.3,0.7]",292.9069031,LiFSI,1.0,mol/l,mol/L,volume,,EC:0.300+EMC:0.700
46,[46],10.1016/j.jpowsour.2010.12.040,"[""10.1016/j.jpowsour.2010.12.040""]",5.675556682,0.0,1,Li,FSI,1.0,"[""EC"",""EMC""]","[0.3,0.7]",282.9460375,LiFSI,1.0,mol/l,mol/L,volume,,EC:0.300+EMC:0.700
47,[47],10.1016/j.jpowsour.2010.12.040,"[""10.1016/j.jpowsour.2010.12.040""]",4.504692324,0.0,1,Li,FSI,1.0,"[""EC"",""EMC""]","[0.3,0.7]",272.9725552,LiFSI,1.0,mol/l,mol/L,volume,,EC:0.300+EMC:0.700
48,[48],10.1016/j.jpowsour.2010.12.040,"[""10.1016/j.jpowsour.2010.12.040""]",3.391455968,0.0,1,Li,FSI,1.0,"[""EC"",""EMC""]","[0.3,0.7]",263.0628597,LiFSI,1.0,mol/l,mol/L,volume,,EC:0.300+EMC:0.700
49,[49],10.1016/j.jpowsour.2010.12.040,"[""10.1016/j.jpowsour.2010.12.040""]",2.406050072,0.0,1,Li,FSI,1.0,"[""EC"",""EMC""]","[0.3,0.7]",253.1626323,LiFSI,1.0,mol/l,mol/L,volume,,EC:0.300+EMC:0.700
50,[50],10.1016/j.jpowsour.2010.12.040,"[""10.1016/j.jpowsour.2010.12.040""]",15.68624976,0.0,1,Li,PF6,1.0,"[""EC"",""EMC""]","[0.3,0.7]",332.5401445,LiPF6,1.0,mol/l,mol/L,volume,,EC:0.300+EMC:0.700
51,[51],10.1016/j.jpowsour.2010.12.040,"[""10.1016/j.jpowsour.2010.12.040""]",13.83716218,0.0,1,Li,PF6,1.0,"[""EC"",""EMC""]","[0.3,0.7]",322.7137304,LiPF6,1.0,mol/l,mol/L,volume,,EC:0.300+EMC:0.700
