original_row_index,doi,conductivity,anion_name,composition_summary,salt_conc,temperature,replicate_count,cluster_id,pca1,pca2
23,10.1016/j.electacta.2008.04.023,4.534450652,PF6,EC:0.300+EMC:0.700,0.201931519,298.15,1,3,1.2597104490758066,-2.266550219732858
24,10.1016/j.electacta.2008.04.023,7.802607076,PF6,EC:0.300+EMC:0.700,0.498683055,298.15,1,3,1.2500661259496093,-2.0151764564862296
25,10.1016/j.electacta.2008.04.023,9.348230912,PF6,EC:0.300+EMC:0.700,0.798946444,298.15,1,3,1.2403076688055725,-1.7608278553786807
26,10.1016/j.electacta.2008.04.023,9.506517691,PF6,EC:0.300+EMC:0.700,1.000877963,298.15,1,3,1.233744963706045,-1.589774702517703
27,10.1016/j.electacta.2008.04.023,9.217877095,PF6,EC:0.300+EMC:0.700,1.201053556,298.15,1,3,1.2272393255991871,-1.4202089681636423
28,10.1016/j.electacta.2008.04.023,7.774674115,PF6,EC:0.300+EMC:0.700,1.599648815,298.15,1,3,1.2142851164106412,-1.082564918809524
29,10.1016/j.electacta.2008.04.023,5.931098696,PF6,EC:0.300+EMC:0.700,1.998244074,298.15,1,3,1.2013309072220952,-0.7449208694554057
30,10.1016/j.electacta.2008.04.023,5.158286778,PF6,EC:0.300+EMC:0.700,2.200175593,298.15,1,3,1.1947682021225676,-0.5738677165944277
31,10.1016/j.jpowsour.2010.12.040,15.58303956,FSI,EC:0.300+EMC:0.700,1.0,332.5420421,1,6,0.8838319750062856,-2.1079254836021963
32,10.1016/j.jpowsour.2010.12.040,13.92880901,FSI,EC:0.300+EMC:0.700,1.0,322.5244073,1,6,0.8838319750062856,-2.1079254836021963
33,10.1016/j.jpowsour.2010.12.040,12.2868877,FSI,EC:0.300+EMC:0.700,1.0,312.7431776,1,6,0.8838319750062856,-2.1079254836021963
34,10.1016/j.jpowsour.2010.12.040,10.69635701,FSI,EC:0.300+EMC:0.700,1.0,302.7131199,1,6,0.8838319750062856,-2.1079254836021963
35,10.1016/j.jpowsour.2010.12.040,9.009384647,FSI,EC:0.300+EMC:0.700,1.0,292.8494972,1,6,0.8838319750062856,-2.1079254836021963
36,10.1016/j.jpowsour.2010.12.040,7.439667245,FSI,EC:0.300+EMC:0.700,1.0,282.8897228,1,6,0.8838319750062856,-2.1079254836021963
37,10.1016/j.jpowsour.2010.12.040,5.943977157,FSI,EC:0.300+EMC:0.700,1.0,273.0531347,1,6,0.8838319750062856,-2.1079254836021963
38,10.1016/j.jpowsour.2010.12.040,4.534527977,FSI,EC:0.300+EMC:0.700,1.0,263.0106197,1,6,0.8838319750062856,-2.1079254836021963
