original_row_index,doi,conductivity,anion_name,composition_summary,solvent_entropy,weighted_permittivity,weighted_viscosity_mPa_s_25C,salt_conc_x_weighted_permittivity,salt_conc_x_weighted_viscosity,anion_PF6,anion_ClO4,anion_TFSI,anion_FSI,anion_BF4,has_EC,frac_EC,has_PC,frac_PC,has_DME,frac_DME,has_DMC,frac_DMC,has_DEC,frac_DEC,has_EMC,frac_EMC
23,10.1016/j.electacta.2008.04.023,4.534450652,PF6,EC:0.300+EMC:0.700,0.6108643020548935,28.73,1.025,5.80149254087,0.20697980697499999,1,0,0,0,0,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7
24,10.1016/j.electacta.2008.04.023,7.802607076,PF6,EC:0.300+EMC:0.700,0.6108643020548935,28.73,1.025,14.32716417015,0.511150131375,1,0,0,0,0,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7
25,10.1016/j.electacta.2008.04.023,9.348230912,PF6,EC:0.300+EMC:0.700,0.6108643020548935,28.73,1.025,22.95373133612,0.8189201051,1,0,0,0,0,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7
26,10.1016/j.electacta.2008.04.023,9.506517691,PF6,EC:0.300+EMC:0.700,0.6108643020548935,28.73,1.025,28.75522387699,1.0258999120749999,1,0,0,0,0,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7
27,10.1016/j.electacta.2008.04.023,9.217877095,PF6,EC:0.300+EMC:0.700,0.6108643020548935,28.73,1.025,34.50626866388,1.2310798949,1,0,0,0,0,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7
28,10.1016/j.electacta.2008.04.023,7.774674115,PF6,EC:0.300+EMC:0.700,0.6108643020548935,28.73,1.025,45.957910454949996,1.6396400353749998,1,0,0,0,0,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7
29,10.1016/j.electacta.2008.04.023,5.931098696,PF6,EC:0.300+EMC:0.700,0.6108643020548935,28.73,1.025,57.40955224602,2.04820017585,1,0,0,0,0,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7
30,10.1016/j.electacta.2008.04.023,5.158286778,PF6,EC:0.300+EMC:0.700,0.6108643020548935,28.73,1.025,63.21104478689,2.2551799828249997,1,0,0,0,0,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7
31,10.1016/j.jpowsour.2010.12.040,15.58303956,FSI,EC:0.300+EMC:0.700,0.6108643020548935,28.73,1.025,28.73,1.025,0,0,0,1,0,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7
32,10.1016/j.jpowsour.2010.12.040,13.92880901,FSI,EC:0.300+EMC:0.700,0.6108643020548935,28.73,1.025,28.73,1.025,0,0,0,1,0,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7
