original_row_index,doi,original_salt,rejection_reason
0,10.1007/s10008-002-0300-9,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
1,10.1007/s10008-002-0300-9,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
2,10.1007/s10008-002-0300-9,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
3,10.1007/s10008-002-0300-9,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4,10.1007/s10008-002-0300-9,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
5,10.1007/s10008-002-0300-9,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
6,10.1007/s10008-002-0300-9,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
7,10.1007/s10008-002-0300-9,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
8,10.1007/s10008-002-0300-9,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
9,10.1007/s10008-002-0300-9,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
10,10.1007/s10008-002-0300-9,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
11,10.1007/s10008-002-0300-9,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
12,10.1007/s10008-002-0300-9,LiBF4,concentration unit mol/kg cannot be converted to mol/L without density
13,10.1007/s10008-002-0300-9,LiBF4,concentration unit mol/kg cannot be converted to mol/L without density
14,10.1007/s10008-002-0300-9,LiBF4,concentration unit mol/kg cannot be converted to mol/L without density
15,10.1007/s10008-002-0300-9,LiBF4,concentration unit mol/kg cannot be converted to mol/L without density
16,10.1007/s10008-002-0300-9,LiBF4,concentration unit mol/kg cannot be converted to mol/L without density
17,10.1007/s10008-002-0300-9,LiBF4,concentration unit mol/kg cannot be converted to mol/L without density
18,10.1007/s10008-002-0300-9,LiBF4,concentration unit mol/kg cannot be converted to mol/L without density
19,10.1007/s10008-002-0300-9,LiBF4,concentration unit mol/kg cannot be converted to mol/L without density
20,10.1007/s10008-002-0300-9,LiBF4,concentration unit mol/kg cannot be converted to mol/L without density
21,10.1007/s10008-002-0300-9,LiBF4,concentration unit mol/kg cannot be converted to mol/L without density
22,10.1007/s10008-002-0300-9,LiBF4,concentration unit mol/kg cannot be converted to mol/L without density
80,10.1016/j.jpowsour.2011.06.030,LiTDI,unsupported or ambiguous salt: LiTDI
81,10.1016/j.jpowsour.2011.06.030,LiTDI,unsupported or ambiguous salt: LiTDI
82,10.1016/j.jpowsour.2011.06.030,LiTDI,unsupported or ambiguous salt: LiTDI
83,10.1016/j.jpowsour.2011.06.030,LiTDI,unsupported or ambiguous salt: LiTDI
84,10.1016/j.jpowsour.2011.06.030,LiTDI,unsupported or ambiguous salt: LiTDI
85,10.1016/j.jpowsour.2011.06.030,LiTDI,unsupported or ambiguous salt: LiTDI
86,10.1016/j.jpowsour.2011.06.030,LiTDI,unsupported or ambiguous salt: LiTDI
87,10.1016/j.jpowsour.2011.06.030,LiTDI,unsupported or ambiguous salt: LiTDI
88,10.1016/j.jpowsour.2011.06.030,LiTDI,unsupported or ambiguous salt: LiTDI
89,10.1016/j.jpowsour.2011.06.030,LiTDI,unsupported or ambiguous salt: LiTDI
90,10.1016/j.jpowsour.2011.06.030,LiTDI,unsupported or ambiguous salt: LiTDI
91,10.1016/j.jpowsour.2011.06.030,LiTDI,unsupported or ambiguous salt: LiTDI
92,10.1016/j.jpowsour.2011.06.030,LiTDI,unsupported or ambiguous salt: LiTDI
93,10.1016/j.jpowsour.2011.06.030,LiPDI,unsupported or ambiguous salt: LiPDI
94,10.1016/j.jpowsour.2011.06.030,LiPDI,unsupported or ambiguous salt: LiPDI
95,10.1016/j.jpowsour.2011.06.030,LiPDI,unsupported or ambiguous salt: LiPDI
96,10.1016/j.jpowsour.2011.06.030,LiPDI,unsupported or ambiguous salt: LiPDI
97,10.1016/j.jpowsour.2011.06.030,LiPDI,unsupported or ambiguous salt: LiPDI
98,10.1016/j.jpowsour.2011.06.030,LiPDI,unsupported or ambiguous salt: LiPDI
99,10.1016/j.jpowsour.2011.06.030,LiPDI,unsupported or ambiguous salt: LiPDI
100,10.1016/j.jpowsour.2011.06.030,LiPDI,unsupported or ambiguous salt: LiPDI
101,10.1016/j.jpowsour.2011.06.030,LiPDI,unsupported or ambiguous salt: LiPDI
102,10.1016/j.jpowsour.2011.06.030,LiPDI,unsupported or ambiguous salt: LiPDI
103,10.1016/j.jpowsour.2011.06.030,LiPDI,unsupported or ambiguous salt: LiPDI
104,10.1016/j.jpowsour.2011.06.030,LiPDI,unsupported or ambiguous salt: LiPDI
105,10.1016/j.jpowsour.2011.06.030,LiPDI,unsupported or ambiguous salt: LiPDI
250,10.1016/S0013-4686(99)00431-4,LiPF6,unsupported nonzero solvent(s): 2-Glyme=0.5
251,10.1016/S0013-4686(99)00431-4,LiPF6,unsupported nonzero solvent(s): 2-Glyme=0.5
252,10.1016/S0013-4686(99)00431-4,LiPF6,unsupported nonzero solvent(s): 2-Glyme=0.5
253,10.1016/S0013-4686(99)00431-4,LiPF6,unsupported nonzero solvent(s): 2-Glyme=0.5
254,10.1016/S0013-4686(99)00431-4,LiPF6,unsupported nonzero solvent(s): 2-Glyme=0.5
255,10.1016/S0013-4686(99)00431-4,LiPF6,unsupported nonzero solvent(s): 2-Glyme=0.5
