source_row_number,original_row_index,doi,anion_name,composition_summary,criterion_name,features_used,salt_conc_x_weighted_permittivity,salt_conc_x_weighted_viscosity,cluster_id,row_status,valid_feature_position,best_k,best_candidate_k,best_silhouette_score,one_cluster_fallback_used
0,23,10.1016/j.electacta.2008.04.023,PF6,EC:0.300+EMC:0.700,saltconc_weightedperm_weightedvisc,"salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity",5.80149254087,0.2069798069749999,3,clustered,0,5,5,0.7972778726861223,False
1,24,10.1016/j.electacta.2008.04.023,PF6,EC:0.300+EMC:0.700,saltconc_weightedperm_weightedvisc,"salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity",14.32716417015,0.511150131375,3,clustered,1,5,5,0.7972778726861223,False
2,25,10.1016/j.electacta.2008.04.023,PF6,EC:0.300+EMC:0.700,saltconc_weightedperm_weightedvisc,"salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity",22.95373133612,0.8189201051,5,clustered,2,5,5,0.7972778726861223,False
3,26,10.1016/j.electacta.2008.04.023,PF6,EC:0.300+EMC:0.700,saltconc_weightedperm_weightedvisc,"salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity",28.75522387699,1.025899912075,5,clustered,3,5,5,0.7972778726861223,False
4,27,10.1016/j.electacta.2008.04.023,PF6,EC:0.300+EMC:0.700,saltconc_weightedperm_weightedvisc,"salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity",34.50626866388,1.2310798949,5,clustered,4,5,5,0.7972778726861223,False
5,28,10.1016/j.electacta.2008.04.023,PF6,EC:0.300+EMC:0.700,saltconc_weightedperm_weightedvisc,"salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity",45.95791045495,1.6396400353749998,1,clustered,5,5,5,0.7972778726861223,False
6,29,10.1016/j.electacta.2008.04.023,PF6,EC:0.300+EMC:0.700,saltconc_weightedperm_weightedvisc,"salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity",57.40955224602,2.04820017585,2,clustered,6,5,5,0.7972778726861223,False
7,30,10.1016/j.electacta.2008.04.023,PF6,EC:0.300+EMC:0.700,saltconc_weightedperm_weightedvisc,"salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity",63.21104478689,2.255179982825,2,clustered,7,5,5,0.7972778726861223,False
8,31,10.1016/j.jpowsour.2010.12.040,FSI,EC:0.300+EMC:0.700,saltconc_weightedperm_weightedvisc,"salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity",28.73,1.025,5,clustered,8,5,5,0.7972778726861223,False
9,32,10.1016/j.jpowsour.2010.12.040,FSI,EC:0.300+EMC:0.700,saltconc_weightedperm_weightedvisc,"salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity",28.73,1.025,5,clustered,9,5,5,0.7972778726861223,False
