source_row_number,original_row_index,doi,anion_name,composition_summary,criterion_name,features_used,weighted_permittivity,weighted_viscosity_mPa_s_25C,cluster_id,row_status,valid_feature_position,best_k,best_candidate_k,best_silhouette_score,one_cluster_fallback_used
0,23,10.1016/j.electacta.2008.04.023,PF6,EC:0.300+EMC:0.700,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",28.73,1.025,3,clustered,0,6,6,0.9448105888567919,False
1,24,10.1016/j.electacta.2008.04.023,PF6,EC:0.300+EMC:0.700,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",28.73,1.025,3,clustered,1,6,6,0.9448105888567919,False
2,25,10.1016/j.electacta.2008.04.023,PF6,EC:0.300+EMC:0.700,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",28.73,1.025,3,clustered,2,6,6,0.9448105888567919,False
3,26,10.1016/j.electacta.2008.04.023,PF6,EC:0.300+EMC:0.700,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",28.73,1.025,3,clustered,3,6,6,0.9448105888567919,False
4,27,10.1016/j.electacta.2008.04.023,PF6,EC:0.300+EMC:0.700,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",28.73,1.025,3,clustered,4,6,6,0.9448105888567919,False
5,28,10.1016/j.electacta.2008.04.023,PF6,EC:0.300+EMC:0.700,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",28.73,1.025,3,clustered,5,6,6,0.9448105888567919,False
6,29,10.1016/j.electacta.2008.04.023,PF6,EC:0.300+EMC:0.700,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",28.73,1.025,3,clustered,6,6,6,0.9448105888567919,False
7,30,10.1016/j.electacta.2008.04.023,PF6,EC:0.300+EMC:0.700,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",28.73,1.025,3,clustered,7,6,6,0.9448105888567919,False
8,31,10.1016/j.jpowsour.2010.12.040,FSI,EC:0.300+EMC:0.700,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",28.73,1.025,3,clustered,8,6,6,0.9448105888567919,False
9,32,10.1016/j.jpowsour.2010.12.040,FSI,EC:0.300+EMC:0.700,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",28.73,1.025,3,clustered,9,6,6,0.9448105888567919,False
10,33,10.1016/j.jpowsour.2010.12.040,FSI,EC:0.300+EMC:0.700,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",28.73,1.025,3,clustered,10,6,6,0.9448105888567919,False
11,34,10.1016/j.jpowsour.2010.12.040,FSI,EC:0.300+EMC:0.700,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",28.73,1.025,3,clustered,11,6,6,0.9448105888567919,False
