source_row_number,original_row_index,doi,anion_name,composition_summary,descriptor_name,descriptor_value,cluster_id,row_status,selected_k,best_silhouette_score,one_cluster_fallback_used
0,23,10.1016/j.electacta.2008.04.023,PF6,EC:0.300+EMC:0.700,salt_conc_x_weighted_permittivity,5.80149254087,5,clustered,6,0.8272216575775623,False
1,24,10.1016/j.electacta.2008.04.023,PF6,EC:0.300+EMC:0.700,salt_conc_x_weighted_permittivity,14.32716417015,5,clustered,6,0.8272216575775623,False
2,25,10.1016/j.electacta.2008.04.023,PF6,EC:0.300+EMC:0.700,salt_conc_x_weighted_permittivity,22.95373133612,3,clustered,6,0.8272216575775623,False
3,26,10.1016/j.electacta.2008.04.023,PF6,EC:0.300+EMC:0.700,salt_conc_x_weighted_permittivity,28.75522387699,3,clustered,6,0.8272216575775623,False
4,27,10.1016/j.electacta.2008.04.023,PF6,EC:0.300+EMC:0.700,salt_conc_x_weighted_permittivity,34.50626866388,3,clustered,6,0.8272216575775623,False
5,28,10.1016/j.electacta.2008.04.023,PF6,EC:0.300+EMC:0.700,salt_conc_x_weighted_permittivity,45.95791045495,1,clustered,6,0.8272216575775623,False
6,29,10.1016/j.electacta.2008.04.023,PF6,EC:0.300+EMC:0.700,salt_conc_x_weighted_permittivity,57.40955224602,6,clustered,6,0.8272216575775623,False
7,30,10.1016/j.electacta.2008.04.023,PF6,EC:0.300+EMC:0.700,salt_conc_x_weighted_permittivity,63.21104478689,6,clustered,6,0.8272216575775623,False
8,31,10.1016/j.jpowsour.2010.12.040,FSI,EC:0.300+EMC:0.700,salt_conc_x_weighted_permittivity,28.73,3,clustered,6,0.8272216575775623,False
9,32,10.1016/j.jpowsour.2010.12.040,FSI,EC:0.300+EMC:0.700,salt_conc_x_weighted_permittivity,28.73,3,clustered,6,0.8272216575775623,False
10,33,10.1016/j.jpowsour.2010.12.040,FSI,EC:0.300+EMC:0.700,salt_conc_x_weighted_permittivity,28.73,3,clustered,6,0.8272216575775623,False
11,34,10.1016/j.jpowsour.2010.12.040,FSI,EC:0.300+EMC:0.700,salt_conc_x_weighted_permittivity,28.73,3,clustered,6,0.8272216575775623,False
12,35,10.1016/j.jpowsour.2010.12.040,FSI,EC:0.300+EMC:0.700,salt_conc_x_weighted_permittivity,28.73,3,clustered,6,0.8272216575775623,False
13,36,10.1016/j.jpowsour.2010.12.040,FSI,EC:0.300+EMC:0.700,salt_conc_x_weighted_permittivity,28.73,3,clustered,6,0.8272216575775623,False
14,37,10.1016/j.jpowsour.2010.12.040,FSI,EC:0.300+EMC:0.700,salt_conc_x_weighted_permittivity,28.73,3,clustered,6,0.8272216575775623,False
15,38,10.1016/j.jpowsour.2010.12.040,FSI,EC:0.300+EMC:0.700,salt_conc_x_weighted_permittivity,28.73,3,clustered,6,0.8272216575775623,False
16,39,10.1016/j.jpowsour.2010.12.040,FSI,EC:0.300+EMC:0.700,salt_conc_x_weighted_permittivity,28.73,3,clustered,6,0.8272216575775623,False
17,40,10.1016/j.jpowsour.2010.12.040,FSI,EC:0.300+EMC:0.700,salt_conc_x_weighted_permittivity,28.73,3,clustered,6,0.8272216575775623,False
18,41,10.1016/j.jpowsour.2010.12.040,FSI,EC:0.300+EMC:0.700,salt_conc_x_weighted_permittivity,28.73,3,clustered,6,0.8272216575775623,False
19,42,10.1016/j.jpowsour.2010.12.040,FSI,EC:0.300+EMC:0.700,salt_conc_x_weighted_permittivity,28.73,3,clustered,6,0.8272216575775623,False
20,43,10.1016/j.jpowsour.2010.12.040,FSI,EC:0.300+EMC:0.700,salt_conc_x_weighted_permittivity,28.73,3,clustered,6,0.8272216575775623,False
21,44,10.1016/j.jpowsour.2010.12.040,FSI,EC:0.300+EMC:0.700,salt_conc_x_weighted_permittivity,28.73,3,clustered,6,0.8272216575775623,False
22,45,10.1016/j.jpowsour.2010.12.040,FSI,EC:0.300+EMC:0.700,salt_conc_x_weighted_permittivity,28.73,3,clustered,6,0.8272216575775623,False
23,46,10.1016/j.jpowsour.2010.12.040,FSI,EC:0.300+EMC:0.700,salt_conc_x_weighted_permittivity,28.73,3,clustered,6,0.8272216575775623,False
24,47,10.1016/j.jpowsour.2010.12.040,FSI,EC:0.300+EMC:0.700,salt_conc_x_weighted_permittivity,28.73,3,clustered,6,0.8272216575775623,False
25,48,10.1016/j.jpowsour.2010.12.040,FSI,EC:0.300+EMC:0.700,salt_conc_x_weighted_permittivity,28.73,3,clustered,6,0.8272216575775623,False
26,49,10.1016/j.jpowsour.2010.12.040,FSI,EC:0.300+EMC:0.700,salt_conc_x_weighted_permittivity,28.73,3,clustered,6,0.8272216575775623,False
27,50,10.1016/j.jpowsour.2010.12.040,PF6,EC:0.300+EMC:0.700,salt_conc_x_weighted_permittivity,28.73,3,clustered,6,0.8272216575775623,False
28,51,10.1016/j.jpowsour.2010.12.040,PF6,EC:0.300+EMC:0.700,salt_conc_x_weighted_permittivity,28.73,3,clustered,6,0.8272216575775623,False
29,52,10.1016/j.jpowsour.2010.12.040,PF6,EC:0.300+EMC:0.700,salt_conc_x_weighted_permittivity,28.73,3,clustered,6,0.8272216575775623,False
30,53,10.1016/j.jpowsour.2010.12.040,PF6,EC:0.300+EMC:0.700,salt_conc_x_weighted_permittivity,28.73,3,clustered,6,0.8272216575775623,False
31,54,10.1016/j.jpowsour.2010.12.040,PF6,EC:0.300+EMC:0.700,salt_conc_x_weighted_permittivity,28.73,3,clustered,6,0.8272216575775623,False
32,55,10.1016/j.jpowsour.2010.12.040,PF6,EC:0.300+EMC:0.700,salt_conc_x_weighted_permittivity,28.73,3,clustered,6,0.8272216575775623,False
