feature,importance,importance_type,model
categorical__anion_name_TFSI,0.665787367608477,model_feature_importance,shallow_random_forest
categorical__anion_name_PF6,0.12844455213988368,model_feature_importance,shallow_random_forest
numeric__experimental_conductivity_ms_cm,0.06172171880320709,model_feature_importance,shallow_random_forest
numeric__mean_conductivity_uncertainty_ms_cm,0.03666755981933587,model_feature_importance,shallow_random_forest
numeric__temperature,0.034084466312983036,model_feature_importance,shallow_random_forest
numeric__cluster_id,0.02840166906916858,model_feature_importance,shallow_random_forest
numeric__salt_conc,0.02125884111164089,model_feature_importance,shallow_random_forest
"categorical__solvents_[""EC"",""DMC""]",0.019722499370772213,model_feature_importance,shallow_random_forest
categorical__composition_summary_EC:0.500+DMC:0.500,0.0023694197531791738,model_feature_importance,shallow_random_forest
"categorical__solvents_[""EC"",""EMC""]",0.0015419060113523926,model_feature_importance,shallow_random_forest
categorical__anion_name_ClO4,0.0,model_feature_importance,shallow_random_forest
categorical__cation_name_Li,0.0,model_feature_importance,shallow_random_forest
"categorical__solvents_[""DME""]",0.0,model_feature_importance,shallow_random_forest
"categorical__solvents_[""EC"",""PC""]",0.0,model_feature_importance,shallow_random_forest
"categorical__solvents_[""PC""]",0.0,model_feature_importance,shallow_random_forest
categorical__composition_summary_DME:1.000,0.0,model_feature_importance,shallow_random_forest
"categorical__solvents_[""EC"",""PC"",""DMC""]",0.0,model_feature_importance,shallow_random_forest
categorical__composition_summary_EC:0.100+DMC:0.900,0.0,model_feature_importance,shallow_random_forest
categorical__composition_summary_EC:0.200+DMC:0.800,0.0,model_feature_importance,shallow_random_forest
categorical__composition_summary_EC:0.270+PC:0.100+DMC:0.630,0.0,model_feature_importance,shallow_random_forest
categorical__composition_summary_EC:0.300+EMC:0.700,0.0,model_feature_importance,shallow_random_forest
categorical__composition_summary_EC:0.500+PC:0.500,0.0,model_feature_importance,shallow_random_forest
categorical__composition_summary_EC:0.600+DMC:0.400,0.0,model_feature_importance,shallow_random_forest
categorical__composition_summary_EC:0.700+DMC:0.300,0.0,model_feature_importance,shallow_random_forest
categorical__composition_summary_PC:1.000,0.0,model_feature_importance,shallow_random_forest
