electrolyte_group,original_row_index,doi,cation_name,anion_name,solvents,solvent_fracs,composition_summary,cluster_id,salt_conc,temperature,experimental_conductivity_ms_cm,mean_conductivity_uncertainty_ms_cm,q_scale_optimal,optimal_simulated_conductivity_ms_cm,optimal_abs_error_ms_cm,n_q_values,q_scale_min,q_scale_max,simulated_conductivity_min_ms_cm,simulated_conductivity_max_ms_cm,experiment_inside_simulated_range,tie_tolerance_ms_cm,tie_rule,cluster_group
"('Li', 'PF6', 1.0, '[""EC"",""DMC""]', '[0.5,0.5]', 253.4239726)",106,10.1016/j.jpowsour.2011.06.030,Li,PF6,"[""EC"",""DMC""]","[0.5,0.5]",EC:0.500+DMC:0.500,1,1.0,253.4239726,3.307854125,0.56472,0.8,3.2792,0.028654125000000086,5,0.7,0.9,2.0849,4.9627,True,0.0,lowest_q_scale_within_tolerance,1
"('Li', 'TFSI', 1.0, '[""EC"",""DMC""]', '[0.6,0.4]', 298.0)",125,10.1016/j.jpowsour.2011.07.071,Li,TFSI,"[""EC"",""DMC""]","[0.6,0.4]",EC:0.600+DMC:0.400,1,1.0,298.0,9.093333333,1.2544799999999998,0.7,8.1533,0.9400333330000006,5,0.7,0.9,5.1618,8.1533,False,0.0,lowest_q_scale_within_tolerance,1
"('Li', 'PF6', 1.0, '[""EC"",""DMC""]', '[0.5,0.5]', 354.0952676)",192,10.1016/j.jpowsour.2011.07.071,Li,PF6,"[""EC"",""DMC""]","[0.5,0.5]",EC:0.500+DMC:0.500,1,1.0,354.0952676,22.55335602,4.94552,0.85,23.4984,0.9450439800000012,5,0.7,0.9,23.4984,29.0179,False,0.0,lowest_q_scale_within_tolerance,1
"('Li', 'PF6', 3.0, '[""EC"",""DMC""]', '[0.5,0.5]', 323.15)",11917,10.1149/2.0571912jes,Li,PF6,"[""EC"",""DMC""]","[0.5,0.5]",EC:0.500+DMC:0.500,1,3.0,323.15,7.98,2.00226,0.8,7.8263,0.15370000000000061,5,0.7,0.9,3.4473,14.2081,True,0.0,lowest_q_scale_within_tolerance,1
"('Li', 'TFSI', 1.0, '[""EC"",""DMC""]', '[0.1,0.9]', 298.0)",119,10.1016/j.jpowsour.2011.07.071,Li,TFSI,"[""EC"",""DMC""]","[0.1,0.9]",EC:0.100+DMC:0.900,2,1.0,298.0,8.373333333,1.3786599999999998,0.7,7.3479,1.0254333329999996,5,0.7,0.9,3.2961,7.3479,False,0.0,lowest_q_scale_within_tolerance,2
"('Li', 'ClO4', 0.5, '[""DME""]', '[1.0]', 342.1636336)",3786,10.1149/1.1344281,Li,ClO4,"[""DME""]",[1.0],DME:1.000,2,0.5,342.1636336,2.579896064,1.0833400000000002,0.8,0.8061,1.7737960640000001,5,0.7,0.9,0.0786,15.4359,True,0.0,lowest_q_scale_within_tolerance,2
"('Li', 'TFSI', 1.0, '[""EC"",""DMC""]', '[0.7,0.3]', 298.0)",126,10.1016/j.jpowsour.2011.07.071,Li,TFSI,"[""EC"",""DMC""]","[0.7,0.3]",EC:0.700+DMC:0.300,3,1.0,298.0,8.886666667,1.27794,0.75,7.8337,1.0529666669999997,5,0.7,0.9,4.7655,7.8337,False,0.0,lowest_q_scale_within_tolerance,3
"('Li', 'TFSI', 1.0, '[""PC""]', '[1.0]', 375.3490984)",3593,10.1149/1.1344281,Li,TFSI,"[""PC""]",[1.0],PC:1.000,3,1.0,375.3490984,16.88831057,2.17986,0.7,17.0754,0.18708942999999678,5,0.7,0.9,13.5546,19.2882,True,0.0,lowest_q_scale_within_tolerance,3
"('Li', 'PF6', 0.201931519, '[""EC"",""EMC""]', '[0.3,0.7]', 298.15)",23,10.1016/j.electacta.2008.04.023,Li,PF6,"[""EC"",""EMC""]","[0.3,0.7]",EC:0.300+EMC:0.700,4,0.201931519,298.15,4.534450652,0.9227399999999999,0.85,4.2734,0.26105065200000066,5,0.7,0.9,3.1459,4.2734,False,0.0,lowest_q_scale_within_tolerance,4
"('Li', 'TFSI', 1.0, '[""EC"",""DMC""]', '[0.2,0.8]', 298.0)",120,10.1016/j.jpowsour.2011.07.071,Li,TFSI,"[""EC"",""DMC""]","[0.2,0.8]",EC:0.200+DMC:0.800,4,1.0,298.0,9.066666667,1.1778600000000001,0.7,8.505,0.561666666999999,5,0.7,0.9,4.1284,8.505,False,0.0,lowest_q_scale_within_tolerance,4
"('Li', 'PF6', 3.002, '[""EC"",""EMC""]', '[0.3,0.7]', 263.15)",11923,10.1149/2.0571912jes,Li,PF6,"[""EC"",""EMC""]","[0.3,0.7]",EC:0.300+EMC:0.700,4,3.002,263.15,0.35,0.14211999999999997,0.8,0.2867,0.06329999999999997,5,0.7,0.9,0.1365,0.9114,True,0.0,lowest_q_scale_within_tolerance,4
"('Li', 'PF6', 1.0, '[""EC"",""PC""]', '[0.5,0.5]', 213.15)",13616,10.1016/0378-7753(91)80004-H,Li,PF6,"[""EC"",""PC""]","[0.5,0.5]",EC:0.500+PC:0.500,5,1.0,213.15,0.01,0.03848,0.9,0.0714,0.0614,5,0.7,0.9,0.0714,0.1458,False,0.0,lowest_q_scale_within_tolerance,5
"('Li', 'PF6', 0.388663968, '[""EC"",""PC"",""DMC""]', '[0.27,0.1,0.63]', 333.0)",10873,10.1149/1.1872737,Li,PF6,"[""EC"",""PC"",""DMC""]","[0.27,0.1,0.63]",EC:0.270+PC:0.100+DMC:0.630,6,0.388663968,333.0,12.29547642,1.7182400000000002,0.8,11.974,0.32147641999999976,5,0.7,0.9,8.8439,11.974,False,0.0,lowest_q_scale_within_tolerance,6
