electrolyte_group,cluster_id,q_scale_optimal,split
"('Li', 'PF6', 1.0, '[""EC"",""DMC""]', '[0.5,0.5]', 253.4239726)",1,0.8,test
"('Li', 'TFSI', 1.0, '[""EC"",""DMC""]', '[0.6,0.4]', 298.0)",1,0.7,test
"('Li', 'PF6', 1.0, '[""EC"",""DMC""]', '[0.5,0.5]', 354.0952676)",1,0.85,test
"('Li', 'PF6', 3.0, '[""EC"",""DMC""]', '[0.5,0.5]', 323.15)",1,0.8,test
"('Li', 'TFSI', 1.0, '[""EC"",""DMC""]', '[0.1,0.9]', 298.0)",2,0.7,test
"('Li', 'ClO4', 0.5, '[""DME""]', '[1.0]', 342.1636336)",2,0.8,test
"('Li', 'TFSI', 1.0, '[""EC"",""DMC""]', '[0.7,0.3]', 298.0)",3,0.75,train
"('Li', 'TFSI', 1.0, '[""PC""]', '[1.0]', 375.3490984)",3,0.7,train
"('Li', 'PF6', 0.201931519, '[""EC"",""EMC""]', '[0.3,0.7]', 298.15)",4,0.85,train
"('Li', 'TFSI', 1.0, '[""EC"",""DMC""]', '[0.2,0.8]', 298.0)",4,0.7,train
"('Li', 'PF6', 3.002, '[""EC"",""EMC""]', '[0.3,0.7]', 263.15)",4,0.8,train
"('Li', 'PF6', 1.0, '[""EC"",""PC""]', '[0.5,0.5]', 213.15)",5,0.9,train
"('Li', 'PF6', 0.388663968, '[""EC"",""PC"",""DMC""]', '[0.27,0.1,0.63]', 333.0)",6,0.8,train
