original_row_index,doi,conductivity,anion_name,composition_summary,solvent_entropy,weighted_permittivity,weighted_viscosity_mpa_s_25c,salt_conc_x_weighted_permittivity,salt_conc_x_weighted_viscosity,anion_pf6,anion_clo4,anion_tfsi,anion_fsi,anion_bf4,has_ec,frac_ec,has_pc,frac_pc,has_dme,frac_dme,has_dmc,frac_dmc,has_dec,frac_dec,has_emc,frac_emc,cation_name,salt_conc,temperature,solvents,solvent_fracs,replicate_count,conductivity_std,cluster_id,row_status,criterion_name,q_scale,q_scale_opt,q_scale_tie_rule,q_scale_tie_tolerance_ms_cm,best_abs_error_ms_cm,best_predicted_conductivity_ms_cm,n_q_values_evaluated,q_grid
106,10.1016/j.jpowsour.2011.06.030,3.307854125,PF6,EC:0.500+DMC:0.500,0.6931471805599453,46.05,1.245,46.05,1.245,1,0,0,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,Li,1.0,253.4239726,"[""EC"",""DMC""]","[0.5,0.5]",1,0.0,1,clustered,weighted_permittivity,0.8,0.8,lowest_q_within_tolerance,0.02,0.030273362135319726,3.3381274871353197,5,"0.7,0.75,0.8,0.85,0.9"
107,10.1016/j.jpowsour.2011.06.030,4.071672861,PF6,EC:0.500+DMC:0.500,0.6931471805599453,46.05,1.245,46.05,1.245,1,0,0,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,Li,1.0,258.3554795,"[""EC"",""DMC""]","[0.5,0.5]",1,0.0,1,clustered,weighted_permittivity,0.7,0.7,lowest_q_within_tolerance,0.02,0.06987779807867156,4.001795062921328,5,"0.7,0.75,0.8,0.85,0.9"
108,10.1016/j.jpowsour.2011.06.030,4.838902914,PF6,EC:0.500+DMC:0.500,0.6931471805599453,46.05,1.245,46.05,1.245,1,0,0,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,Li,1.0,263.2869863,"[""EC"",""DMC""]","[0.5,0.5]",1,0.0,1,clustered,weighted_permittivity,0.7,0.7,lowest_q_within_tolerance,0.02,0.5948226923204158,4.244080221679584,5,"0.7,0.75,0.8,0.85,0.9"
109,10.1016/j.jpowsour.2011.06.030,5.818420512,PF6,EC:0.500+DMC:0.500,0.6931471805599453,46.05,1.245,46.05,1.245,1,0,0,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,Li,1.0,268.2184932,"[""EC"",""DMC""]","[0.5,0.5]",1,0.0,1,clustered,weighted_permittivity,0.7,0.7,lowest_q_within_tolerance,0.02,1.0820590805870456,4.736361431412955,5,"0.7,0.75,0.8,0.85,0.9"
110,10.1016/j.jpowsour.2011.06.030,6.715351084,PF6,EC:0.500+DMC:0.500,0.6931471805599453,46.05,1.245,46.05,1.245,1,0,0,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,Li,1.0,273.15,"[""EC"",""DMC""]","[0.5,0.5]",1,0.0,1,clustered,weighted_permittivity,0.7,0.7,lowest_q_within_tolerance,0.02,1.4881752221567357,5.227175861843264,5,"0.7,0.75,0.8,0.85,0.9"
111,10.1016/j.jpowsour.2011.06.030,7.705930369,PF6,EC:0.500+DMC:0.500,0.6931471805599453,46.05,1.245,46.05,1.245,1,0,0,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,Li,1.0,278.2184932,"[""EC"",""DMC""]","[0.5,0.5]",1,0.0,1,clustered,weighted_permittivity,0.7,0.7,lowest_q_within_tolerance,0.02,1.9392441568743015,5.766686212125698,5,"0.7,0.75,0.8,0.85,0.9"
112,10.1016/j.jpowsour.2011.06.030,8.7903169,PF6,EC:0.500+DMC:0.500,0.6931471805599453,46.05,1.245,46.05,1.245,1,0,0,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,Li,1.0,283.15,"[""EC"",""DMC""]","[0.5,0.5]",1,0.0,1,clustered,weighted_permittivity,0.7,0.7,lowest_q_within_tolerance,0.02,2.360492322168496,6.429824577831504,5,"0.7,0.75,0.8,0.85,0.9"
113,10.1016/j.jpowsour.2011.06.030,9.795252881,PF6,EC:0.500+DMC:0.500,0.6931471805599453,46.05,1.245,46.05,1.245,1,0,0,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,Li,1.0,288.0815068,"[""EC"",""DMC""]","[0.5,0.5]",1,0.0,1,clustered,weighted_permittivity,0.7,0.7,lowest_q_within_tolerance,0.02,2.9200724456083273,6.875180435391672,5,"0.7,0.75,0.8,0.85,0.9"
114,10.1016/j.jpowsour.2011.06.030,10.91507623,PF6,EC:0.500+DMC:0.500,0.6931471805599453,46.05,1.245,46.05,1.245,1,0,0,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,Li,1.0,293.0130137,"[""EC"",""DMC""]","[0.5,0.5]",1,0.0,1,clustered,weighted_permittivity,0.7,0.7,lowest_q_within_tolerance,0.02,3.3695413522437727,7.545534877756228,5,"0.7,0.75,0.8,0.85,0.9"
115,10.1016/j.jpowsour.2011.06.030,12.09193518,PF6,EC:0.500+DMC:0.500,0.6931471805599453,46.05,1.245,46.05,1.245,1,0,0,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,Li,1.0,297.9445205,"[""EC"",""DMC""]","[0.5,0.5]",1,0.0,1,clustered,weighted_permittivity,0.7,0.7,lowest_q_within_tolerance,0.02,3.885246930083442,8.206688249916558,5,"0.7,0.75,0.8,0.85,0.9"
116,10.1016/j.jpowsour.2011.06.030,13.31856972,PF6,EC:0.500+DMC:0.500,0.6931471805599453,46.05,1.245,46.05,1.245,1,0,0,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,Li,1.0,303.0130137,"[""EC"",""DMC""]","[0.5,0.5]",1,0.0,1,clustered,weighted_permittivity,0.7,0.7,lowest_q_within_tolerance,0.02,4.592979291246312,8.725590428753687,5,"0.7,0.75,0.8,0.85,0.9"
117,10.1016/j.jpowsour.2011.06.030,15.68921029,PF6,EC:0.500+DMC:0.500,0.6931471805599453,46.05,1.245,46.05,1.245,1,0,0,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,Li,1.0,312.8760274,"[""EC"",""DMC""]","[0.5,0.5]",1,0.0,1,clustered,weighted_permittivity,0.7,0.7,lowest_q_within_tolerance,0.02,6.099589717839168,9.589620572160833,5,"0.7,0.75,0.8,0.85,0.9"
118,10.1016/j.jpowsour.2011.06.030,16.97859662,PF6,EC:0.500+DMC:0.500,0.6931471805599453,46.05,1.245,46.05,1.245,1,0,0,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,Li,1.0,317.8075342,"[""EC"",""DMC""]","[0.5,0.5]",1,0.0,1,clustered,weighted_permittivity,0.7,0.7,lowest_q_within_tolerance,0.02,6.98800896638928,9.99058765361072,5,"0.7,0.75,0.8,0.85,0.9"
124,10.1016/j.jpowsour.2011.07.071,9.313333333,TFSI,EC:0.500+DMC:0.500,0.6931471805599453,46.05,1.245,46.05,1.245,0,0,1,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,Li,1.0,298.0,"[""EC"",""DMC""]","[0.5,0.5]",1,0.0,1,clustered,weighted_permittivity,0.7,0.7,lowest_q_within_tolerance,0.02,1.03790710762188,8.27542622537812,5,"0.7,0.75,0.8,0.85,0.9"
125,10.1016/j.jpowsour.2011.07.071,9.093333333,TFSI,EC:0.600+DMC:0.400,0.6730116670092565,54.64,1.376,54.64,1.376,0,0,1,0,0,1,0.6,0,0.0,0,0.0,1,0.4,0,0.0,0,0.0,Li,1.0,298.0,"[""EC"",""DMC""]","[0.6,0.4]",1,0.0,1,clustered,weighted_permittivity,0.7,0.7,lowest_q_within_tolerance,0.02,0.9977328732403947,8.095600459759606,5,"0.7,0.75,0.8,0.85,0.9"
