feature_set,feature_description,model,target_transform,n_folds,feature_complexity_rank,model_complexity_rank,uses_polynomial_terms,numeric_features,categorical_features,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_rmse_std,cv_r2_mean,cv_r2_std,cv_transformed_mae_mean,cv_transformed_mae_std,cv_transformed_rmse_mean,cv_transformed_rmse_std,cv_transformed_r2_mean,cv_transformed_r2_std
qscale_permittivity,q_scale + weighted_permittivity,mean_baseline,log1p,5,1,0,False,"q_scale,weighted_permittivity",,5.5142329488011725,3.927694955027604,6.716002769832291,4.927248802148112,-0.5147102459863165,0.5650257574785869,0.7564027697449134,0.3740920909611875,0.8843685236301961,0.43346856364700187,-0.7350381725426167,0.9784936591481188
qscale_permittivity_cluster,q_scale + weighted_permittivity + weighted-permittivity cluster,mean_baseline,log1p,5,2,0,False,"q_scale,weighted_permittivity",cluster_id_str,5.5142329488011725,3.927694955027604,6.716002769832291,4.927248802148112,-0.5147102459863165,0.5650257574785869,0.7564027697449134,0.3740920909611875,0.8843685236301961,0.43346856364700187,-0.7350381725426167,0.9784936591481188
qscale_permittivity_viscosity,q_scale + weighted_permittivity + weighted viscosity,mean_baseline,log1p,5,3,0,False,"q_scale,weighted_permittivity,weighted_viscosity_mpa_s_25c",,5.5142329488011725,3.927694955027604,6.716002769832291,4.927248802148112,-0.5147102459863165,0.5650257574785869,0.7564027697449134,0.3740920909611875,0.8843685236301961,0.43346856364700187,-0.7350381725426167,0.9784936591481188
qscale_permittivity_viscosity_cluster,q_scale + weighted_permittivity + weighted viscosity + weighted-permittivity cluster,mean_baseline,log1p,5,4,0,False,"q_scale,weighted_permittivity,weighted_viscosity_mpa_s_25c",cluster_id_str,5.5142329488011725,3.927694955027604,6.716002769832291,4.927248802148112,-0.5147102459863165,0.5650257574785869,0.7564027697449134,0.3740920909611875,0.8843685236301961,0.43346856364700187,-0.7350381725426167,0.9784936591481188
qscale_permittivity_viscosity_cluster,q_scale + weighted_permittivity + weighted viscosity + weighted-permittivity cluster,ridge,log1p,5,4,2,False,"q_scale,weighted_permittivity,weighted_viscosity_mpa_s_25c",cluster_id_str,6.050115665635283,3.77458831059314,6.962303859415084,4.424405052566804,-2.3707258357440573,4.241187685254683,0.8592352651278043,0.3353385808593484,0.9488960884225348,0.36186601016257075,-1.711218064738467,2.1829439202933254
qscale_permittivity,q_scale + weighted_permittivity,mean_baseline,raw,5,1,0,False,"q_scale,weighted_permittivity",,5.876116678787879,2.7646447255213316,7.0272444275684,3.8517361552766354,-1.3945825389236102,1.4207339742930893,5.876116678787879,2.7646447255213316,7.0272444275684,3.8517361552766354,-1.3945825389236102,1.4207339742930893
qscale_permittivity_cluster,q_scale + weighted_permittivity + weighted-permittivity cluster,mean_baseline,raw,5,2,0,False,"q_scale,weighted_permittivity",cluster_id_str,5.876116678787879,2.7646447255213316,7.0272444275684,3.8517361552766354,-1.3945825389236102,1.4207339742930893,5.876116678787879,2.7646447255213316,7.0272444275684,3.8517361552766354,-1.3945825389236102,1.4207339742930893
qscale_permittivity_viscosity,q_scale + weighted_permittivity + weighted viscosity,mean_baseline,raw,5,3,0,False,"q_scale,weighted_permittivity,weighted_viscosity_mpa_s_25c",,5.876116678787879,2.7646447255213316,7.0272444275684,3.8517361552766354,-1.3945825389236102,1.4207339742930893,5.876116678787879,2.7646447255213316,7.0272444275684,3.8517361552766354,-1.3945825389236102,1.4207339742930893
qscale_permittivity_viscosity_cluster,q_scale + weighted_permittivity + weighted viscosity + weighted-permittivity cluster,mean_baseline,raw,5,4,0,False,"q_scale,weighted_permittivity,weighted_viscosity_mpa_s_25c",cluster_id_str,5.876116678787879,2.7646447255213316,7.0272444275684,3.8517361552766354,-1.3945825389236102,1.4207339742930893,5.876116678787879,2.7646447255213316,7.0272444275684,3.8517361552766354,-1.3945825389236102,1.4207339742930893
qscale_permittivity,q_scale + weighted_permittivity,ridge,log1p,5,1,2,False,"q_scale,weighted_permittivity",,5.9279695662137595,3.951958627016038,7.313921160597313,4.980259184845911,-0.8723828078820255,1.008025900703102,0.791577463461255,0.4283760071658604,0.9260619789204728,0.5203722563636128,-0.776411747562096,1.0916229505836106
