simulation_key,conductivity_ms_cm,conductivity_uncertainty_ms_cm,cluster_id,original_row_index,salt_conc,temperature,q_scale,cluster_rank_in_sampling,source_row_number,weighted_permittivity,weighted_viscosity_mpa_s_25c,salt_conc_x_weighted_permittivity,salt_conc_x_weighted_viscosity,conductivity,cluster_size_x,cluster_sampling_order,cluster_size_y,mean_weighted_permittivity,mean_weighted_viscosity_mpa_s_25c,job_id,folder_name,collection_status,conductivity_raw_line,folder_path,output_file,doi,representative_doi,cation_name,anion_name,solvents,solvent_fracs,selection_reason,composition_summary,duplicate_identity,cluster_id_str,electrolyte_group,n_collapsed_simulations
"('Li', 'PF6', 1.0, '[""EC"",""DMC""]', '[0.5,0.5]', 253.4239726)|q=0.7",4.9627,0.6909,1,106.0,1.0,253.4239726,0.7,1.0,57.0,46.05,1.245,46.05,1.245,3.307854125,185.0,0.0,185.0,46.084270270270274,1.2465189189189192,cluster01_rank01_row106_q0p70,Li_PF6_1p0M_EC0p5DMC0p5_T253p4239726_q070,parsed,Ionic conductivity = 4.9627 ± 0.6909 mS/cm,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_1p0M_EC0p5DMC0p5_T253p4239726_q070,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_1p0M_EC0p5DMC0p5_T253p4239726_q070/output_LELiB_MDLab.txt,10.1016/j.jpowsour.2011.06.030,10.1016/j.jpowsour.2011.06.030,Li,PF6,"[""EC"",""DMC""]","[0.5,0.5]",representative_row_index from cluster_summary.csv,EC:0.500+DMC:0.500,"('Li', 'PF6', 1.0, '[""EC"",""DMC""]', '[0.5,0.5]', 253.4239726)",1,"('Li', 'PF6', 1.0, '[""EC"",""DMC""]', '[0.5,0.5]', 253.4239726)",1
"('Li', 'PF6', 1.0, '[""EC"",""DMC""]', '[0.5,0.5]', 253.4239726)|q=0.75",4.0732,0.3641,1,106.0,1.0,253.4239726,0.75,1.0,57.0,46.05,1.245,46.05,1.245,3.307854125,185.0,0.0,185.0,46.084270270270274,1.2465189189189192,cluster01_rank01_row106_q0p75,Li_PF6_1p0M_EC0p5DMC0p5_T253p4239726_q075,parsed,Ionic conductivity = 4.0732 ± 0.3641 mS/cm,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_1p0M_EC0p5DMC0p5_T253p4239726_q075,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_1p0M_EC0p5DMC0p5_T253p4239726_q075/output_LELiB_MDLab.txt,10.1016/j.jpowsour.2011.06.030,10.1016/j.jpowsour.2011.06.030,Li,PF6,"[""EC"",""DMC""]","[0.5,0.5]",representative_row_index from cluster_summary.csv,EC:0.500+DMC:0.500,"('Li', 'PF6', 1.0, '[""EC"",""DMC""]', '[0.5,0.5]', 253.4239726)",1,"('Li', 'PF6', 1.0, '[""EC"",""DMC""]', '[0.5,0.5]', 253.4239726)",1
"('Li', 'PF6', 1.0, '[""EC"",""DMC""]', '[0.5,0.5]', 253.4239726)|q=0.8",3.2792,0.8372,1,106.0,1.0,253.4239726,0.8,1.0,57.0,46.05,1.245,46.05,1.245,3.307854125,185.0,0.0,185.0,46.084270270270274,1.2465189189189192,cluster01_rank01_row106_q0p80,Li_PF6_1p0M_EC0p5DMC0p5_T253p4239726_q080,parsed,Ionic conductivity = 3.2792 ± 0.8372 mS/cm,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_1p0M_EC0p5DMC0p5_T253p4239726_q080,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_1p0M_EC0p5DMC0p5_T253p4239726_q080/output_LELiB_MDLab.txt,10.1016/j.jpowsour.2011.06.030,10.1016/j.jpowsour.2011.06.030,Li,PF6,"[""EC"",""DMC""]","[0.5,0.5]",representative_row_index from cluster_summary.csv,EC:0.500+DMC:0.500,"('Li', 'PF6', 1.0, '[""EC"",""DMC""]', '[0.5,0.5]', 253.4239726)",1,"('Li', 'PF6', 1.0, '[""EC"",""DMC""]', '[0.5,0.5]', 253.4239726)",1
"('Li', 'PF6', 1.0, '[""EC"",""DMC""]', '[0.5,0.5]', 253.4239726)|q=0.85",2.8392,0.5023,1,106.0,1.0,253.4239726,0.85,1.0,57.0,46.05,1.245,46.05,1.245,3.307854125,185.0,0.0,185.0,46.084270270270274,1.2465189189189192,cluster01_rank01_row106_q0p85,Li_PF6_1p0M_EC0p5DMC0p5_T253p4239726_q085,parsed,Ionic conductivity = 2.8392 ± 0.5023 mS/cm,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_1p0M_EC0p5DMC0p5_T253p4239726_q085,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_1p0M_EC0p5DMC0p5_T253p4239726_q085/output_LELiB_MDLab.txt,10.1016/j.jpowsour.2011.06.030,10.1016/j.jpowsour.2011.06.030,Li,PF6,"[""EC"",""DMC""]","[0.5,0.5]",representative_row_index from cluster_summary.csv,EC:0.500+DMC:0.500,"('Li', 'PF6', 1.0, '[""EC"",""DMC""]', '[0.5,0.5]', 253.4239726)",1,"('Li', 'PF6', 1.0, '[""EC"",""DMC""]', '[0.5,0.5]', 253.4239726)",1
"('Li', 'PF6', 1.0, '[""EC"",""DMC""]', '[0.5,0.5]', 253.4239726)|q=0.9",2.0849,0.4291,1,106.0,1.0,253.4239726,0.9,1.0,57.0,46.05,1.245,46.05,1.245,3.307854125,185.0,0.0,185.0,46.084270270270274,1.2465189189189192,cluster01_rank01_row106_q0p90,Li_PF6_1p0M_EC0p5DMC0p5_T253p4239726_q090,parsed,Ionic conductivity = 2.0849 ± 0.4291 mS/cm,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_1p0M_EC0p5DMC0p5_T253p4239726_q090,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_1p0M_EC0p5DMC0p5_T253p4239726_q090/output_LELiB_MDLab.txt,10.1016/j.jpowsour.2011.06.030,10.1016/j.jpowsour.2011.06.030,Li,PF6,"[""EC"",""DMC""]","[0.5,0.5]",representative_row_index from cluster_summary.csv,EC:0.500+DMC:0.500,"('Li', 'PF6', 1.0, '[""EC"",""DMC""]', '[0.5,0.5]', 253.4239726)",1,"('Li', 'PF6', 1.0, '[""EC"",""DMC""]', '[0.5,0.5]', 253.4239726)",1
"('Li', 'TFSI', 1.0, '[""EC"",""DMC""]', '[0.6,0.4]', 298.0)|q=0.7",8.1533,1.8832,1,125.0,1.0,298.0,0.7,2.0,76.0,54.64,1.376,54.64,1.376,9.093333333,185.0,0.0,185.0,46.084270270270274,1.2465189189189192,cluster01_rank02_row125_q0p70,Li_TFSI_1p0M_EC0p6DMC0p4_T298p0_q070,parsed,Ionic conductivity = 8.1533 ± 1.8832 mS/cm,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_TFSI_1p0M_EC0p6DMC0p4_T298p0_q070,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_TFSI_1p0M_EC0p6DMC0p4_T298p0_q070/output_LELiB_MDLab.txt,10.1016/j.jpowsour.2011.07.071,10.1016/j.jpowsour.2011.07.071,Li,TFSI,"[""EC"",""DMC""]","[0.6,0.4]","maximin descriptor spread from existing selections using weighted_permittivity, weighted_viscosity_mPa_s_25C, salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity, conductivity; duplicate simulation inputs excluded",EC:0.600+DMC:0.400,"('Li', 'TFSI', 1.0, '[""EC"",""DMC""]', '[0.6,0.4]', 298.0)",1,"('Li', 'TFSI', 1.0, '[""EC"",""DMC""]', '[0.6,0.4]', 298.0)",1
"('Li', 'TFSI', 1.0, '[""EC"",""DMC""]', '[0.6,0.4]', 298.0)|q=0.75",7.8439,0.548,1,125.0,1.0,298.0,0.75,2.0,76.0,54.64,1.376,54.64,1.376,9.093333333,185.0,0.0,185.0,46.084270270270274,1.2465189189189192,cluster01_rank02_row125_q0p75,Li_TFSI_1p0M_EC0p6DMC0p4_T298p0_q075,parsed,Ionic conductivity = 7.8439 ± 0.5480 mS/cm,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_TFSI_1p0M_EC0p6DMC0p4_T298p0_q075,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_TFSI_1p0M_EC0p6DMC0p4_T298p0_q075/output_LELiB_MDLab.txt,10.1016/j.jpowsour.2011.07.071,10.1016/j.jpowsour.2011.07.071,Li,TFSI,"[""EC"",""DMC""]","[0.6,0.4]","maximin descriptor spread from existing selections using weighted_permittivity, weighted_viscosity_mPa_s_25C, salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity, conductivity; duplicate simulation inputs excluded",EC:0.600+DMC:0.400,"('Li', 'TFSI', 1.0, '[""EC"",""DMC""]', '[0.6,0.4]', 298.0)",1,"('Li', 'TFSI', 1.0, '[""EC"",""DMC""]', '[0.6,0.4]', 298.0)",1
"('Li', 'TFSI', 1.0, '[""EC"",""DMC""]', '[0.6,0.4]', 298.0)|q=0.8",7.8217,0.9552,1,125.0,1.0,298.0,0.8,2.0,76.0,54.64,1.376,54.64,1.376,9.093333333,185.0,0.0,185.0,46.084270270270274,1.2465189189189192,cluster01_rank02_row125_q0p80,Li_TFSI_1p0M_EC0p6DMC0p4_T298p0_q080,parsed,Ionic conductivity = 7.8217 ± 0.9552 mS/cm,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_TFSI_1p0M_EC0p6DMC0p4_T298p0_q080,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_TFSI_1p0M_EC0p6DMC0p4_T298p0_q080/output_LELiB_MDLab.txt,10.1016/j.jpowsour.2011.07.071,10.1016/j.jpowsour.2011.07.071,Li,TFSI,"[""EC"",""DMC""]","[0.6,0.4]","maximin descriptor spread from existing selections using weighted_permittivity, weighted_viscosity_mPa_s_25C, salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity, conductivity; duplicate simulation inputs excluded",EC:0.600+DMC:0.400,"('Li', 'TFSI', 1.0, '[""EC"",""DMC""]', '[0.6,0.4]', 298.0)",1,"('Li', 'TFSI', 1.0, '[""EC"",""DMC""]', '[0.6,0.4]', 298.0)",1
"('Li', 'TFSI', 1.0, '[""EC"",""DMC""]', '[0.6,0.4]', 298.0)|q=0.85",6.0726,1.4453,1,125.0,1.0,298.0,0.85,2.0,76.0,54.64,1.376,54.64,1.376,9.093333333,185.0,0.0,185.0,46.084270270270274,1.2465189189189192,cluster01_rank02_row125_q0p85,Li_TFSI_1p0M_EC0p6DMC0p4_T298p0_q085,parsed,Ionic conductivity = 6.0726 ± 1.4453 mS/cm,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_TFSI_1p0M_EC0p6DMC0p4_T298p0_q085,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_TFSI_1p0M_EC0p6DMC0p4_T298p0_q085/output_LELiB_MDLab.txt,10.1016/j.jpowsour.2011.07.071,10.1016/j.jpowsour.2011.07.071,Li,TFSI,"[""EC"",""DMC""]","[0.6,0.4]","maximin descriptor spread from existing selections using weighted_permittivity, weighted_viscosity_mPa_s_25C, salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity, conductivity; duplicate simulation inputs excluded",EC:0.600+DMC:0.400,"('Li', 'TFSI', 1.0, '[""EC"",""DMC""]', '[0.6,0.4]', 298.0)",1,"('Li', 'TFSI', 1.0, '[""EC"",""DMC""]', '[0.6,0.4]', 298.0)",1
"('Li', 'TFSI', 1.0, '[""EC"",""DMC""]', '[0.6,0.4]', 298.0)|q=0.9",5.1618,1.4407,1,125.0,1.0,298.0,0.9,2.0,76.0,54.64,1.376,54.64,1.376,9.093333333,185.0,0.0,185.0,46.084270270270274,1.2465189189189192,cluster01_rank02_row125_q0p90,Li_TFSI_1p0M_EC0p6DMC0p4_T298p0_q090,parsed,Ionic conductivity = 5.1618 ± 1.4407 mS/cm,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_TFSI_1p0M_EC0p6DMC0p4_T298p0_q090,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_TFSI_1p0M_EC0p6DMC0p4_T298p0_q090/output_LELiB_MDLab.txt,10.1016/j.jpowsour.2011.07.071,10.1016/j.jpowsour.2011.07.071,Li,TFSI,"[""EC"",""DMC""]","[0.6,0.4]","maximin descriptor spread from existing selections using weighted_permittivity, weighted_viscosity_mPa_s_25C, salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity, conductivity; duplicate simulation inputs excluded",EC:0.600+DMC:0.400,"('Li', 'TFSI', 1.0, '[""EC"",""DMC""]', '[0.6,0.4]', 298.0)",1,"('Li', 'TFSI', 1.0, '[""EC"",""DMC""]', '[0.6,0.4]', 298.0)",1
