system_order,system_identifier,salt_type,experimental_conductivity_mS_cm,min_calculated_conductivity_mS_cm,max_calculated_conductivity_mS_cm,experiment_within_simulated_range,coverage_fraction,covered_systems,systems_with_at_least_one_simulated_conductivity
1,"Li | PF6 | 1.0 | [""EC"",""PC""] | [0.15,0.85] | 213.15 | 13615",PF6,0.01,0.0556,0.1007,False,0.72,54,75
2,"Li | PF6 | 1.0 | [""EC"",""PC""] | [0.5,0.5] | 213.15 | 13616",PF6,0.01,0.0852,0.1638,False,0.72,54,75
3,"Li | PF6 | 3.327935223 | [""EC"",""PC"",""DMC""] | [0.27,0.1,0.63] | 263.0 | 10903",PF6,0.144369586,0.1511,1.0096,False,0.72,54,75
4,"Li | PF6 | 3.002 | [""EC"",""EMC""] | [0.3,0.7] | 263.15 | 11923",PF6,0.35,0.1751,1.1487,True,0.72,54,75
5,"Li | PF6 | 1.0 | [""EC"",""EMC""] | [0.3,0.7] | 222.7274648 | 4363",PF6,0.551948052,0.1922,1.1745,True,0.72,54,75
6,"Li | PF6 | 3.0 | [""EC"",""DMC""] | [0.5,0.5] | 263.15 | 11887",PF6,0.756,0.1485,1.5893,True,0.72,54,75
7,"Li | PF6 | 0.111 | [""EC"",""EMC""] | [0.3,0.7] | 263.15 | 11918",PF6,1.417,1.2852,1.7514,True,0.72,54,75
8,"Li | PF6 | 2.0 | [""EC"",""DMC""] | [0.5,0.5] | 263.15 | 11886",PF6,1.824,0.4956,3.6739,True,0.72,54,75
9,"Li | PF6 | 1.999 | [""EC"",""EMC""] | [0.3,0.7] | 273.15 | 11928",PF6,2.637,0.6496,3.7381,True,0.72,54,75
10,"Li | PF6 | 1.738191633 | [""EC"",""PC"",""DMC""] | [0.27,0.1,0.63] | 263.0 | 10901",PF6,2.935514918,1.0038,5.2174,True,0.72,54,75
11,"Li | PF6 | 1.0 | [""EC"",""PC""] | [0.5,0.5] | 273.15 | 13634",PF6,3.46,2.2306,4.0744,True,0.72,54,75
12,"Li | PF6 | 0.096 | [""EC"",""EMC""] | [0.3,0.7] | 323.15 | 11954",PF6,3.556,2.6653,3.3143,False,0.72,54,75
13,"Li | PF6 | 1.5 | [""EC"",""DEC""] | [0.5,0.5] | 283.15 | 12014",PF6,3.785824515,3.3234,5.807,True,0.72,54,75
14,"Li | PF6 | 0.391363023 | [""EC"",""PC"",""DMC""] | [0.27,0.1,0.63] | 263.0 | 10899",PF6,4.234841193,2.7801,4.8129,True,0.72,54,75
15,"Li | PF6 | 0.503 | [""EC"",""DMC""] | [0.5,0.5] | 263.15 | 11883",PF6,4.959,3.7251,5.1313,True,0.72,54,75
16,"Li | PF6 | 2.996 | [""EC"",""EMC""] | [0.3,0.7] | 323.15 | 11959",PF6,5.617,1.8807,8.9028,True,0.72,54,75
17,"Li | PF6 | 1.0 | [""EC"",""PC""] | [0.15,0.85] | 293.15 | 13636",PF6,5.64,3.2112,6.7708,True,0.72,54,75
18,"Li | PF6 | 2.237516869 | [""EC"",""PC"",""DMC""] | [0.27,0.1,0.63] | 293.0 | 10895",PF6,6.207892204,1.7668,7.7364,True,0.72,54,75
19,"Li | PF6 | 1.0 | [""EC"",""EMC""] | [0.3,0.7] | 283.0091549 | 4369",PF6,6.493506494,4.2728,8.9948,True,0.72,54,75
20,"Li | PF6 | 3.330634278 | [""EC"",""PC"",""DMC""] | [0.27,0.1,0.63] | 333.0 | 10881",PF6,7.747834456,2.5985,14.4882,True,0.72,54,75
21,"Li | PF6 | 3.0 | [""EC"",""DMC""] | [0.5,0.5] | 323.15 | 11917",PF6,7.98,2.7414,14.0762,True,0.72,54,75
22,"Li | PF6 | 1.004 | [""EC"",""DMC""] | [0.5,0.5] | 283.15 | 11894",PF6,8.723,6.0335,10.553,True,0.72,54,75
23,"Li | PF6 | 0.5 | [""EC"",""DEC""] | [0.5,0.5] | 313.15 | 12004",PF6,8.738205467,6.8922,10.0224,True,0.72,54,75
24,"Li | PF6 | 1.201388889 | [""EC"",""DEC""] | [0.5,0.5] | 313.15 | 12013",PF6,10.204806,7.9543,13.3322,True,0.72,54,75
25,"Li | PF6 | 1.0 | [""EC"",""PC""] | [0.5,0.5] | 313.15 | 13640",PF6,10.34,7.8835,11.3111,True,0.72,54,75
