job_id,collection_status,anion_name,cation_name,salt_conc,solvents,solvent_fracs,temperature,q_scale,system_identifier,folder_name,output_file
saltPF6_rank02_row13615_q0p70,conductivity_line_not_found,PF6,Li,1.0,"[""EC"",""PC""]","[0.15,0.85]",213.15,0.7,"Li | PF6 | 1.0 | [""EC"",""PC""] | [0.15,0.85] | 213.15 | 13615",Li_PF6_1p0M_EC0p15PC0p85_T213p15_q070,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_1p0M_EC0p15PC0p85_T213p15_q070/output_LELiB_MDLab.txt
saltPF6_rank17_row13636_q0p70,conductivity_line_not_found,PF6,Li,1.0,"[""EC"",""PC""]","[0.15,0.85]",293.15,0.7,"Li | PF6 | 1.0 | [""EC"",""PC""] | [0.15,0.85] | 293.15 | 13636",Li_PF6_1p0M_EC0p15PC0p85_T293p15_q070,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_1p0M_EC0p15PC0p85_T293p15_q070/output_LELiB_MDLab.txt
saltTFSI_rank07_row3813_q0p70,conductivity_line_not_found,TFSI,Li,0.5,"[""DME""]",[1.0],338.3557034,0.7,"Li | TFSI | 0.5 | [""DME""] | [1.0] | 338.3557034 | 3813",Li_TFSI_0p5M_DME1p0_T338p3557034_q070,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_TFSI_0p5M_DME1p0_T338p3557034_q070/output_LELiB_MDLab.txt
saltTFSI_rank07_row3813_q0p90,conductivity_line_not_found,TFSI,Li,0.5,"[""DME""]",[1.0],338.3557034,0.9,"Li | TFSI | 0.5 | [""DME""] | [1.0] | 338.3557034 | 3813",Li_TFSI_0p5M_DME1p0_T338p3557034_q090,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_TFSI_0p5M_DME1p0_T338p3557034_q090/output_LELiB_MDLab.txt
saltBF4_rank01_row66_q0p70,conductivity_line_not_found,BF4,Li,1.0,"[""EC"",""EMC""]","[0.3,0.7]",283.0889854,0.7,"Li | BF4 | 1.0 | [""EC"",""EMC""] | [0.3,0.7] | 283.0889854 | 66",Li_BF4_1p0M_EC0p3EMC0p7_T283p0889854_q070,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_BF4_1p0M_EC0p3EMC0p7_T283p0889854_q070/output_LELiB_MDLab.txt
saltBF4_rank01_row66_q0p75,conductivity_line_not_found,BF4,Li,1.0,"[""EC"",""EMC""]","[0.3,0.7]",283.0889854,0.75,"Li | BF4 | 1.0 | [""EC"",""EMC""] | [0.3,0.7] | 283.0889854 | 66",Li_BF4_1p0M_EC0p3EMC0p7_T283p0889854_q075,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_BF4_1p0M_EC0p3EMC0p7_T283p0889854_q075/output_LELiB_MDLab.txt
saltBF4_rank01_row66_q0p80,conductivity_line_not_found,BF4,Li,1.0,"[""EC"",""EMC""]","[0.3,0.7]",283.0889854,0.8,"Li | BF4 | 1.0 | [""EC"",""EMC""] | [0.3,0.7] | 283.0889854 | 66",Li_BF4_1p0M_EC0p3EMC0p7_T283p0889854_q080,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_BF4_1p0M_EC0p3EMC0p7_T283p0889854_q080/output_LELiB_MDLab.txt
saltBF4_rank01_row66_q0p85,conductivity_line_not_found,BF4,Li,1.0,"[""EC"",""EMC""]","[0.3,0.7]",283.0889854,0.85,"Li | BF4 | 1.0 | [""EC"",""EMC""] | [0.3,0.7] | 283.0889854 | 66",Li_BF4_1p0M_EC0p3EMC0p7_T283p0889854_q085,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_BF4_1p0M_EC0p3EMC0p7_T283p0889854_q085/output_LELiB_MDLab.txt
saltBF4_rank02_row13823_q0p70,conductivity_line_not_found,BF4,Li,1.0,"[""EC"",""PC""]","[0.5,0.5]",353.15,0.7,"Li | BF4 | 1.0 | [""EC"",""PC""] | [0.5,0.5] | 353.15 | 13823",Li_BF4_1p0M_EC0p5PC0p5_T353p15_q070,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_BF4_1p0M_EC0p5PC0p5_T353p15_q070/output_LELiB_MDLab.txt
saltBF4_rank02_row13823_q0p75,conductivity_line_not_found,BF4,Li,1.0,"[""EC"",""PC""]","[0.5,0.5]",353.15,0.75,"Li | BF4 | 1.0 | [""EC"",""PC""] | [0.5,0.5] | 353.15 | 13823",Li_BF4_1p0M_EC0p5PC0p5_T353p15_q075,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_BF4_1p0M_EC0p5PC0p5_T353p15_q075/output_LELiB_MDLab.txt
saltBF4_rank02_row13823_q0p80,conductivity_line_not_found,BF4,Li,1.0,"[""EC"",""PC""]","[0.5,0.5]",353.15,0.8,"Li | BF4 | 1.0 | [""EC"",""PC""] | [0.5,0.5] | 353.15 | 13823",Li_BF4_1p0M_EC0p5PC0p5_T353p15_q080,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_BF4_1p0M_EC0p5PC0p5_T353p15_q080/output_LELiB_MDLab.txt
