system_order,system_identifier,salt_type,experimental_conductivity_mS_cm,mean_calculated_conductivity_mS_cm,min_calculated_conductivity_mS_cm,max_calculated_conductivity_mS_cm,num_q_scale_points_available,num_unique_q_scale_available,q_scale_values_available,missing_q_scale_values,q_scale_coverage_status,missing_conductivity_flag
1,"Li | PF6 | 1.0 | [""EC"",""PC""] | [0.15,0.85] | 213.15 | 13615",PF6,0.01,0.071575,0.0556,0.1007,4,4,0.75;0.80;0.85;0.90,0.70,partial,False
2,"Li | PF6 | 1.0 | [""EC"",""PC""] | [0.5,0.5] | 213.15 | 13616",PF6,0.01,0.11064,0.0852,0.1638,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
3,"Li | PF6 | 3.327935223 | [""EC"",""PC"",""DMC""] | [0.27,0.1,0.63] | 263.0 | 10903",PF6,0.144369586,0.4970800000000001,0.1511,1.0096,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
4,"Li | PF6 | 3.002 | [""EC"",""EMC""] | [0.3,0.7] | 263.15 | 11923",PF6,0.35,0.46722,0.1751,1.1487,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
5,"Li | PF6 | 1.0 | [""EC"",""EMC""] | [0.3,0.7] | 222.7274648 | 4363",PF6,0.551948052,0.66108,0.1922,1.1745,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
6,"Li | PF6 | 3.0 | [""EC"",""DMC""] | [0.5,0.5] | 263.15 | 11887",PF6,0.756,0.71234,0.1485,1.5893,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
7,"Li | PF6 | 0.111 | [""EC"",""EMC""] | [0.3,0.7] | 263.15 | 11918",PF6,1.417,1.50632,1.2852,1.7514,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
8,"Li | PF6 | 2.0 | [""EC"",""DMC""] | [0.5,0.5] | 263.15 | 11886",PF6,1.824,1.6743400000000002,0.4956,3.6739,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
9,"Li | PF6 | 1.999 | [""EC"",""EMC""] | [0.3,0.7] | 273.15 | 11928",PF6,2.637,2.37046,0.6496,3.7381,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
10,"Li | PF6 | 1.738191633 | [""EC"",""PC"",""DMC""] | [0.27,0.1,0.63] | 263.0 | 10901",PF6,2.935514918,2.63346,1.0038,5.2174,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
11,"Li | PF6 | 1.0 | [""EC"",""PC""] | [0.5,0.5] | 273.15 | 13634",PF6,3.46,3.2947,2.2306,4.0744,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
12,"Li | PF6 | 0.096 | [""EC"",""EMC""] | [0.3,0.7] | 323.15 | 11954",PF6,3.556,2.99142,2.6653,3.3143,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
13,"Li | PF6 | 1.5 | [""EC"",""DEC""] | [0.5,0.5] | 283.15 | 12014",PF6,3.785824515,4.91936,3.3234,5.807,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
14,"Li | PF6 | 0.391363023 | [""EC"",""PC"",""DMC""] | [0.27,0.1,0.63] | 263.0 | 10899",PF6,4.234841193,3.91428,2.7801,4.8129,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
15,"Li | PF6 | 0.503 | [""EC"",""DMC""] | [0.5,0.5] | 263.15 | 11883",PF6,4.959,4.2126,3.7251,5.1313,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
16,"Li | PF6 | 2.996 | [""EC"",""EMC""] | [0.3,0.7] | 323.15 | 11959",PF6,5.617,5.5084,1.8807,8.9028,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
17,"Li | PF6 | 1.0 | [""EC"",""PC""] | [0.15,0.85] | 293.15 | 13636",PF6,5.64,5.2721,3.2112,6.7708,4,4,0.75;0.80;0.85;0.90,0.70,partial,False
18,"Li | PF6 | 2.237516869 | [""EC"",""PC"",""DMC""] | [0.27,0.1,0.63] | 293.0 | 10895",PF6,6.207892204,4.988519999999999,1.7668,7.7364,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
19,"Li | PF6 | 1.0 | [""EC"",""EMC""] | [0.3,0.7] | 283.0091549 | 4369",PF6,6.493506494,6.50262,4.2728,8.9948,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
20,"Li | PF6 | 3.330634278 | [""EC"",""PC"",""DMC""] | [0.27,0.1,0.63] | 333.0 | 10881",PF6,7.747834456,8.39124,2.5985,14.4882,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
21,"Li | PF6 | 3.0 | [""EC"",""DMC""] | [0.5,0.5] | 323.15 | 11917",PF6,7.98,7.8894400000000005,2.7414,14.0762,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
22,"Li | PF6 | 1.004 | [""EC"",""DMC""] | [0.5,0.5] | 283.15 | 11894",PF6,8.723,8.225159999999999,6.0335,10.553,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
23,"Li | PF6 | 0.5 | [""EC"",""DEC""] | [0.5,0.5] | 313.15 | 12004",PF6,8.738205467,8.8339,6.8922,10.0224,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
24,"Li | PF6 | 1.201388889 | [""EC"",""DEC""] | [0.5,0.5] | 313.15 | 12013",PF6,10.204806,10.9438,7.9543,13.3322,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
25,"Li | PF6 | 1.0 | [""EC"",""PC""] | [0.5,0.5] | 313.15 | 13640",PF6,10.34,10.202459999999999,7.8835,11.3111,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
26,"Li | PF6 | 0.955465587 | [""EC"",""PC"",""DMC""] | [0.27,0.1,0.63] | 293.0 | 10893",PF6,10.77959577,9.57838,7.6888,13.0705,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
27,"Li | PF6 | 1.505 | [""EC"",""DMC""] | [0.5,0.5] | 303.15 | 11905",PF6,10.896,11.40022,8.104,13.8906,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
28,"Li | PF6 | 1.497 | [""EC"",""EMC""] | [0.3,0.7] | 323.15 | 11957",PF6,11.934,14.94426,10.3172,19.8159,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
29,"Li | PF6 | 0.391363023 | [""EC"",""PC"",""DMC""] | [0.27,0.1,0.63] | 333.0 | 10874",PF6,12.82483157,12.02432,10.7558,13.1501,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
30,"Li | PF6 | 2.005 | [""EC"",""DMC""] | [0.5,0.5] | 323.15 | 11916",PF6,13.108,12.839459999999999,9.6562,18.007,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
31,"Li | PF6 | 0.501 | [""EC"",""DMC""] | [0.5,0.5] | 323.15 | 11913",PF6,14.172,11.80382,10.8937,12.4911,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
32,"Li | PF6 | 2.240215924 | [""EC"",""PC"",""DMC""] | [0.27,0.1,0.63] | 333.0 | 10878",PF6,15.816490216666669,13.555179999999998,9.0697,19.7431,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
33,"Li | PF6 | 1.0 | [""EC"",""PC""] | [0.15,0.85] | 353.15 | 13645",PF6,16.88,17.90848,16.0444,21.6749,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
34,"Li | PF6 | 0.960863698 | [""EC"",""PC"",""DMC""] | [0.27,0.1,0.63] | 333.0 | 10875",PF6,19.30943215,17.44386,12.8488,22.1937,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
35,"Li | PF6 | 1.0 | [""EC"",""PC""] | [0.5,0.5] | 353.15 | 13646",PF6,19.35,18.34416,13.1352,22.1624,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
36,"Li | PF6 | 1.0 | [""EC"",""DMC""] | [0.5,0.5] | 354.0952676 | 192",PF6,22.55335602,25.2811,20.935,26.819,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
37,"Li | ClO4 | 1.0 | [""PC""] | [1.0] | 217.5511705 | 3760",ClO4,0.016360369,0.07296,0.044,0.1197,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
38,"Li | ClO4 | 0.5 | [""DME""] | [1.0] | 212.2342837 | 3812",ClO4,0.220060166,4.23466,1.0565,7.9347,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
