cluster_id,salt_cluster_id,q_scale,selected_systems_in_cluster,planned_simulations_at_q_scale,q_scale_values_per_system,planned_simulations_in_cluster,original_cluster_size,cluster_coverage_fraction,total_planned_simulations,total_unique_systems,clusters_covered,cluster_allocation_target
1,PF6,0.70,36,36,5,180,242,0.148760330579,375,75,5,36
1,PF6,0.75,36,36,5,180,242,0.148760330579,375,75,5,36
1,PF6,0.80,36,36,5,180,242,0.148760330579,375,75,5,36
1,PF6,0.85,36,36,5,180,242,0.148760330579,375,75,5,36
1,PF6,0.90,36,36,5,180,242,0.148760330579,375,75,5,36
2,ClO4,0.70,9,9,5,45,64,0.140625,375,75,5,9
2,ClO4,0.75,9,9,5,45,64,0.140625,375,75,5,9
2,ClO4,0.80,9,9,5,45,64,0.140625,375,75,5,9
2,ClO4,0.85,9,9,5,45,64,0.140625,375,75,5,9
2,ClO4,0.90,9,9,5,45,64,0.140625,375,75,5,9
3,TFSI,0.70,19,19,5,95,127,0.149606299213,375,75,5,19
3,TFSI,0.75,19,19,5,95,127,0.149606299213,375,75,5,19
3,TFSI,0.80,19,19,5,95,127,0.149606299213,375,75,5,19
3,TFSI,0.85,19,19,5,95,127,0.149606299213,375,75,5,19
3,TFSI,0.90,19,19,5,95,127,0.149606299213,375,75,5,19
4,FSI,0.70,5,5,5,25,19,0.263157894737,375,75,5,5
4,FSI,0.75,5,5,5,25,19,0.263157894737,375,75,5,5
4,FSI,0.80,5,5,5,25,19,0.263157894737,375,75,5,5
4,FSI,0.85,5,5,5,25,19,0.263157894737,375,75,5,5
4,FSI,0.90,5,5,5,25,19,0.263157894737,375,75,5,5
5,BF4,0.70,6,6,5,30,43,0.139534883721,375,75,5,6
5,BF4,0.75,6,6,5,30,43,0.139534883721,375,75,5,6
5,BF4,0.80,6,6,5,30,43,0.139534883721,375,75,5,6
5,BF4,0.85,6,6,5,30,43,0.139534883721,375,75,5,6
5,BF4,0.90,6,6,5,30,43,0.139534883721,375,75,5,6
