job_id,folder_name,collection_status,conductivity_mS_cm,conductivity_uncertainty_mS_cm,conductivity_raw_line,folder_path,output_file,original_row_index,doi,cation_name,anion_name,salt_conc,solvents,solvent_fracs,temperature,salt_cluster_id,q_scale,selection_reason,sampling_order,cluster_id,cluster_rank_in_sampling,representative_doi,source_row_indices,source_dois,conductivity,conductivity_std,replicate_count,original_salt,original_concentration,original_concentration_units,salt_conc_units,solvent_ratio_basis,composition_warning,composition_summary,solvent_entropy,weighted_permittivity,weighted_viscosity_mpa_s_25c,salt_conc_x_weighted_permittivity,salt_conc_x_weighted_viscosity,anion_pf6,anion_clo4,anion_tfsi,anion_fsi,anion_bf4,has_ec,frac_ec,has_pc,frac_pc,has_dme,frac_dme,has_dmc,frac_dmc,has_dec,frac_dec,has_emc,frac_emc,duplicate_identity,cluster_size
saltPF6_rank01_row11894_q0p70,Li_PF6_1p004M_EC0p5DMC0p5_T283p15_q070,parsed,10.5530,1.2847,Ionic conductivity = 10.5530 ± 1.2847 mS/cm,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_1p004M_EC0p5DMC0p5_T283p15_q070,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_1p004M_EC0p5DMC0p5_T283p15_q070/output_LELiB_MDLab.txt,11894,10.1149/2.0571912jes,Li,PF6,1.004,"[""EC"",""DMC""]","[0.5,0.5]",283.15,PF6,0.70,"salt-family centroid representative selected from salt_conc, temperature, weighted_permittivity, weighted_viscosity_mPa_s_25C, solvent_entropy, salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity, frac_EC, frac_PC, frac_DME, frac_DMC, frac_DEC, frac_EMC, conductivity descriptor space",1,1,1,10.1149/2.0571912jes,[11894],"[""10.1149/2.0571912jes""]",8.723,0.0,1,LiPF6,1.004,mol/l,mol/L,weight,,EC:0.500+DMC:0.500,0.6931471805599453,46.05,1.2449999999999999,46.234199999999994,1.2499799999999999,1,0,0,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,"('Li', 'PF6', 1.004, '[""EC"",""DMC""]', '[0.5,0.5]', 283.15)",242
saltPF6_rank01_row11894_q0p75,Li_PF6_1p004M_EC0p5DMC0p5_T283p15_q075,parsed,7.9405,2.5089,Ionic conductivity = 7.9405 ± 2.5089 mS/cm,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_1p004M_EC0p5DMC0p5_T283p15_q075,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_1p004M_EC0p5DMC0p5_T283p15_q075/output_LELiB_MDLab.txt,11894,10.1149/2.0571912jes,Li,PF6,1.004,"[""EC"",""DMC""]","[0.5,0.5]",283.15,PF6,0.75,"salt-family centroid representative selected from salt_conc, temperature, weighted_permittivity, weighted_viscosity_mPa_s_25C, solvent_entropy, salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity, frac_EC, frac_PC, frac_DME, frac_DMC, frac_DEC, frac_EMC, conductivity descriptor space",1,1,1,10.1149/2.0571912jes,[11894],"[""10.1149/2.0571912jes""]",8.723,0.0,1,LiPF6,1.004,mol/l,mol/L,weight,,EC:0.500+DMC:0.500,0.6931471805599453,46.05,1.2449999999999999,46.234199999999994,1.2499799999999999,1,0,0,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,"('Li', 'PF6', 1.004, '[""EC"",""DMC""]', '[0.5,0.5]', 283.15)",242
saltPF6_rank01_row11894_q0p80,Li_PF6_1p004M_EC0p5DMC0p5_T283p15_q080,parsed,8.6535,1.1641,Ionic conductivity = 8.6535 ± 1.1641 mS/cm,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_1p004M_EC0p5DMC0p5_T283p15_q080,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_1p004M_EC0p5DMC0p5_T283p15_q080/output_LELiB_MDLab.txt,11894,10.1149/2.0571912jes,Li,PF6,1.004,"[""EC"",""DMC""]","[0.5,0.5]",283.15,PF6,0.80,"salt-family centroid representative selected from salt_conc, temperature, weighted_permittivity, weighted_viscosity_mPa_s_25C, solvent_entropy, salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity, frac_EC, frac_PC, frac_DME, frac_DMC, frac_DEC, frac_EMC, conductivity descriptor space",1,1,1,10.1149/2.0571912jes,[11894],"[""10.1149/2.0571912jes""]",8.723,0.0,1,LiPF6,1.004,mol/l,mol/L,weight,,EC:0.500+DMC:0.500,0.6931471805599453,46.05,1.2449999999999999,46.234199999999994,1.2499799999999999,1,0,0,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,"('Li', 'PF6', 1.004, '[""EC"",""DMC""]', '[0.5,0.5]', 283.15)",242
saltPF6_rank01_row11894_q0p85,Li_PF6_1p004M_EC0p5DMC0p5_T283p15_q085,parsed,7.9453,2.2259,Ionic conductivity = 7.9453 ± 2.2259 mS/cm,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_1p004M_EC0p5DMC0p5_T283p15_q085,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_1p004M_EC0p5DMC0p5_T283p15_q085/output_LELiB_MDLab.txt,11894,10.1149/2.0571912jes,Li,PF6,1.004,"[""EC"",""DMC""]","[0.5,0.5]",283.15,PF6,0.85,"salt-family centroid representative selected from salt_conc, temperature, weighted_permittivity, weighted_viscosity_mPa_s_25C, solvent_entropy, salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity, frac_EC, frac_PC, frac_DME, frac_DMC, frac_DEC, frac_EMC, conductivity descriptor space",1,1,1,10.1149/2.0571912jes,[11894],"[""10.1149/2.0571912jes""]",8.723,0.0,1,LiPF6,1.004,mol/l,mol/L,weight,,EC:0.500+DMC:0.500,0.6931471805599453,46.05,1.2449999999999999,46.234199999999994,1.2499799999999999,1,0,0,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,"('Li', 'PF6', 1.004, '[""EC"",""DMC""]', '[0.5,0.5]', 283.15)",242
saltPF6_rank01_row11894_q0p90,Li_PF6_1p004M_EC0p5DMC0p5_T283p15_q090,parsed,6.0335,1.8261,Ionic conductivity = 6.0335 ± 1.8261 mS/cm,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_1p004M_EC0p5DMC0p5_T283p15_q090,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_1p004M_EC0p5DMC0p5_T283p15_q090/output_LELiB_MDLab.txt,11894,10.1149/2.0571912jes,Li,PF6,1.004,"[""EC"",""DMC""]","[0.5,0.5]",283.15,PF6,0.90,"salt-family centroid representative selected from salt_conc, temperature, weighted_permittivity, weighted_viscosity_mPa_s_25C, solvent_entropy, salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity, frac_EC, frac_PC, frac_DME, frac_DMC, frac_DEC, frac_EMC, conductivity descriptor space",1,1,1,10.1149/2.0571912jes,[11894],"[""10.1149/2.0571912jes""]",8.723,0.0,1,LiPF6,1.004,mol/l,mol/L,weight,,EC:0.500+DMC:0.500,0.6931471805599453,46.05,1.2449999999999999,46.234199999999994,1.2499799999999999,1,0,0,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,"('Li', 'PF6', 1.004, '[""EC"",""DMC""]', '[0.5,0.5]', 283.15)",242
saltPF6_rank02_row13615_q0p70,Li_PF6_1p0M_EC0p15PC0p85_T213p15_q070,conductivity_line_not_found,,,,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_1p0M_EC0p15PC0p85_T213p15_q070,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_1p0M_EC0p15PC0p85_T213p15_q070/output_LELiB_MDLab.txt,13615,10.1016/0378-7753(91)80004-H,Li,PF6,1.0,"[""EC"",""PC""]","[0.15,0.85]",213.15,PF6,0.70,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,2,1,2,10.1016/0378-7753(91)80004-H,[13615],"[""10.1016/0378-7753(91)80004-H""]",0.01,0.0,1,LiPF6,1.0,mol/l,mol/L,volume,,EC:0.150+PC:0.850,0.42270908780599087,68.515,2.4354999999999998,68.515,2.4354999999999998,1,0,0,0,0,1,0.15,1,0.85,0,0.0,0,0.0,0,0.0,0,0.0,"('Li', 'PF6', 1.0, '[""EC"",""PC""]', '[0.15,0.85]', 213.15)",242
saltPF6_rank02_row13615_q0p75,Li_PF6_1p0M_EC0p15PC0p85_T213p15_q075,parsed,0.1007,0.0327,Ionic conductivity = 0.1007 ± 0.0327 mS/cm,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_1p0M_EC0p15PC0p85_T213p15_q075,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_1p0M_EC0p15PC0p85_T213p15_q075/output_LELiB_MDLab.txt,13615,10.1016/0378-7753(91)80004-H,Li,PF6,1.0,"[""EC"",""PC""]","[0.15,0.85]",213.15,PF6,0.75,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,2,1,2,10.1016/0378-7753(91)80004-H,[13615],"[""10.1016/0378-7753(91)80004-H""]",0.01,0.0,1,LiPF6,1.0,mol/l,mol/L,volume,,EC:0.150+PC:0.850,0.42270908780599087,68.515,2.4354999999999998,68.515,2.4354999999999998,1,0,0,0,0,1,0.15,1,0.85,0,0.0,0,0.0,0,0.0,0,0.0,"('Li', 'PF6', 1.0, '[""EC"",""PC""]', '[0.15,0.85]', 213.15)",242
saltPF6_rank02_row13615_q0p80,Li_PF6_1p0M_EC0p15PC0p85_T213p15_q080,parsed,0.0663,0.0210,Ionic conductivity = 0.0663 ± 0.0210 mS/cm,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_1p0M_EC0p15PC0p85_T213p15_q080,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_1p0M_EC0p15PC0p85_T213p15_q080/output_LELiB_MDLab.txt,13615,10.1016/0378-7753(91)80004-H,Li,PF6,1.0,"[""EC"",""PC""]","[0.15,0.85]",213.15,PF6,0.80,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,2,1,2,10.1016/0378-7753(91)80004-H,[13615],"[""10.1016/0378-7753(91)80004-H""]",0.01,0.0,1,LiPF6,1.0,mol/l,mol/L,volume,,EC:0.150+PC:0.850,0.42270908780599087,68.515,2.4354999999999998,68.515,2.4354999999999998,1,0,0,0,0,1,0.15,1,0.85,0,0.0,0,0.0,0,0.0,0,0.0,"('Li', 'PF6', 1.0, '[""EC"",""PC""]', '[0.15,0.85]', 213.15)",242
saltPF6_rank02_row13615_q0p85,Li_PF6_1p0M_EC0p15PC0p85_T213p15_q085,parsed,0.0637,0.0247,Ionic conductivity = 0.0637 ± 0.0247 mS/cm,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_1p0M_EC0p15PC0p85_T213p15_q085,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_1p0M_EC0p15PC0p85_T213p15_q085/output_LELiB_MDLab.txt,13615,10.1016/0378-7753(91)80004-H,Li,PF6,1.0,"[""EC"",""PC""]","[0.15,0.85]",213.15,PF6,0.85,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,2,1,2,10.1016/0378-7753(91)80004-H,[13615],"[""10.1016/0378-7753(91)80004-H""]",0.01,0.0,1,LiPF6,1.0,mol/l,mol/L,volume,,EC:0.150+PC:0.850,0.42270908780599087,68.515,2.4354999999999998,68.515,2.4354999999999998,1,0,0,0,0,1,0.15,1,0.85,0,0.0,0,0.0,0,0.0,0,0.0,"('Li', 'PF6', 1.0, '[""EC"",""PC""]', '[0.15,0.85]', 213.15)",242
saltPF6_rank02_row13615_q0p90,Li_PF6_1p0M_EC0p15PC0p85_T213p15_q090,parsed,0.0556,0.0120,Ionic conductivity = 0.0556 ± 0.0120 mS/cm,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_1p0M_EC0p15PC0p85_T213p15_q090,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_1p0M_EC0p15PC0p85_T213p15_q090/output_LELiB_MDLab.txt,13615,10.1016/0378-7753(91)80004-H,Li,PF6,1.0,"[""EC"",""PC""]","[0.15,0.85]",213.15,PF6,0.90,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,2,1,2,10.1016/0378-7753(91)80004-H,[13615],"[""10.1016/0378-7753(91)80004-H""]",0.01,0.0,1,LiPF6,1.0,mol/l,mol/L,volume,,EC:0.150+PC:0.850,0.42270908780599087,68.515,2.4354999999999998,68.515,2.4354999999999998,1,0,0,0,0,1,0.15,1,0.85,0,0.0,0,0.0,0,0.0,0,0.0,"('Li', 'PF6', 1.0, '[""EC"",""PC""]', '[0.15,0.85]', 213.15)",242
saltPF6_rank03_row10903_q0p70,Li_PF6_3p327935223M_EC0p27PC0p1DMC0p63_T263p0_q070,parsed,1.0096,0.2493,Ionic conductivity = 1.0096 ± 0.2493 mS/cm,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_3p327935223M_EC0p27PC0p1DMC0p63_T263p0_q070,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_3p327935223M_EC0p27PC0p1DMC0p63_T263p0_q070/output_LELiB_MDLab.txt,10903,10.1149/1.1872737,Li,PF6,3.327935223,"[""EC"",""PC"",""DMC""]","[0.27,0.1,0.63]",263.0,PF6,0.70,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,3,1,3,10.1149/1.1872737,[10903],"[""10.1149/1.1872737""]",0.144369586,0.0,1,LiPF6,3.327935223,mol/l,mol/L,volume,,EC:0.270+PC:0.100+DMC:0.630,0.8748608452408524,32.473,1.1377,108.068040496479,3.7861919032071,1,0,0,0,0,1,0.27,1,0.1,0,0.0,1,0.63,0,0.0,0,0.0,"('Li', 'PF6', 3.327935223, '[""EC"",""PC"",""DMC""]', '[0.27,0.1,0.63]', 263.0)",242
saltPF6_rank03_row10903_q0p75,Li_PF6_3p327935223M_EC0p27PC0p1DMC0p63_T263p0_q075,parsed,0.6634,0.2841,Ionic conductivity = 0.6634 ± 0.2841 mS/cm,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_3p327935223M_EC0p27PC0p1DMC0p63_T263p0_q075,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_3p327935223M_EC0p27PC0p1DMC0p63_T263p0_q075/output_LELiB_MDLab.txt,10903,10.1149/1.1872737,Li,PF6,3.327935223,"[""EC"",""PC"",""DMC""]","[0.27,0.1,0.63]",263.0,PF6,0.75,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,3,1,3,10.1149/1.1872737,[10903],"[""10.1149/1.1872737""]",0.144369586,0.0,1,LiPF6,3.327935223,mol/l,mol/L,volume,,EC:0.270+PC:0.100+DMC:0.630,0.8748608452408524,32.473,1.1377,108.068040496479,3.7861919032071,1,0,0,0,0,1,0.27,1,0.1,0,0.0,1,0.63,0,0.0,0,0.0,"('Li', 'PF6', 3.327935223, '[""EC"",""PC"",""DMC""]', '[0.27,0.1,0.63]', 263.0)",242
saltPF6_rank03_row10903_q0p80,Li_PF6_3p327935223M_EC0p27PC0p1DMC0p63_T263p0_q080,parsed,0.4738,0.1464,Ionic conductivity = 0.4738 ± 0.1464 mS/cm,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_3p327935223M_EC0p27PC0p1DMC0p63_T263p0_q080,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_3p327935223M_EC0p27PC0p1DMC0p63_T263p0_q080/output_LELiB_MDLab.txt,10903,10.1149/1.1872737,Li,PF6,3.327935223,"[""EC"",""PC"",""DMC""]","[0.27,0.1,0.63]",263.0,PF6,0.80,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,3,1,3,10.1149/1.1872737,[10903],"[""10.1149/1.1872737""]",0.144369586,0.0,1,LiPF6,3.327935223,mol/l,mol/L,volume,,EC:0.270+PC:0.100+DMC:0.630,0.8748608452408524,32.473,1.1377,108.068040496479,3.7861919032071,1,0,0,0,0,1,0.27,1,0.1,0,0.0,1,0.63,0,0.0,0,0.0,"('Li', 'PF6', 3.327935223, '[""EC"",""PC"",""DMC""]', '[0.27,0.1,0.63]', 263.0)",242
saltPF6_rank03_row10903_q0p85,Li_PF6_3p327935223M_EC0p27PC0p1DMC0p63_T263p0_q085,parsed,0.1875,0.1269,Ionic conductivity = 0.1875 ± 0.1269 mS/cm,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_3p327935223M_EC0p27PC0p1DMC0p63_T263p0_q085,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_3p327935223M_EC0p27PC0p1DMC0p63_T263p0_q085/output_LELiB_MDLab.txt,10903,10.1149/1.1872737,Li,PF6,3.327935223,"[""EC"",""PC"",""DMC""]","[0.27,0.1,0.63]",263.0,PF6,0.85,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,3,1,3,10.1149/1.1872737,[10903],"[""10.1149/1.1872737""]",0.144369586,0.0,1,LiPF6,3.327935223,mol/l,mol/L,volume,,EC:0.270+PC:0.100+DMC:0.630,0.8748608452408524,32.473,1.1377,108.068040496479,3.7861919032071,1,0,0,0,0,1,0.27,1,0.1,0,0.0,1,0.63,0,0.0,0,0.0,"('Li', 'PF6', 3.327935223, '[""EC"",""PC"",""DMC""]', '[0.27,0.1,0.63]', 263.0)",242
saltPF6_rank03_row10903_q0p90,Li_PF6_3p327935223M_EC0p27PC0p1DMC0p63_T263p0_q090,parsed,0.1511,0.0522,Ionic conductivity = 0.1511 ± 0.0522 mS/cm,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_3p327935223M_EC0p27PC0p1DMC0p63_T263p0_q090,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_3p327935223M_EC0p27PC0p1DMC0p63_T263p0_q090/output_LELiB_MDLab.txt,10903,10.1149/1.1872737,Li,PF6,3.327935223,"[""EC"",""PC"",""DMC""]","[0.27,0.1,0.63]",263.0,PF6,0.90,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,3,1,3,10.1149/1.1872737,[10903],"[""10.1149/1.1872737""]",0.144369586,0.0,1,LiPF6,3.327935223,mol/l,mol/L,volume,,EC:0.270+PC:0.100+DMC:0.630,0.8748608452408524,32.473,1.1377,108.068040496479,3.7861919032071,1,0,0,0,0,1,0.27,1,0.1,0,0.0,1,0.63,0,0.0,0,0.0,"('Li', 'PF6', 3.327935223, '[""EC"",""PC"",""DMC""]', '[0.27,0.1,0.63]', 263.0)",242
