original_row_index,doi,q_scale,temperature,anion_name,salt_conc,solvents,solvent_fracs,conductivity,conductivity_mS_cm,conductivity_uncertainty_mS_cm
11894,10.1149/2.0571912jes,0.70,283.15,PF6,1.004,"[""EC"",""DMC""]","[0.5,0.5]",8.723,10.5530,1.2847
11894,10.1149/2.0571912jes,0.75,283.15,PF6,1.004,"[""EC"",""DMC""]","[0.5,0.5]",8.723,7.9405,2.5089
11894,10.1149/2.0571912jes,0.80,283.15,PF6,1.004,"[""EC"",""DMC""]","[0.5,0.5]",8.723,8.6535,1.1641
11894,10.1149/2.0571912jes,0.85,283.15,PF6,1.004,"[""EC"",""DMC""]","[0.5,0.5]",8.723,7.9453,2.2259
11894,10.1149/2.0571912jes,0.90,283.15,PF6,1.004,"[""EC"",""DMC""]","[0.5,0.5]",8.723,6.0335,1.8261
13615,10.1016/0378-7753(91)80004-H,0.70,213.15,PF6,1.0,"[""EC"",""PC""]","[0.15,0.85]",0.01,,
13615,10.1016/0378-7753(91)80004-H,0.75,213.15,PF6,1.0,"[""EC"",""PC""]","[0.15,0.85]",0.01,0.1007,0.0327
13615,10.1016/0378-7753(91)80004-H,0.80,213.15,PF6,1.0,"[""EC"",""PC""]","[0.15,0.85]",0.01,0.0663,0.0210
13615,10.1016/0378-7753(91)80004-H,0.85,213.15,PF6,1.0,"[""EC"",""PC""]","[0.15,0.85]",0.01,0.0637,0.0247
13615,10.1016/0378-7753(91)80004-H,0.90,213.15,PF6,1.0,"[""EC"",""PC""]","[0.15,0.85]",0.01,0.0556,0.0120
10903,10.1149/1.1872737,0.70,263.0,PF6,3.327935223,"[""EC"",""PC"",""DMC""]","[0.27,0.1,0.63]",0.144369586,1.0096,0.2493
10903,10.1149/1.1872737,0.75,263.0,PF6,3.327935223,"[""EC"",""PC"",""DMC""]","[0.27,0.1,0.63]",0.144369586,0.6634,0.2841
10903,10.1149/1.1872737,0.80,263.0,PF6,3.327935223,"[""EC"",""PC"",""DMC""]","[0.27,0.1,0.63]",0.144369586,0.4738,0.1464
10903,10.1149/1.1872737,0.85,263.0,PF6,3.327935223,"[""EC"",""PC"",""DMC""]","[0.27,0.1,0.63]",0.144369586,0.1875,0.1269
10903,10.1149/1.1872737,0.90,263.0,PF6,3.327935223,"[""EC"",""PC"",""DMC""]","[0.27,0.1,0.63]",0.144369586,0.1511,0.0522
13645,10.1016/0378-7753(91)80004-H,0.70,353.15,PF6,1.0,"[""EC"",""PC""]","[0.15,0.85]",16.88,21.6749,3.4683
13645,10.1016/0378-7753(91)80004-H,0.75,353.15,PF6,1.0,"[""EC"",""PC""]","[0.15,0.85]",16.88,16.0444,2.9327
13645,10.1016/0378-7753(91)80004-H,0.80,353.15,PF6,1.0,"[""EC"",""PC""]","[0.15,0.85]",16.88,16.9147,1.6148
13645,10.1016/0378-7753(91)80004-H,0.85,353.15,PF6,1.0,"[""EC"",""PC""]","[0.15,0.85]",16.88,18.0361,5.3551
13645,10.1016/0378-7753(91)80004-H,0.90,353.15,PF6,1.0,"[""EC"",""PC""]","[0.15,0.85]",16.88,16.8723,2.0128
11959,10.1149/2.0571912jes,0.70,323.15,PF6,2.996,"[""EC"",""EMC""]","[0.3,0.7]",5.617,8.9028,2.9887
11959,10.1149/2.0571912jes,0.75,323.15,PF6,2.996,"[""EC"",""EMC""]","[0.3,0.7]",5.617,7.8558,0.8356
11959,10.1149/2.0571912jes,0.80,323.15,PF6,2.996,"[""EC"",""EMC""]","[0.3,0.7]",5.617,5.0056,1.6343
11959,10.1149/2.0571912jes,0.85,323.15,PF6,2.996,"[""EC"",""EMC""]","[0.3,0.7]",5.617,3.8971,0.6492
