system_id,original_row_index,doi,anion_name,salt_conc,temperature,solvents,solvent_fracs,conductivity,q_scale_optimal,min_log_conductivity_error,all_available_q_scale_values,all_available_calculated_conductivities,number_of_qscale_points,tie_flag,coverage_flag,complete_qscale_coverage_flag,min_valid_calculated_conductivity,max_valid_calculated_conductivity,valid_simulation_rows,raw_simulation_rows,has_solvent_dec,frac_solvent_dec,has_solvent_dmc,frac_solvent_dmc,has_solvent_dme,frac_solvent_dme,has_solvent_ec,frac_solvent_ec,has_solvent_emc,frac_solvent_emc,has_solvent_pc,frac_solvent_pc,solvent_count,solvent_set,salt_identity,concentration_numeric,temperature_numeric,experimental_conductivity_numeric,log_experimental_conductivity
row_11894,11894,10.1149/2.0571912jes,PF6,1.004,283.15,"[""EC"",""DMC""]","[0.5,0.5]",8.723,0.8,0.007999352068164711,0.70;0.75;0.80;0.85;0.90,10.5530;7.9405;8.6535;7.9453;6.0335,5,False,True,True,6.0335,10.553,5,5,0,0.0,1,0.5,0,0.0,1,0.5,0,0.0,0,0.0,2,DMC+EC,PF6,1.004,283.15,8.723,2.1659632154510815
row_13615,13615,10.1016/0378-7753(91)80004-H,PF6,1.0,213.15,"[""EC"",""PC""]","[0.15,0.85]",0.01,0.9,1.7155981082624905,0.75;0.80;0.85;0.90,0.1007;0.0663;0.0637;0.0556,4,False,False,False,0.0556,0.1007,4,5,0,0.0,0,0.0,0,0.0,1,0.15,0,0.0,1,0.85,2,EC+PC,PF6,1.0,213.15,0.01,-4.605170185988091
row_10903,10903,10.1149/1.1872737,PF6,3.327935223,263.0,"[""EC"",""PC"",""DMC""]","[0.27,0.1,0.63]",0.144369586,0.9,0.04556528827286188,0.70;0.75;0.80;0.85;0.90,1.0096;0.6634;0.4738;0.1875;0.1511,5,False,False,True,0.1511,1.0096,5,5,0,0.0,1,0.63,0,0.0,1,0.27,0,0.0,1,0.1,3,DMC+EC+PC,PF6,3.327935223,263.0,0.144369586,-1.935378697976305
row_13645,13645,10.1016/0378-7753(91)80004-H,PF6,1.0,353.15,"[""EC"",""PC""]","[0.15,0.85]",16.88,0.9,0.00045626521058306224,0.70;0.75;0.80;0.85;0.90,21.6749;16.0444;16.9147;18.0361;16.8723,5,False,True,True,16.0444,21.6749,5,5,0,0.0,0,0.0,0,0.0,1,0.15,0,0.0,1,0.85,2,EC+PC,PF6,1.0,353.15,16.88,2.826129489167811
row_11959,11959,10.1149/2.0571912jes,PF6,2.996,323.15,"[""EC"",""EMC""]","[0.3,0.7]",5.617,0.8,0.11524042784827904,0.70;0.75;0.80;0.85;0.90,8.9028;7.8558;5.0056;3.8971;1.8807,5,False,True,True,1.8807,8.9028,5,5,0,0.0,0,0.0,0,0.0,1,0.3,1,0.7,0,0.0,2,EC+EMC,PF6,2.996,323.15,5.617,1.7257977135502958
row_13634,13634,10.1016/0378-7753(91)80004-H,PF6,1.0,273.15,"[""EC"",""PC""]","[0.5,0.5]",3.46,0.8,0.0003179696221271566,0.70;0.75;0.80;0.85;0.90,3.8855;4.0744;3.4589;2.8241;2.2306,5,False,True,True,2.2306,4.0744,5,5,0,0.0,0,0.0,0,0.0,1,0.5,0,0.0,1,0.5,2,EC+PC,PF6,1.0,273.15,3.46,1.2412685890696329
row_11954,11954,10.1149/2.0571912jes,PF6,0.096,323.15,"[""EC"",""EMC""]","[0.3,0.7]",3.556,0.85,0.07038987769916916,0.70;0.75;0.80;0.85;0.90,3.1414;2.7620;2.6653;3.3143;3.0741,5,False,False,True,2.6653,3.3143,5,5,0,0.0,0,0.0,0,0.0,1,0.3,1,0.7,0,0.0,2,EC+EMC,PF6,0.096,323.15,3.556,1.2686363176516582
row_12004,12004,10.1149/2.0641503jes,PF6,0.5,313.15,"[""EC"",""DEC""]","[0.5,0.5]",8.738205467,0.75,0.007836053651229857,0.70;0.75;0.80;0.85;0.90,8.9232;8.6700;10.0224;9.6617;6.8922,5,False,True,True,6.8922,10.0224,5,5,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,2,DEC+EC,PF6,0.5,313.15,8.738205467,2.1677048444436804
row_10878,10878,10.1149/1.1872737,PF6,2.240215924,333.0,"[""EC"",""PC"",""DMC""]","[0.27,0.1,0.63]",15.816490216666667,0.8,0.040231448954065385,0.70;0.75;0.80;0.85;0.90,19.7431;14.3961;15.1928;9.3742;9.0697,5,False,True,True,9.0697,19.7431,5,5,0,0.0,1,0.63,0,0.0,1,0.27,0,0.0,1,0.1,3,DMC+EC+PC,PF6,2.240215924,333.0,15.816490216666669,2.7610530803719637
row_13646,13646,10.1016/0378-7753(91)80004-H,PF6,1.0,353.15,"[""EC"",""PC""]","[0.5,0.5]",19.35,0.85,0.04786113848312379,0.70;0.75;0.80;0.85;0.90,16.9764;21.0011;22.1624;18.4457;13.1352,5,False,True,True,13.1352,22.1624,5,5,0,0.0,0,0.0,0,0.0,1,0.5,0,0.0,1,0.5,2,EC+PC,PF6,1.0,353.15,19.35,2.962692419475791
