sampling_order,salt_cluster_id,cluster_id,cluster_rank_in_sampling,original_row_index,doi,representative_doi,cation_name,anion_name,salt_conc,solvents,solvent_fracs,temperature,selection_reason,cluster_size,weighted_permittivity,weighted_viscosity_mPa_s_25C,solvent_entropy,salt_conc_x_weighted_permittivity,salt_conc_x_weighted_viscosity,conductivity,composition_summary,duplicate_identity,source_row_indices,source_dois,conductivity_std,replicate_count,original_salt,original_concentration,original_concentration_units,salt_conc_units,solvent_ratio_basis,composition_warning,anion_PF6,anion_ClO4,anion_TFSI,anion_FSI,anion_BF4,has_EC,frac_EC,has_PC,frac_PC,has_DME,frac_DME,has_DMC,frac_DMC,has_DEC,frac_DEC,has_EMC,frac_EMC
1,PF6,1,1,11894,10.1149/2.0571912jes,10.1149/2.0571912jes,Li,PF6,1.004,"[""EC"",""DMC""]","[0.5,0.5]",283.15,"salt-family centroid representative selected from salt_conc, temperature, weighted_permittivity, weighted_viscosity_mPa_s_25C, solvent_entropy, salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity, frac_EC, frac_PC, frac_DME, frac_DMC, frac_DEC, frac_EMC, conductivity descriptor space",242,46.05,1.2449999999999999,0.6931471805599453,46.234199999999994,1.2499799999999999,8.723,EC:0.500+DMC:0.500,"('Li', 'PF6', 1.004, '[""EC"",""DMC""]', '[0.5,0.5]', 283.15)",[11894],"[""10.1149/2.0571912jes""]",0.0,1,LiPF6,1.004,mol/l,mol/L,weight,,1,0,0,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0
2,PF6,1,2,13615,10.1016/0378-7753(91)80004-H,10.1016/0378-7753(91)80004-H,Li,PF6,1.0,"[""EC"",""PC""]","[0.15,0.85]",213.15,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,242,68.515,2.4354999999999998,0.42270908780599087,68.515,2.4354999999999998,0.01,EC:0.150+PC:0.850,"('Li', 'PF6', 1.0, '[""EC"",""PC""]', '[0.15,0.85]', 213.15)",[13615],"[""10.1016/0378-7753(91)80004-H""]",0.0,1,LiPF6,1.0,mol/l,mol/L,volume,,1,0,0,0,0,1,0.15,1,0.85,0,0.0,0,0.0,0,0.0,0,0.0
3,PF6,1,3,10903,10.1149/1.1872737,10.1149/1.1872737,Li,PF6,3.327935223,"[""EC"",""PC"",""DMC""]","[0.27,0.1,0.63]",263.0,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,242,32.473,1.1377,0.8748608452408524,108.068040496479,3.7861919032071,0.144369586,EC:0.270+PC:0.100+DMC:0.630,"('Li', 'PF6', 3.327935223, '[""EC"",""PC"",""DMC""]', '[0.27,0.1,0.63]', 263.0)",[10903],"[""10.1149/1.1872737""]",0.0,1,LiPF6,3.327935223,mol/l,mol/L,volume,,1,0,0,0,0,1,0.27,1,0.1,0,0.0,1,0.63,0,0.0,0,0.0
4,PF6,1,4,13645,10.1016/0378-7753(91)80004-H,10.1016/0378-7753(91)80004-H,Li,PF6,1.0,"[""EC"",""PC""]","[0.15,0.85]",353.15,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,242,68.515,2.4354999999999998,0.42270908780599087,68.515,2.4354999999999998,16.88,EC:0.150+PC:0.850,"('Li', 'PF6', 1.0, '[""EC"",""PC""]', '[0.15,0.85]', 353.15)",[13645],"[""10.1016/0378-7753(91)80004-H""]",0.0,1,LiPF6,1.0,mol/l,mol/L,volume,,1,0,0,0,0,1,0.15,1,0.85,0,0.0,0,0.0,0,0.0,0,0.0
5,PF6,1,5,11959,10.1149/2.0571912jes,10.1149/2.0571912jes,Li,PF6,2.996,"[""EC"",""EMC""]","[0.3,0.7]",323.15,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,242,28.73,1.025,0.6108643020548935,86.07508,3.0708999999999995,5.617,EC:0.300+EMC:0.700,"('Li', 'PF6', 2.996, '[""EC"",""EMC""]', '[0.3,0.7]', 323.15)",[11959],"[""10.1149/2.0571912jes""]",0.0,1,LiPF6,2.996,mol/l,mol/L,weight,,1,0,0,0,0,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7
6,PF6,1,6,13634,10.1016/0378-7753(91)80004-H,10.1016/0378-7753(91)80004-H,Li,PF6,1.0,"[""EC"",""PC""]","[0.5,0.5]",273.15,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,242,76.95,2.215,0.6931471805599453,76.95,2.215,3.46,EC:0.500+PC:0.500,"('Li', 'PF6', 1.0, '[""EC"",""PC""]', '[0.5,0.5]', 273.15)",[13634],"[""10.1016/0378-7753(91)80004-H""]",0.0,1,LiPF6,1.0,mol/l,mol/L,volume,,1,0,0,0,0,1,0.5,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0
7,PF6,1,7,11954,10.1149/2.0571912jes,10.1149/2.0571912jes,Li,PF6,0.096,"[""EC"",""EMC""]","[0.3,0.7]",323.15,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,242,28.73,1.025,0.6108643020548935,2.75808,0.09839999999999999,3.556,EC:0.300+EMC:0.700,"('Li', 'PF6', 0.096, '[""EC"",""EMC""]', '[0.3,0.7]', 323.15)",[11954],"[""10.1149/2.0571912jes""]",0.0,1,LiPF6,0.096,mol/l,mol/L,weight,,1,0,0,0,0,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7
8,PF6,1,8,12004,10.1149/2.0641503jes,10.1149/2.0641503jes,Li,PF6,0.5,"[""EC"",""DEC""]","[0.5,0.5]",313.15,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,242,45.9,1.255,0.6931471805599453,22.95,0.6275,8.738205467,EC:0.500+DEC:0.500,"('Li', 'PF6', 0.5, '[""EC"",""DEC""]', '[0.5,0.5]', 313.15)",[12004],"[""10.1149/2.0641503jes""]",0.0,1,LiPF6,0.5,mol/l,mol/L,weight,,1,0,0,0,0,1,0.5,0,0.0,0,0.0,0,0.0,1,0.5,0,0.0
9,PF6,1,9,10878,10.1149/1.1872737,10.1149/1.1872737,Li,PF6,2.240215924,"[""EC"",""PC"",""DMC""]","[0.27,0.1,0.63]",333.0,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,242,32.473,1.1377,0.8748608452408524,72.746531700052,2.5486936567348,15.816490216666667,EC:0.270+PC:0.100+DMC:0.630,"('Li', 'PF6', 2.240215924, '[""EC"",""PC"",""DMC""]', '[0.27,0.1,0.63]', 333.0)","[10878,10879,10880]","[""10.1149/1.1872737""]",0.48859462094887013,3,LiPF6,2.240215924,mol/l,mol/L,volume,,1,0,0,0,0,1,0.27,1,0.1,0,0.0,1,0.63,0,0.0,0,0.0
10,PF6,1,10,13646,10.1016/0378-7753(91)80004-H,10.1016/0378-7753(91)80004-H,Li,PF6,1.0,"[""EC"",""PC""]","[0.5,0.5]",353.15,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,242,76.95,2.215,0.6931471805599453,76.95,2.215,19.35,EC:0.500+PC:0.500,"('Li', 'PF6', 1.0, '[""EC"",""PC""]', '[0.5,0.5]', 353.15)",[13646],"[""10.1016/0378-7753(91)80004-H""]",0.0,1,LiPF6,1.0,mol/l,mol/L,volume,,1,0,0,0,0,1,0.5,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0
