cluster_id,q_scale,selected_systems_in_cluster,planned_simulations_at_q_scale,q_scale_values_per_system,planned_simulations_in_cluster,original_cluster_size,cluster_coverage_fraction,total_planned_simulations,total_unique_systems,clusters_covered,cluster_allocation_target
1,0.7,4,4,5,20,185,0.021621621621621623,65,13,6,4
1,0.75,4,4,5,20,185,0.021621621621621623,65,13,6,4
1,0.8,4,4,5,20,185,0.021621621621621623,65,13,6,4
1,0.85,4,4,5,20,185,0.021621621621621623,65,13,6,4
1,0.9,4,4,5,20,185,0.021621621621621623,65,13,6,4
4,0.7,3,3,5,15,126,0.023809523809523808,65,13,6,3
4,0.75,3,3,5,15,126,0.023809523809523808,65,13,6,3
4,0.8,3,3,5,15,126,0.023809523809523808,65,13,6,3
4,0.85,3,3,5,15,126,0.023809523809523808,65,13,6,3
4,0.9,3,3,5,15,126,0.023809523809523808,65,13,6,3
3,0.7,2,2,5,10,82,0.024390243902439025,65,13,6,2
3,0.75,2,2,5,10,82,0.024390243902439025,65,13,6,2
3,0.8,2,2,5,10,82,0.024390243902439025,65,13,6,2
3,0.85,2,2,5,10,82,0.024390243902439025,65,13,6,2
3,0.9,2,2,5,10,82,0.024390243902439025,65,13,6,2
2,0.7,2,2,5,10,55,0.03636363636363636,65,13,6,2
2,0.75,2,2,5,10,55,0.03636363636363636,65,13,6,2
2,0.8,2,2,5,10,55,0.03636363636363636,65,13,6,2
2,0.85,2,2,5,10,55,0.03636363636363636,65,13,6,2
2,0.9,2,2,5,10,55,0.03636363636363636,65,13,6,2
5,0.7,1,1,5,5,24,0.041666666666666664,65,13,6,1
5,0.75,1,1,5,5,24,0.041666666666666664,65,13,6,1
5,0.8,1,1,5,5,24,0.041666666666666664,65,13,6,1
5,0.85,1,1,5,5,24,0.041666666666666664,65,13,6,1
5,0.9,1,1,5,5,24,0.041666666666666664,65,13,6,1
6,0.7,1,1,5,5,23,0.043478260869565216,65,13,6,1
6,0.75,1,1,5,5,23,0.043478260869565216,65,13,6,1
6,0.8,1,1,5,5,23,0.043478260869565216,65,13,6,1
6,0.85,1,1,5,5,23,0.043478260869565216,65,13,6,1
6,0.9,1,1,5,5,23,0.043478260869565216,65,13,6,1
