cluster_sampling_order,cluster_id,cluster_rank_in_sampling,original_row_index,doi,representative_doi,cation_name,anion_name,salt_conc,solvents,solvent_fracs,temperature,selection_reason,cluster_size,weighted_permittivity,weighted_viscosity_mPa_s_25C,salt_conc_x_weighted_permittivity,salt_conc_x_weighted_viscosity,conductivity,source_row_number,composition_summary,duplicate_identity
0,1,1,106,10.1016/j.jpowsour.2011.06.030,10.1016/j.jpowsour.2011.06.030,Li,PF6,1.0,"[""EC"",""DMC""]","[0.5,0.5]",253.4239726,representative_row_index from cluster_summary.csv,185,46.05,1.245,46.05,1.245,3.307854125,57,EC:0.500+DMC:0.500,"('Li', 'PF6', 1.0, '[""EC"",""DMC""]', '[0.5,0.5]', 253.4239726)"
0,1,2,125,10.1016/j.jpowsour.2011.07.071,10.1016/j.jpowsour.2011.07.071,Li,TFSI,1.0,"[""EC"",""DMC""]","[0.6,0.4]",298.0,"maximin descriptor spread from existing selections using weighted_permittivity, weighted_viscosity_mPa_s_25C, salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity, conductivity; duplicate simulation inputs excluded",185,54.64,1.376,54.64,1.376,9.093333333,76,EC:0.600+DMC:0.400,"('Li', 'TFSI', 1.0, '[""EC"",""DMC""]', '[0.6,0.4]', 298.0)"
0,1,3,11917,10.1149/2.0571912jes,10.1149/2.0571912jes,Li,PF6,3.0,"[""EC"",""DMC""]","[0.5,0.5]",323.15,"maximin descriptor spread from existing selections using weighted_permittivity, weighted_viscosity_mPa_s_25C, salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity, conductivity; duplicate simulation inputs excluded",185,46.05,1.245,138.14999999999998,3.735,7.98,404,EC:0.500+DMC:0.500,"('Li', 'PF6', 3.0, '[""EC"",""DMC""]', '[0.5,0.5]', 323.15)"
0,1,4,192,10.1016/j.jpowsour.2011.07.071,10.1016/j.jpowsour.2011.07.071,Li,PF6,1.0,"[""EC"",""DMC""]","[0.5,0.5]",354.0952676,"maximin descriptor spread from existing selections using weighted_permittivity, weighted_viscosity_mPa_s_25C, salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity, conductivity; duplicate simulation inputs excluded",185,46.05,1.245,46.05,1.245,22.55335602,143,EC:0.500+DMC:0.500,"('Li', 'PF6', 1.0, '[""EC"",""DMC""]', '[0.5,0.5]', 354.0952676)"
1,4,1,23,10.1016/j.electacta.2008.04.023,10.1016/j.electacta.2008.04.023,Li,PF6,0.201931519,"[""EC"",""EMC""]","[0.3,0.7]",298.15,representative_row_index from cluster_summary.csv,126,28.73,1.025,5.80149254087,0.2069798069749999,4.534450652,0,EC:0.300+EMC:0.700,"('Li', 'PF6', 0.201931519, '[""EC"",""EMC""]', '[0.3,0.7]', 298.15)"
1,4,2,120,10.1016/j.jpowsour.2011.07.071,10.1016/j.jpowsour.2011.07.071,Li,TFSI,1.0,"[""EC"",""DMC""]","[0.2,0.8]",298.0,"maximin descriptor spread from existing selections using weighted_permittivity, weighted_viscosity_mPa_s_25C, salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity, conductivity; duplicate simulation inputs excluded",126,20.28,0.852,20.28,0.852,9.066666667,71,EC:0.200+DMC:0.800,"('Li', 'TFSI', 1.0, '[""EC"",""DMC""]', '[0.2,0.8]', 298.0)"
1,4,3,11923,10.1149/2.0571912jes,10.1149/2.0571912jes,Li,PF6,3.002,"[""EC"",""EMC""]","[0.3,0.7]",263.15,"maximin descriptor spread from existing selections using weighted_permittivity, weighted_viscosity_mPa_s_25C, salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity, conductivity; duplicate simulation inputs excluded",126,28.73,1.025,86.24745999999999,3.0770499999999994,0.35,410,EC:0.300+EMC:0.700,"('Li', 'PF6', 3.002, '[""EC"",""EMC""]', '[0.3,0.7]', 263.15)"
2,3,1,3593,10.1149/1.1344281,10.1149/1.1344281,Li,TFSI,1.0,"[""PC""]",[1.0],375.3490984,representative_row_index from cluster_summary.csv,82,64.9,2.53,64.9,2.53,16.88831057,201,PC:1.000,"('Li', 'TFSI', 1.0, '[""PC""]', '[1.0]', 375.3490984)"
2,3,2,126,10.1016/j.jpowsour.2011.07.071,10.1016/j.jpowsour.2011.07.071,Li,TFSI,1.0,"[""EC"",""DMC""]","[0.7,0.3]",298.0,"maximin descriptor spread from existing selections using weighted_permittivity, weighted_viscosity_mPa_s_25C, salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity, conductivity; duplicate simulation inputs excluded",82,63.23,1.507,63.23,1.507,8.886666667,77,EC:0.700+DMC:0.300,"('Li', 'TFSI', 1.0, '[""EC"",""DMC""]', '[0.7,0.3]', 298.0)"
3,2,1,3786,10.1149/1.1344281,10.1149/1.1344281,Li,ClO4,0.5,"[""DME""]",[1.0],342.1636336,representative_row_index from cluster_summary.csv,55,7.2,0.39,3.6,0.195,2.579896064,271,DME:1.000,"('Li', 'ClO4', 0.5, '[""DME""]', '[1.0]', 342.1636336)"
