descriptor_name,selected_k,best_silhouette_score,cluster_id,cluster_size,representative_row_index,representative_doi,cluster_mean_descriptor_value,cluster_std_descriptor_value
conductivity,2,0.5938204073620023,1,214,11950,10.1149/2.0571912jes,11.527446282040499,3.218787273245184
conductivity,2,0.5938204073620023,2,284,197,10.1016/j.jpowsour.2011.07.071,3.620089313771127,2.204540111018909
solvent_entropy,6,0.9913376774804187,1,208,106,10.1016/j.jpowsour.2011.06.030,0.6929535698527272,0.0019696745726238084
solvent_entropy,6,0.9913376774804187,2,125,128,10.1016/j.jpowsour.2011.07.071,0.0,0.0
solvent_entropy,6,0.9913376774804187,3,126,23,10.1016/j.electacta.2008.04.023,0.61047915001175,0.004323320961777232
solvent_entropy,6,0.9913376774804187,4,25,10872,10.1149/1.1872737,0.8748608452408524,0.0
solvent_entropy,6,0.9913376774804187,5,12,13615,10.1016/0378-7753(91)80004-H,0.41457357827144564,0.02818223171858669
solvent_entropy,6,0.9913376774804187,6,2,120,10.1016/j.jpowsour.2011.07.071,0.5004024235381879,0.0
weighted_permittivity,6,0.9622592708547778,1,185,106,10.1016/j.jpowsour.2011.06.030,46.084270270270274,0.6337788947468649
weighted_permittivity,6,0.9622592708547778,2,55,3786,10.1149/1.1344281,7.207090909090907,0.8273936604544837
weighted_permittivity,6,0.9622592708547778,3,82,3593,10.1149/1.1344281,65.36457317073172,1.2612039126940404
weighted_permittivity,6,0.9622592708547778,4,126,23,10.1016/j.electacta.2008.04.023,28.63107142857144,0.8364351994369574
weighted_permittivity,6,0.9622592708547778,5,24,13616,10.1016/0378-7753(91)80004-H,77.23833333333334,2.714887565398173
weighted_permittivity,6,0.9622592708547778,6,26,10872,10.1149/1.1872737,32.66480769230769,0.9780311659341241
weighted_viscosity_mPa_s_25C,6,0.9422100801128792,1,187,12002,10.1149/2.0641503jes,1.250005347593583,0.03570104322535306
weighted_viscosity_mPa_s_25C,6,0.9422100801128792,2,81,3593,10.1149/1.1344281,2.5171666666666668,0.03257539332072585
weighted_viscosity_mPa_s_25C,6,0.9422100801128792,3,54,3786,10.1149/1.1344281,0.3937037037037038,0.02721655269759085
weighted_viscosity_mPa_s_25C,6,0.9422100801128792,4,127,23,10.1016/j.electacta.2008.04.023,1.0200669291338587,0.032437324315499665
weighted_viscosity_mPa_s_25C,6,0.9422100801128792,5,23,13616,10.1016/0378-7753(91)80004-H,2.201304347826088,0.06568204042797855
weighted_viscosity_mPa_s_25C,6,0.9422100801128792,6,26,10872,10.1149/1.1872737,1.1367884615384616,0.004647952402774928
salt_conc_x_weighted_permittivity,6,0.8272216575775623,1,157,106,10.1016/j.jpowsour.2011.06.030,46.09688981191243,1.7171836250478585
salt_conc_x_weighted_permittivity,6,0.8272216575775623,2,37,11947,10.1149/2.0571912jes,81.90930783783782,6.380309822836075
salt_conc_x_weighted_permittivity,6,0.8272216575775623,3,103,11932,10.1149/2.0571912jes,28.3852559771631,2.568322507553492
salt_conc_x_weighted_permittivity,6,0.8272216575775623,4,11,11897,10.1149/2.0571912jes,127.27187673190825,15.138682384354299
salt_conc_x_weighted_permittivity,6,0.8272216575775623,5,79,23,10.1016/j.electacta.2008.04.023,5.185310854777216,3.9831925851057717
salt_conc_x_weighted_permittivity,6,0.8272216575775623,6,111,3593,10.1149/1.1344281,65.0276679331897,3.596588228358021
salt_conc_x_weighted_viscosity,6,0.80841967658074,1,99,10878,10.1149/1.1872737,2.55597228335931,0.14663811115093234
salt_conc_x_weighted_viscosity,6,0.80841967658074,2,94,11932,10.1149/2.0571912jes,1.0189528913154684,0.04647936723536619
salt_conc_x_weighted_viscosity,6,0.80841967658074,3,88,23,10.1016/j.electacta.2008.04.023,0.2777254882438864,0.17604120032640447
salt_conc_x_weighted_viscosity,6,0.80841967658074,4,159,12008,10.1149/2.0641503jes,1.270557101241258,0.08301721473344098
salt_conc_x_weighted_viscosity,6,0.80841967658074,5,11,11902,10.1149/2.0571912jes,3.7555769261087177,0.02744049346541972
salt_conc_x_weighted_viscosity,6,0.80841967658074,6,47,11946,10.1149/2.0571912jes,2.0830896913869963,0.14342915884706062
anion_PF6,2,1.0,1,253,31,10.1016/j.jpowsour.2010.12.040,0.0,0.0
anion_PF6,2,1.0,2,245,23,10.1016/j.electacta.2008.04.023,1.0,0.0
anion_ClO4,2,1.0,1,434,23,10.1016/j.electacta.2008.04.023,0.0,0.0
anion_ClO4,2,1.0,2,64,3724,10.1149/1.1344281,1.0,0.0
anion_TFSI,2,1.0,1,127,119,10.1016/j.jpowsour.2011.07.071,1.0,0.0
anion_TFSI,2,1.0,2,371,23,10.1016/j.electacta.2008.04.023,0.0,0.0
anion_FSI,2,1.0,1,479,23,10.1016/j.electacta.2008.04.023,0.0,0.0
anion_FSI,2,1.0,2,19,31,10.1016/j.jpowsour.2010.12.040,1.0,0.0
anion_BF4,2,1.0,1,455,23,10.1016/j.electacta.2008.04.023,0.0,0.0
anion_BF4,2,1.0,2,43,60,10.1016/j.jpowsour.2010.12.040,1.0,0.0
has_EC,2,1.0,1,374,23,10.1016/j.electacta.2008.04.023,1.0,0.0
has_EC,2,1.0,2,124,129,10.1016/j.jpowsour.2011.07.071,0.0,0.0
frac_EC,5,0.9674320165819025,1,208,106,10.1016/j.jpowsour.2011.06.030,0.5,0.009829463743659807
frac_EC,5,0.9674320165819025,2,124,129,10.1016/j.jpowsour.2011.07.071,0.0,0.0
frac_EC,5,0.9674320165819025,3,150,23,10.1016/j.electacta.2008.04.023,0.2946666666666667,0.011796181083010577
frac_EC,5,0.9674320165819025,4,3,127,10.1016/j.jpowsour.2011.07.071,0.8333333333333334,0.1527525231651947
frac_EC,5,0.9674320165819025,5,13,13615,10.1016/0378-7753(91)80004-H,0.14999999999999997,0.020412414523193152
has_PC,2,1.0,1,370,23,10.1016/j.electacta.2008.04.023,0.0,0.0
has_PC,2,1.0,2,128,3593,10.1149/1.1344281,1.0,0.0
frac_PC,5,1.0,1,370,23,10.1016/j.electacta.2008.04.023,0.0,0.0
frac_PC,5,1.0,2,11,13615,10.1016/0378-7753(91)80004-H,0.85,0.0
frac_PC,5,1.0,3,70,3593,10.1149/1.1344281,1.0,0.0
frac_PC,5,1.0,4,22,13616,10.1016/0378-7753(91)80004-H,0.5,0.0
frac_PC,5,1.0,5,25,10872,10.1149/1.1872737,0.10000000000000002,1.4163957869901234e-17
has_DME,2,1.0,1,445,23,10.1016/j.electacta.2008.04.023,0.0,0.0
has_DME,2,1.0,2,53,3786,10.1149/1.1344281,1.0,0.0
frac_DME,2,1.0,1,445,23,10.1016/j.electacta.2008.04.023,0.0,0.0
frac_DME,2,1.0,2,53,3786,10.1149/1.1344281,1.0,0.0
has_DMC,2,1.0,1,203,106,10.1016/j.jpowsour.2011.06.030,1.0,0.0
