descriptor_name,number_of_unique_values,selected_k,best_silhouette_score,one_cluster_fallback_used,status,skip_reason,n_rows,n_non_missing,n_missing,missing_fraction
anion_BF4,2,2,1.0,False,tested,,498,498,0,0.0
anion_ClO4,2,2,1.0,False,tested,,498,498,0,0.0
anion_FSI,2,2,1.0,False,tested,,498,498,0,0.0
anion_PF6,2,2,1.0,False,tested,,498,498,0,0.0
anion_TFSI,2,2,1.0,False,tested,,498,498,0,0.0
frac_DEC,2,2,1.0,False,tested,,498,498,0,0.0
frac_DME,2,2,1.0,False,tested,,498,498,0,0.0
frac_EMC,2,2,1.0,False,tested,,498,498,0,0.0
frac_PC,5,5,1.0,False,tested,,498,498,0,0.0
has_DEC,2,2,1.0,False,tested,,498,498,0,0.0
has_DMC,2,2,1.0,False,tested,,498,498,0,0.0
has_DME,2,2,1.0,False,tested,,498,498,0,0.0
has_EC,2,2,1.0,False,tested,,498,498,0,0.0
has_EMC,2,2,1.0,False,tested,,498,498,0,0.0
has_PC,2,2,1.0,False,tested,,498,498,0,0.0
solvent_entropy,9,6,0.9913376774804187,False,tested,,498,498,0,0.0
frac_DMC,12,6,0.9879053137739203,False,tested,,498,498,0,0.0
frac_EC,13,5,0.9674320165819025,False,tested,,498,498,0,0.0
weighted_permittivity,18,6,0.9622592708547778,False,tested,,498,498,0,0.0
weighted_viscosity_mPa_s_25C,18,6,0.9422100801128792,False,tested,,498,498,0,0.0
salt_conc_x_weighted_permittivity,99,6,0.8272216575775623,False,tested,,498,498,0,0.0
salt_conc_x_weighted_viscosity,99,6,0.80841967658074,False,tested,,498,498,0,0.0
conductivity,473,2,0.5938204073620023,False,tested,,498,498,0,0.0
