feature,importance,importance_type,target_transform
numeric__temperature,0.39158546931199417,model_feature_importance,log1p
numeric__has_dmc,0.12268119752814298,model_feature_importance,log1p
numeric__q_scale,0.07471507075551836,model_feature_importance,log1p
numeric__anion_tfsi,0.07053806675963403,model_feature_importance,log1p
numeric__salt_conc_x_weighted_permittivity,0.05642238309297693,model_feature_importance,log1p
numeric__weighted_permittivity,0.0382659022325732,model_feature_importance,log1p
numeric__frac_pc,0.03290129559446197,model_feature_importance,log1p
numeric__frac_dmc,0.0319155072572906,model_feature_importance,log1p
numeric__salt_conc_x_weighted_viscosity,0.028884480474541636,model_feature_importance,log1p
numeric__has_emc,0.02562663604751218,model_feature_importance,log1p
numeric__frac_emc,0.022833531186229477,model_feature_importance,log1p
numeric__frac_dme,0.018391926823797963,model_feature_importance,log1p
numeric__anion_clo4,0.01777713616929564,model_feature_importance,log1p
numeric__weighted_viscosity_mpa_s_25c,0.016476928848500282,model_feature_importance,log1p
numeric__has_dme,0.013870754376197081,model_feature_importance,log1p
numeric__salt_conc,0.012747364061774262,model_feature_importance,log1p
numeric__has_pc,0.00730762107640932,model_feature_importance,log1p
numeric__anion_pf6,0.006337897125489164,model_feature_importance,log1p
numeric__frac_ec,0.004856710578450114,model_feature_importance,log1p
numeric__solvent_entropy,0.003767504011594277,model_feature_importance,log1p
numeric__has_ec,0.0020966166876163605,model_feature_importance,log1p
numeric__frac_dec,0.0,model_feature_importance,log1p
numeric__anion_fsi,0.0,model_feature_importance,log1p
numeric__anion_bf4,0.0,model_feature_importance,log1p
numeric__has_dec,0.0,model_feature_importance,log1p
