simulation_key,electrolyte_group,original_row_index,duplicate_identity,cluster_id,q_scale,conductivity_ms_cm,conductivity_uncertainty_ms_cm,weighted_permittivity,n_collapsed_simulations,anion_bf4,anion_clo4,anion_fsi,anion_pf6,anion_tfsi,frac_dec,frac_dmc,frac_dme,frac_ec,frac_emc,frac_pc,has_dec,has_dmc,has_dme,has_ec,has_emc,has_pc,salt_conc,salt_conc_x_weighted_permittivity,salt_conc_x_weighted_viscosity,solvent_entropy,temperature,weighted_viscosity_mpa_s_25c
"('Li', 'PF6', 1.0, '[""EC"",""DMC""]', '[0.5,0.5]', 253.4239726)|q=0.7","('Li', 'PF6', 1.0, '[""EC"",""DMC""]', '[0.5,0.5]', 253.4239726)",106.0,"('Li', 'PF6', 1.0, '[""EC"",""DMC""]', '[0.5,0.5]', 253.4239726)",1.0,0.7,4.9627,0.6909,46.05,1,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,46.05,1.245,0.6931471805599453,253.4239726,1.245
"('Li', 'PF6', 1.0, '[""EC"",""DMC""]', '[0.5,0.5]', 253.4239726)|q=0.75","('Li', 'PF6', 1.0, '[""EC"",""DMC""]', '[0.5,0.5]', 253.4239726)",106.0,"('Li', 'PF6', 1.0, '[""EC"",""DMC""]', '[0.5,0.5]', 253.4239726)",1.0,0.75,4.0732,0.3641,46.05,1,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,46.05,1.245,0.6931471805599453,253.4239726,1.245
"('Li', 'PF6', 1.0, '[""EC"",""DMC""]', '[0.5,0.5]', 253.4239726)|q=0.8","('Li', 'PF6', 1.0, '[""EC"",""DMC""]', '[0.5,0.5]', 253.4239726)",106.0,"('Li', 'PF6', 1.0, '[""EC"",""DMC""]', '[0.5,0.5]', 253.4239726)",1.0,0.8,3.2792,0.8372,46.05,1,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,46.05,1.245,0.6931471805599453,253.4239726,1.245
"('Li', 'PF6', 1.0, '[""EC"",""DMC""]', '[0.5,0.5]', 253.4239726)|q=0.85","('Li', 'PF6', 1.0, '[""EC"",""DMC""]', '[0.5,0.5]', 253.4239726)",106.0,"('Li', 'PF6', 1.0, '[""EC"",""DMC""]', '[0.5,0.5]', 253.4239726)",1.0,0.85,2.8392,0.5023,46.05,1,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,46.05,1.245,0.6931471805599453,253.4239726,1.245
"('Li', 'PF6', 1.0, '[""EC"",""DMC""]', '[0.5,0.5]', 253.4239726)|q=0.9","('Li', 'PF6', 1.0, '[""EC"",""DMC""]', '[0.5,0.5]', 253.4239726)",106.0,"('Li', 'PF6', 1.0, '[""EC"",""DMC""]', '[0.5,0.5]', 253.4239726)",1.0,0.9,2.0849,0.4291,46.05,1,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,46.05,1.245,0.6931471805599453,253.4239726,1.245
"('Li', 'TFSI', 1.0, '[""EC"",""DMC""]', '[0.6,0.4]', 298.0)|q=0.7","('Li', 'TFSI', 1.0, '[""EC"",""DMC""]', '[0.6,0.4]', 298.0)",125.0,"('Li', 'TFSI', 1.0, '[""EC"",""DMC""]', '[0.6,0.4]', 298.0)",1.0,0.7,8.1533,1.8832,54.64,1,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.0,0.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,54.64,1.376,0.6730116670092565,298.0,1.376
"('Li', 'TFSI', 1.0, '[""EC"",""DMC""]', '[0.6,0.4]', 298.0)|q=0.75","('Li', 'TFSI', 1.0, '[""EC"",""DMC""]', '[0.6,0.4]', 298.0)",125.0,"('Li', 'TFSI', 1.0, '[""EC"",""DMC""]', '[0.6,0.4]', 298.0)",1.0,0.75,7.8439,0.548,54.64,1,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.0,0.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,54.64,1.376,0.6730116670092565,298.0,1.376
"('Li', 'TFSI', 1.0, '[""EC"",""DMC""]', '[0.6,0.4]', 298.0)|q=0.8","('Li', 'TFSI', 1.0, '[""EC"",""DMC""]', '[0.6,0.4]', 298.0)",125.0,"('Li', 'TFSI', 1.0, '[""EC"",""DMC""]', '[0.6,0.4]', 298.0)",1.0,0.8,7.8217,0.9552,54.64,1,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.0,0.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,54.64,1.376,0.6730116670092565,298.0,1.376
"('Li', 'TFSI', 1.0, '[""EC"",""DMC""]', '[0.6,0.4]', 298.0)|q=0.85","('Li', 'TFSI', 1.0, '[""EC"",""DMC""]', '[0.6,0.4]', 298.0)",125.0,"('Li', 'TFSI', 1.0, '[""EC"",""DMC""]', '[0.6,0.4]', 298.0)",1.0,0.85,6.0726,1.4453,54.64,1,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.0,0.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,54.64,1.376,0.6730116670092565,298.0,1.376
"('Li', 'TFSI', 1.0, '[""EC"",""DMC""]', '[0.6,0.4]', 298.0)|q=0.9","('Li', 'TFSI', 1.0, '[""EC"",""DMC""]', '[0.6,0.4]', 298.0)",125.0,"('Li', 'TFSI', 1.0, '[""EC"",""DMC""]', '[0.6,0.4]', 298.0)",1.0,0.9,5.1618,1.4407,54.64,1,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.0,0.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,54.64,1.376,0.6730116670092565,298.0,1.376
