salt,concentration_molkg,temperature_K,alpha,permittivity,viscosity,coordination_number,diffusivity,activity_coefficient,conductivity_mScm,solvent_EC,solvent_PC,solvent_DMC,solvent_EMC,solvent_DEC,solvent_DME
PF6,2.0079479021369937,280.3024770625061,0.8625964844738918,47.87343396400957,7.600593608923034,7.330122003475243,0.03687902438744171,2.3774402904498375,132.5463485108499,0.2938675955448862,0.29997734954226074,0.03519511996848431,0.010872897562569733,0.1827291084134645,0.17735792896833463
FSI,0.3467796890396032,320.1749768035772,0.9079160997805162,46.21805212699186,3.260344968011354,3.787117156889842,0.0982027914054959,1.1704911316574043,123.20577497018019,0.23248960661520107,0.36961146189680116,0.08259602753851979,0.26292438369281296,0.03282819800234156,0.019550322254323294
TFSI,0.55486583175536,311.9337903348199,0.9361905389769543,53.59957241419335,3.7775862960047983,4.298650355227366,0.08257489462642409,1.2965800549273598,181.37536715187343,0.3937099500640809,0.26285295434597583,0.1404775017669685,0.08934376660922436,0.09710520116589698,0.01651062604785345
BF4,0.7218915028170334,311.1793976969031,0.8592879797180827,31.611061330956318,4.136805169155567,4.550781727578248,0.07522215453052704,1.3636382961992923,105.30219951003035,0.2609724310112114,0.08764146790479689,0.16984182904843378,0.23631734120018458,0.12665097423296573,0.11857595660240754
FSI,0.2169332204273127,317.85468951762186,0.9162127141480081,55.495071095240164,3.0157782869524596,3.4968924366914407,0.10539723390568748,1.1044842537640935,90.2229745475914,0.37647036948541157,0.3118975366166223,0.07784629591292724,0.0892118271089978,0.0460702267955908,0.09850374408045029
FSI,1.2835212741292046,305.21845806942775,0.9412497143540064,28.238129813817142,5.41606284583342,6.02028508160351,0.056354305102687734,1.8295261818756672,160.02544287895535,0.19986207101433398,0.1007363366895263,0.14106657515882703,0.12815212670821635,0.04597531340517047,0.38420757702392583
TFSI,2.162827068516782,286.33455069432443,0.7645756854222665,31.056595725647682,7.7844092002637995,7.1341124709026245,0.036783080556019726,2.2860432716644126,109.31679486603728,0.2189257873086016,0.12431230057688014,0.00932641039584411,0.20069643294980896,0.13036693063556062,0.31637213813330456
TFSI,2.0722468847318796,282.51745643473913,0.7556780182834651,37.85512667427752,7.685835284853932,6.914878548120678,0.03675819816116555,2.187973361403071,111.65531062744455,0.3248118686588783,0.10444574816758741,0.2710700564162245,0.09578846568693268,0.1671487504388374,0.03673511063153955
FSI,1.0763488200219096,290.18618908142895,0.9075706482797221,16.16223808554213,5.232951564639393,5.442156490905996,0.05545363558155271,1.6297576099050877,92.00031744472895,0.08681938560610811,0.07472705790051198,0.18094043939464424,0.0362414218705452,0.3712425390862318,0.25002915614195864
TFSI,2.429105667899765,317.3888015260503,0.9292225472897488,8.10527023130363,7.574134438559149,8.642949390904466,0.04190429996994193,3.0912943236723516,78.29066622780314,0.008444619472301209,0.05614528558934602,0.251077162069548,0.11248349853185612,0.3436788621684574,0.2281705721684912
