Dielectric_constant,Dipole_moment_Gaussian,Dipole_moment_MD,correction_factor
2,7.7121,11.174046,0.690179725410115
2.5,8.184,11.620483,0.70427365196438
3,8.5351,11.845703,0.720522876523242
3.5,8.7895,11.974177,0.734037921771158
4,9.0064,12.073523,0.745962880925476
4.5,9.1793,12.157505,0.755031562808323
5.5,9.4786,12.296273,0.801974712174982
6,9.8613,12.361864,0.807540027944006
6.5,9.9827,13.440902,0.750604386521083
7,10.0888,13.487925,0.754875193923454
7.5,10.1817,13.527647,0.758794193846129
8,10.2647,13.562251,0.762380817166708
8.5,10.3396,13.592384,0.765752350728173
9,10.4084,13.620322,0.768807081066072
9.5,10.4714,13.644854,0.771587588991425
10,10.5282,13.666965,0.774136759697563
10.5,10.5801,13.687054,0.7765513309146
11,10.6287,13.70534,0.778857000264131
11.5,10.6745,13.722122,0.781016230580081
12,10.7172,13.737652,0.783088696671018
12.5,10.7578,13.751996,0.785006045667843
13,10.7954,13.765328,0.789352785491199
13.5,10.8657,13.77779,0.790925104824504
14,10.8972,13.789451,0.767354697442269
14.5,10.5814,13.800342,0.768336031092563
15,10.6033,13.810531,0.769195623253009
15.5,10.623,13.820023,0.769991482648039
16,10.6413,13.829086,0.77072338692521
16.5,10.6584,13.837155,0.771466388863896
17,10.6749,13.8456,0.772122551568729
17.5,10.6905,13.853219,0.772773461532659
18,10.7054,13.860395,0.773354583328974
18.5,10.719,13.86735,0.773997915968083
19,10.7333,13.873902,0.775441544851621
19.5,,13.880187,0.775947759205261
20,10.7584,13.886189,0.776418929628568
20.5,10.7703,13.891893,0.776870366047305
21,10.7815,13.897484,0.77732775227516
21.5,10.7922,13.90274,0.777767547979751
22,10.8029,13.907839,0.778136704055893
22.5,10.8131,13.912575,0.778525901926854
23,10.8222,13.917298,0.778901191883654
23.5,10.8313,13.921839,0.779264865798261
24,10.8402,13.926116,0.779628720599484
24.5,10.8488,13.930239,0.779957903091253
25,10.8572,13.934228,0.780280041348541
25.5,10.865,13.937495,0.780628082736532
26,10.8726,13.941699,0.780909127359585
26.5,10.88,13.945279,0.781196274380742
27,10.8872,13.948739,0.781475658839125
27.5,10.894,13.951976,0.781738730055155
28,10.9006,13.954882,0.78204889156354
28.5,10.9068,13.958355,0.782291323010484
29,10.9134,13.961227,0.782560157499051
29.5,10.9195,13.964055,0.782831348057566
30,10.9255,13.967032,0.783065435806261
30.5,10.9315,13.969701,0.783280902003557
31,10.9371,13.972417,0.783500807340634
31.5,10.9422,13.974848,0.783715143091359
32,10.9474,13.977497,0.783917177732179
32.5,10.9523,13.979958,0.784122527406735
33,10.9572,13.982316,0.784326430614213
33.5,10.962,13.984631,0.784518375922825
34,10.9667,13.986817,0.784703195873657
34.5,10.9712,13.988778,0.784907731039838
35,10.9755,13.990981,0.785070039048727
35.5,10.9799,13.993254,0.785256953100401
36,10.9839,13.994972,0.785410646052025
36.5,10.9883,13.996777,0.785609429942336
37,10.9918,13.998962,0.785743971588751
37.5,10.996,14.000475,0.785923334744
38,10.9996,14.002685,0.786056388471211
38.5,11.0033,14.00414,0.786224644997836
39,11.0069,14.006183,0.786359852645078
39.5,11.0104,14.008008,0.786492983156492
40,11.0139,14.009583,0.786640116268985
40.5,11.0172,14.011323,0.786770813862474
41,11.0205,14.012767,0.786918101185869
41.5,11.0237,14.014365,0.787042438241048
42,11.0269,14.015897,0.78717045366415
42.5,11.0299,14.017423,0.787298778099227
43,11.0329,14.018889,0.787458977669343
43.5,11.0359,14.020295,0.787572586739437
44,11.0393,14.021747,0.787697852485856
44.5,11.042,14.021747,0.787869015180491
45,11.0449,14.024038,0.787918572382648
45.5,11.0473,14.025805,0.788040329948976
46,11.0498,14.025805,0.788190053975512
46.5,11.0529,14.028401,0.788208150023656
47,11.055,14.028401,0.78839348832415
47.5,11.0573,14.030999,0.788418558079863
48,11.0599,14.030999,0.788810547274645
48.5,11.0623,14.033384,0.859935137526344
49.5,11.0678,14.035548,1.00229787964104
50.5,12.0678,15.035548,1.00214504985119
51.5,13.0678,16.035548,1.00201128143547
52.5,14.0678,17.035548,1.00189321764113
53.5,15.0678,18.035548,1.00178824619025
54.5,16.0678,19.035548,1.0016943037311
55.5,17.0678,20.035548,1.00160973885017
56.5,18.0678,21.035548,1.00153321415729
57.5,19.0678,22.035548,1.0014636350319
58.5,20.0678,23.035548,1.00140009692845
59.5,21.0678,24.035548,1.00134184583601
60.5,22.0678,25.035548,1.0012882482141
61.5,23.0678,26.035548,1.00123876785693
62.5,24.0678,27.035548,1.00119294789216
63.5,25.0678,28.035548,1.00115039663216
64.5,26.0678,29.035548,1.00111077634905
65.5,27.0678,30.035548,1.00107379429202
66.5,28.0678,31.035548,1.03326031169161
67.5,29.0678,32.035548,1.03222208029655
68.5,30.0678,33.035548,1.03124670430774
69.5,31.0678,34.035548,1.03032864345243
70.5,32.0678,35.035548,1.02946298998948
71.5,33.0678,36.035548,1.02864538094439
72.5,34.0678,37.035548,1.02787192456286
73.5,35.0678,38.035548,1.02713913836604
74.5,36.0678,39.035548,1.02644389672716
75.5,37.0678,40.035548,1.02578338630459
76.5,38.0678,41.035548,1.02515506799129
77.5,39.0678,42.035548,1.02455664429544
78.5,40.0678,43.035548,1.02398603126885
79.5,41.0678,44.035548,1.02344133426022
80.5,42.0678,45.035548,1.02292082689879
81.5,43.0678,46.035548,1.02242293281705
82.5,44.0678,47.035548,1.02194620970505
83.5,45.0678,48.035548,1.02148933535639
84.5,46.0678,49.035548,1.02105109542163
85.5,47.0678,50.035548,1.02063037263027
86.5,48.0678,51.035548,1.02022613727984
87.5,49.0678,52.035548,1.01983743882163
88.5,50.0678,53.035548,1.01946339839837
89.5,51.0678,54.035548,1.01910320221052
90.5,52.0678,55.035548,1.0187560956057
91.5,53.0678,56.035548,1.01842137780111
92.5,54.0678,57.035548,1.01809839716101
93.5,55.0678,58.035548,1.01778654696256
94.5,56.0678,59.035548,1.01748526159188
95.5,57.0678,60.035548,1.01719401312036
96.5,58.0678,61.035548,1.0169123082175
97.5,59.0678,62.035548,1.01663968536233
98.5,60.0678,63.035548,1.01637571232029
99.5,61.0678,64.035548,1.01611998385647
100.5,62.0678,65.035548,1.01587211965985
101.5,63.0678,66.035548,1.01563176245619
102.5,64.0678,67.035548,1.0153985762897
103.5,65.0678,68.035548,1.01517224495642
104.5,66.0678,69.035548,1.01495247057357
105.5,67.0678,70.035548,1.01473897227162
106.5,68.0678,71.035548,1.01453148499678
107.5,69.0678,72.035548,0
108.5,70.0678,73.035548,0
109.5,71.0678,74.035548,0
110.5,72.0678,75.035548,0
