Dielectric_constant,Dipole_moment_Gaussian,Dipole_moment_MD,correction_factor
2,8.6224,10.766388,0.800862833477671
2.5,8.9837,10.95486,0.820065249578726
3,9.2952,11.13148,0.835037209787018
3.5,9.5403,11.271891,0.846379724573277
4,9.7256,11.375725,0.854943311305433
4.5,9.8712,11.4561,0.86165448974782
5,9.9908,11.521853,0.867117467997552
5.5,10.0912,11.576926,0.871664896190923
6,10.1763,11.623567,0.875488565601248
6.5,10.2502,11.664121,0.878780321294678
7,10.3157,11.700375,0.881655502494578
7.5,10.3745,11.733292,0.884193455681491
8,10.4285,11.763964,0.886478401327988
8.5,10.4784,11.792719,0.888548264399415
9,10.5246,11.819689,0.890429519761476
9.5,10.5674,11.844936,0.892144963890054
10,10.6075,11.868893,0.893722775999413
10.5,10.6446,11.891128,0.895171593477087
11,10.6795,11.912227,0.896515823615517
11.5,10.7122,11.932247,0.897752116596312
12,10.7432,11.951255,0.898918147089992
12.5,10.7725,11.969431,0.900001010908539
13,10.8002,11.986725,0.901013412754526
13.5,10.8265,12.00317,0.901970062908381
14,10.8515,12.018921,0.90286806943818
14.5,10.875,12.033837,0.903701786886427
15,10.898,12.048656,0.904499223813843
15.5,10.9197,12.062669,0.90524742078225
16,10.9406,12.07617,0.905966047182178
16.5,10.961,12.089581,0.90664846035607
17,10.9817,12.103438,0.907320713337814
17.5,10.9952,12.11049,0.907907111933539
18,11.1265,12.217398,0.910709465305133
18.5,11.1411,12.226553,0.911221666482777
19,11.1624,12.241316,0.911862744169009
19.5,11.1911,12.262093,0.912658222376881
20,11.1931,12.261336,0.912877683149699
20.5,11.2102,12.272959,0.913406457236596
21,11.2232,12.281403,0.913836961461162
21.5,11.2372,12.290655,0.914288131918112
22,11.2506,12.299644,0.914709401345275
22.5,11.2594,12.304911,0.91503303030798
23,11.2738,12.314724,0.915473217264147
23.5,11.2891,12.325392,0.91592218730244
24,11.3072,12.338511,0.916415278958701
24.5,11.3141,12.342457,0.916681338245699
25,11.3249,12.349652,0.917021791383271
