Dielectric_constant,Dipole_moment_Gaussian,Dipole_moment_MD,correction_factor
2,8.3115,11.337919,0.733071033582089
2.5,8.7226,11.520215,0.757156007939088
3,9.0365,11.661505,0.774899980748626
3.5,9.2903,11.77955,0.788680382527346
4,9.5891,11.94362,0.802863788365671
4.5,9.7665,12.02922,0.811898028301087
5,9.9132,12.099844,0.819283289933325
5.5,10.0378,12.160138,0.825467605713027
6,10.1451,12.212256,0.830731029549331
6.5,10.2384,12.257718,0.83526150626079
7,10.3204,12.29791,0.839199506257567
7.5,10.3948,12.334862,0.842717170244791
8,10.4627,12.369211,0.845866401664585
8.5,10.5264,12.402297,0.848746002454223
9,10.588,12.435314,0.851446131557273
9.5,10.6485,12.468985,0.853998942175326
10,10.7112,12.505569,0.856514405701972
10.5,10.7752,12.544213,0.858977761299174
11,10.8454,12.588664,0.861521127261797
11.5,10.9862,12.68896,0.86580775729453
12,11.0604,12.73775,0.868316617927028
12.5,11.1125,12.769974,0.870205373949861
13,11.1559,12.796069,0.871822432342308
13.5,11.1946,12.818954,0.873284980974267
14,11.2299,12.839736,0.874620786595612
14.5,11.2628,12.859145,0.875859164820056
15,11.2942,12.877676,0.877037129991467
15.5,11.3241,12.895454,0.87814667091209
16,11.3542,12.913575,0.879245290324329
16.5,11.3854,12.93295,0.880340525556814
17,11.4187,12.954199,0.881467082603872
17.5,11.4559,12.978728,0.882667392366956
18,11.4995,13.008539,0.883996273524644
18.5,11.5552,13.047749,0.885608697714832
19,11.6184,13.09316,0.887364089341305
19.5,11.6902,13.145193,0.889313682956196
20,11.8087,13.233867,0.892309103605167
20.5,11.937,13.330888,0.8954392235536
21,11.9782,13.360125,0.896563467781926
21.5,12.0076,13.380297,0.897409078438244
22,12.0258,13.39177,0.897999293595992
22.5,12.0441,13.403624,0.898570416478409
23,12.0721,13.423194,0.899346310572581
23.5,12.0888,13.433946,0.899869628774747
24,12.1046,13.444127,0.900363407754181
24.5,12.1195,13.453626,0.900835209779133
25,12.1332,13.462332,0.901270299974774
25.5,12.1459,13.470338,0.901677448628238
26,12.1576,13.47765,0.902056367393425
26.5,12.169,13.484734,0.902427886230459
27,12.1791,13.490886,0.902765022252801
27.5,12.1891,13.497117,0.903089156002723
28,12.1988,13.503086,0.903408302368807
28.5,12.2081,13.508818,0.903713411491664
29,12.2172,13.514435,0.904011155479308
29.5,12.2253,13.51932,0.904283647402384
30,12.2332,13.52413,0.904546170437581
30.5,12.2406,13.528598,0.904794421417504
31,12.2477,13.532833,0.905035922633494
31.5,12.2549,13.537159,0.905278574330109
32,12.2622,13.541695,0.905514413077536
32.5,12.2682,13.545215,0.905722057567931
33,12.2745,13.548974,0.905935755725858
33.5,12.2803,13.552338,0.906138852203952
34,12.2867,13.55633,0.906344121159635
34.5,12.2923,13.559711,0.906531120021658
35,12.2981,13.563224,0.906723947049757
35.5,12.3041,13.566946,0.906917444795608
36,12.3102,13.570811,0.907108646638731
36.5,12.3156,13.574128,0.907284799436104
37,12.3212,13.577639,0.907462630284985
37.5,12.3266,13.581033,0.90763346204961
38,12.3319,13.58434,0.907802661005246
38.5,12.3372,13.587657,0.907971109367862
39,12.3422,13.590792,0.908129563015901
39.5,12.347,13.593834,0.908279444930694
40,12.3517,13.59671,0.908432995923278
40.5,12.3569,13.600115,0.908587905322859
41,12.3619,13.603341,0.908739992623871
41.5,12.3669,13.606584,0.908890872242438
42,12.3709,13.609071,0.909018697896425
42.5,12.3764,13.612747,0.909177258638539
43,12.3811,13.615867,0.909314111249765
43.5,12.3863,13.619361,0.909462639253046
44,12.3916,13.623013,0.909607881898079
44.5,12.3968,13.62651,0.909756056393016
45,12.4022,13.630343,0.909896398058361
45.5,12.4071,13.633695,0.910032093280655
46,12.4132,13.638039,0.910189507450448
46.5,12.4201,13.643114,0.910356682499318
47,12.4273,13.648467,0.910527167629888
47.5,12.4369,13.655852,0.910737755505845
48,13.5551,14.740627,0.919574180935451
48.5,13.5643,14.747512,0.919768704036315
49,13.56,14.74342,0.919732328048716
49.5,13.5706,14.750649,0.920000197957392
50,13.5621,14.743378,0.919877384952078
50.5,13.5653,14.745944,0.919934322278723
51,13.576,14.753761,0.920172151358559
51.5,13.5712,14.749572,0.92010805466084
52,13.7198,14.844802,0.924215762527516
52.5,13.5899,14.763209,0.920524799181533
53.5,13.5752,14.750285,0.920334759633458
54,13.7348,14.855311,0.924571690219074
56,13.5853,14.756293,0.920644500620854
56.5,13.5997,14.767763,0.920904540518425
57,13.5903,14.759576,0.920778483067535
57.5,13.5801,14.751944,0.920563418624691
58,13.7203,14.837288,0.924717509021864
58.5,13.5954,14.762593,0.920935773275061
59,13.597,14.763079,0.921013834580171
59.5,13.7321,14.846311,0.924950312572598
60,13.6208,14.786013,0.92119491576262
60.5,13.6026,14.766567,0.921175517640627
61,13.6056,14.768375,0.921265880640219
61.5,13.6396,14.712784,0.927057720686989
62,13.6114,14.772133,0.921424143690014
62.5,14.0155,15.035311,0.932172270995924
63,14.036,15.051171,0.932552025354041
63.5,13.7528,14.860063,0.925487328014693
64,13.7532,14.86053,0.925485161027231
66,13.6108,14.770184,0.92150510785783
66.5,13.7684,14.870733,0.92587231577623
67,13.6073,14.766795,0.921479576306165
67.5,13.6051,14.76337,0.921544335744481
68,13.759,14.864899,0.925603329023628
68.5,13.6153,14.77188,0.921703940189062
69,13.7684,14.869193,0.925968208227575
69.5,13.7698,14.870058,0.926008493040175
70,13.6238,14.776899,0.921966103984334
70.5,13.6181,14.772218,0.921872395871764
71,13.6244,14.778508,0.921906325049863
71.5,13.6254,14.778911,0.921948849952476
72,13.6263,14.778611,0.92202846397405
72.5,13.6293,14.782349,0.921998256163483
73,13.6218,14.774866,0.921957600156915
73.5,13.6371,14.787885,0.922180555231529
74,13.6362,14.786757,0.922190038018478
74.5,13.6155,14.768509,0.921927866922788
75,13.637,14.786165,0.92228106476561
75.5,13.6405,14.789106,0.922334318247499
76,13.608,14.761344,0.921867277125985
76.5,13.6139,14.766117,0.921968856131913
77,13.6227,14.774311,0.922053150228122
77.5,13.6226,14.770967,0.922255123852081
78,13.7908,14.881228,0.926724595577731
78.5,13.7702,14.863485,0.926444908445092
80,13.7767,14.868717,0.926556070708724
