Dielectric_constant,Dipole_moment_Gaussian,Dipole_moment_MD,correction_factor
2,9.13,11.987574,0.761621992906989
2.5,9.5825,12.16877,0.787466605088271
3,10.0473,12.300599,0.816813880364688
3.5,10.3313,12.393506,0.833605922327387
4,10.5635,12.475727,0.84672420292621
4.5,10.7696,12.553363,0.857905566819027
5,10.9387,12.617532,0.86694450230045
5.5,11.0808,12.671943,0.874435751486571
6,11.2134,12.726842,0.881082675497975
6.5,11.3482,12.788014,0.887409100427948
7,11.502,12.863996,0.894123412351807
7.5,11.6684,12.950699,0.900986116656715
8,11.7897,13.013932,0.905929122727858
8.5,12.5804,13.432825,0.936541643325213
9,12.6464,13.466428,0.939105752468286
9.5,12.7152,13.504628,0.941543891471872
10,12.7706,13.533089,0.943657431056575
10.5,12.8269,13.562173,0.945785015424888
11,12.8727,13.585114,0.947559218126546
11.5,12.9141,13.605597,0.949175548856842
12,12.9463,13.618992,0.950606329748927
12.5,12.9878,13.640806,0.952128488595175
13,13.0215,13.656499,0.953502065207196
13.5,13.0605,13.681517,0.954609053952131
14,13.0781,13.68192,0.955867305173543
14.5,13.1097,13.696259,0.957173780081116
15,13.1305,13.704497,0.958116157054141
15.5,13.1563,13.717254,0.959105955171494
16,13.1745,13.725015,0.959889661322774
16.5,13.1948,13.73481,0.960683111015005
17,13.2117,13.7403,0.961529224252746
17.5,13.2282,13.748144,0.962180786002823
18,13.2498,13.759959,0.962924380806658
18.5,13.2678,13.769536,0.963561880371278
19,13.2782,13.771742,0.964162703599879
19.5,13.2933,13.77852,0.964784316457791
20,13.3027,13.780749,0.965310376090588
20.5,13.3238,13.794618,0.965869442705844
21,13.3268,13.789414,0.966451511282495
21.5,13.3417,13.798677,0.966882549682118
22,13.3579,13.808328,0.967379975330829
22.5,13.3652,13.809483,0.967827687683891
23,13.3765,13.815725,0.968208327829339
23.5,13.3951,13.826892,0.968771579325274
24,13.3941,13.821345,0.969088030144678
24.5,13.3967,13.818068,0.96950601198373
25,13.4135,13.830104,0.969877016109206
25.5,13.4229,13.834804,0.970226972496322
26,13.4316,13.838311,0.970609780340968
26.5,13.4408,13.843359,0.970920424732177
27,13.4486,13.846735,0.971247012382341
27.5,13.4567,13.850569,0.971562973333442
28,13.4632,13.852907,0.97186821509738
28.5,13.4698,13.855409,0.97216906408176
29,13.4766,13.858371,0.972451957015727
29.5,13.4845,13.86239,0.972739909928952
30,13.4914,13.865643,0.973009329607001
30.5,13.502,13.872927,0.973262527799649
31,13.5104,13.877137,0.973572574804155
31.5,13.5124,13.875687,0.973818449493708
32,13.5201,13.880391,0.974043166363253
32.5,13.5277,13.884523,0.974300665568417
33,13.53,13.884113,0.974495093780928
33.5,13.5387,13.88956,0.974739300596995
34,13.5428,13.890819,0.974946113688473
34.5,13.5483,13.893513,0.975152936481939
35,13.5537,13.896037,0.975364415048693
35.5,13.5588,13.898393,0.975566024071992
36,13.5632,13.900117,0.975761570927784
