Dielectric_constant,Dipole_moment_Gaussian,Dipole_moment_MD,correction_factor
2,8.1955,11.174046,0.733440689254367
2.5,8.9266,11.620483,0.768178052495753
3,9.3385,11.845703,0.788344938244695
3.5,9.5987,11.974177,0.801616678958395
4,9.8021,12.073523,0.811867422623869
4.5,9.9717,12.157505,0.8202094097432
5,10.1148,12.228963,0.82711837463242
5.5,10.2446,12.296273,0.833146759184673
6,10.3659,12.361864,0.838538589326011
6.5,11.6344,13.440902,0.865596669033075
7,11.7245,13.487925,0.869258985351713
7.5,11.8018,13.527647,0.872420754326307
8,11.8694,13.562251,0.875179201446722
8.5,11.9287,13.592384,0.877601751098262
9,11.9831,13.620322,0.879795646534642
9.5,12.0316,13.644854,0.881768320862942
10,12.0749,13.666965,0.883509981916248
10.5,12.1148,13.687054,0.885128384822621
11,12.1507,13.70534,0.886566841829535
11.5,12.184,13.722122,0.887909318981423
12,12.2148,13.737652,0.889147577766564
12.5,12.2431,13.751996,0.890278036730086
13,12.2694,13.765328,0.891326381761481
13.5,12.294,13.77779,0.892305660051431
14,12.3169,13.789451,0.893211774710973
14.5,12.3384,13.800342,0.89406479926367
15,12.3585,13.810531,0.894860595874264
15.5,12.3771,13.820023,0.895591852488234
16,12.395,13.829086,0.89629929266475
16.5,12.411,13.837155,0.896932931661169
17,12.4275,13.8456,0.897577569769457
17.5,12.4425,13.853219,0.89816670046146
18,12.4565,13.860395,0.898711761100604
18.5,12.4702,13.86735,0.899248955279848
19,12.483,13.873902,0.899746877266396
19.5,12.4953,13.880187,0.900225623761409
20,12.507,13.886189,0.900679084808654
20.5,12.5181,13.891893,0.901108293880467
21,12.5289,13.897484,0.901522894359871
21.5,12.5391,13.90274,0.901915737473333
22,12.549,13.907839,0.902296898892775
22.5,12.5584,13.912575,0.902665394436328
23,12.5675,13.917298,0.903012926790818
23.5,12.5761,13.921839,0.903336118166573
24,12.5844,13.926116,0.903654687351448
24.5,12.5924,13.930239,0.903961518535324
25,12.6,13.934228,0.904248157845558
25.5,12.6069,13.937495,0.904531266199557
26,12.6146,13.941699,0.90481081251288
26.5,12.6215,13.945279,0.905073322663534
27,12.6281,13.948739,0.905321979284292
27.5,12.6345,13.951976,0.905570651784378
28,12.6404,13.954882,0.90580486456281
28.5,12.6467,13.958355,0.906030832429753
29,12.6524,13.961227,0.906252724062147
29.5,12.6579,13.964055,0.906463058187611
30,12.6635,13.967032,0.906670794482321
30.5,12.6687,13.969701,0.906869803441033
31,12.674,13.972417,0.907072842157517
31.5,12.6787,13.974848,0.907251370462133
32,12.6836,13.977497,0.90742999265176
