Dielectric_constant	Dipole_moment_Debye
2	8.6224
2.5	8.9837
3	9.2952
3.5	9.5403
4	9.7256
4.5	9.8712
5	9.9908
5.5	10.0912
6	10.1763
6.5	10.2502
7	10.3157
7.5	10.3745
8	10.4285
8.5	10.4784
9	10.5246
9.5	10.5674
10	10.6075
10.5	10.6446
11	10.6795
11.5	10.7122
12	10.7432
12.5	10.7725
13	10.8002
13.5	10.8265
14	10.8515
14.5	10.875
15	10.898
15.5	10.9197
16	10.9406
16.5	10.961
17	10.9817
17.5	10.9952
18	11.1265
18.5	11.1411
19	11.1624
19.5	11.1911
20	11.1931
20.5	11.2102
21	11.2232
21.5	11.2372
22	11.2506
22.5	11.2594
23	11.2738
23.5	11.2891
24	11.3072
24.5	11.3141
25	11.3249
25.5	11.333
26	11.3416
26.5	11.3564
27	11.3635
27.5	11.3717
28	11.3912
28.5	11.3887
29	11.3967
29.5	11.404
30	11.4048
30.5	11.4047
31	11.4228
31.5	11.4174
32	11.4365
32.5	11.4414
33	11.481
33.5	11.4578
34	11.5119
34.5	11.5255
35	11.5365
35.5	11.5459
36	11.5542
36.5	11.5617
37	11.5692
37.5	11.5753
38	11.5815
38.5	11.5872
39	11.5929
39.5	11.5981
40	11.6031
40.5	11.6079
41	11.6124
41.5	11.6168
42	11.621
42.5	11.625
43	11.629
43.5	11.6329
44	11.6365
44.5	11.6401
45	11.6435
45.5	11.6466
46	11.6501
46.5	11.6533
47	11.6563
47.5	11.6591
48	11.6622
48.5	11.6649
49	11.6677
49.5	11.6705
50	11.6731
50.5	11.6757
51	11.678
51.5	11.6806
52	11.6829
52.5	11.6853
53	11.6874
53.5	11.6896
54	11.6919
54.5	11.694
55	11.6961
55.5	11.6983
56	11.7003
56.5	11.7022
57	11.7041
57.5	11.7059
58	11.7076
58.5	11.7095
59	11.7114
59.5	11.7132
60	11.7149
60.5	11.7165
61	11.7181
61.5	11.7198
62	11.7213
62.5	11.7229
63	11.7246
63.5	11.726
64	11.7275
64.5	11.729
65	11.7302
65.5	11.7319
66	11.7333
66.5	11.7344
67	11.7358
67.5	11.7373
68	11.7386
68.5	11.7401
69	11.7412
69.5	11.7424
70	11.7436
70.5	11.7449
71	11.7461
71.5	11.7472
72	11.7485
72.5	11.7495
73	11.7507
73.5	11.7517
74	11.7528
74.5	11.7539
75	11.755
75.5	11.7561
76	11.7571
76.5	11.758
77	11.7592
77.5	11.7601
78	11.7611
78.5	11.7621
79	11.763
79.5	11.7641
80	11.7648
