Dielectric_constant	Dipole_moment_Debye
2	8.3115
2.5	8.7226
3	9.0365
3.5	9.2903
4	9.5891
4.5	9.7665
5	9.9132
5.5	10.0378
6	10.1451
6.5	10.2384
7	10.3204
7.5	10.3948
8	10.4627
8.5	10.5264
9	10.588
9.5	10.6485
10	10.7112
10.5	10.7752
11	10.8454
11.5	10.9862
12	11.0604
12.5	11.1125
13	11.1559
13.5	11.1946
14	11.2299
14.5	11.2628
15	11.2942
15.5	11.3241
16	11.3542
16.5	11.3854
17	11.4187
17.5	11.4559
18	11.4995
18.5	11.5552
19	11.6184
19.5	11.6902
20	11.8087
20.5	11.937
21	11.9782
21.5	12.0076
22	12.0258
22.5	12.0441
23	12.0721
23.5	12.0888
24	12.1046
24.5	12.1195
25	12.1332
25.5	12.1459
26	12.1576
26.5	12.169
27	12.1791
27.5	12.1891
28	12.1988
28.5	12.2081
29	12.2172
29.5	12.2253
30	12.2332
30.5	12.2406
31	12.2477
31.5	12.2549
32	12.2622
32.5	12.2682
33	12.2745
33.5	12.2803
34	12.2867
34.5	12.2923
35	12.2981
35.5	12.3041
36	12.3102
36.5	12.3156
37	12.3212
37.5	12.3266
38	12.3319
38.5	12.3372
39	12.3422
39.5	12.347
40	12.3517
40.5	12.3569
41	12.3619
41.5	12.3669
42	12.3709
42.5	12.3764
43	12.3811
43.5	12.3863
44	12.3916
44.5	12.3968
45	12.4022
45.5	12.4071
46	12.4132
46.5	12.4201
47	12.4273
47.5	12.4369
48	13.5551
48.5	13.5643
49	13.56
49.5	13.5706
50	13.5621
50.5	13.5653
51	13.576
51.5	13.5712
52	13.7198
52.5	13.5899
53.5	13.5752
54	13.7348
56	13.5853
56.5	13.5997
57	13.5903
57.5	13.5801
58	13.7203
58.5	13.5954
59	13.597
59.5	13.7321
60	13.6208
60.5	13.6026
61	13.6056
61.5	13.6396
62	13.6114
62.5	14.0155
63	14.036
63.5	13.7528
64	13.7532
66	13.6108
66.5	13.7684
67	13.6073
67.5	13.6051
68	13.759
68.5	13.6153
69	13.7684
69.5	13.7698
70	13.6238
70.5	13.6181
71	13.6244
71.5	13.6254
72	13.6263
72.5	13.6293
73	13.6218
73.5	13.6371
74	13.6362
74.5	13.6155
75	13.637
75.5	13.6405
76	13.608
76.5	13.6139
77	13.6227
77.5	13.6226
78	13.7908
78.5	13.7702
80	13.7767
