Dielectric_constant	Dipole_moment_Debye
2	9.1300
2.5	9.5825
3	10.0473
3.5	10.3313
4	10.5635
4.5	10.7696
5	10.9387
5.5	11.0808
6	11.2134
6.5	11.3482
7	11.5020
7.5	11.6684
8	11.7897
8.5	12.5804
9	12.6464
9.5	12.7152
10	12.7706
10.5	12.8269
11	12.8727
11.5	12.9141
12	12.9463
12.5	12.9878
13	13.0215
13.5	13.0605
14	13.0781
14.5	13.1097
15	13.1305
15.5	13.1563
16	13.1745
16.5	13.1948
17	13.2117
17.5	13.2282
18	13.2498
18.5	13.2678
19	13.2782
19.5	13.2933
20	13.3027
20.5	13.3238
21	13.3268
21.5	13.3417
22	13.3579
22.5	13.3652
23	13.3765
23.5	13.3951
24	13.3941
24.5	13.3967
25	13.4135
25.5	13.4229
26	13.4316
26.5	13.4408
27	13.4486
27.5	13.4567
28	13.4632
28.5	13.4698
29	13.4766
29.5	13.4845
30	13.4914
30.5	13.5020
31	13.5104
31.5	13.5124
32	13.5201
32.5	13.5277
33	13.5300
33.5	13.5387
34	13.5428
34.5	13.5483
35	13.5537
35.5	13.5588
36	13.5632
36.5	13.5682
37	13.5728
37.5	13.5776
38	13.5821
38.5	13.5859
39	13.5898
39.5	13.5942
40	13.6003
40.5	13.6053
41	13.6053
41.5	13.6147
42	13.6158
42.5	13.6177
43	13.6226
43.5	13.6251
44	13.6298
44.5	13.6314
45	13.6363
45.5	13.6387
46	13.6437
46.5	13.6471
47	13.6615
47.5	13.6517
48	13.6546
48.5	13.6578
49	13.6600
49.5	13.6618
50	13.6650
50.5	13.6682
51	13.6723
51.5	13.6742
52	13.6732
52.5	13.6770
53	13.6838
53.5	13.6903
54	13.6911
54.5	13.6943
55	13.6921
55.5	13.6967
56	13.6974
56.5	13.6994
57	13.7002
57.5	13.7031
58	13.7057
58.5	13.7080
59	13.7101
59.5	13.7121
60	13.7145
60.5	13.7143
61	13.7166
61.5	13.7187
62	13.7207
62.5	13.7228
63	13.7245
63.5	13.7264
64	13.7288
64.5	13.7302
65	13.7322
65.5	13.7341
66	13.7357
66.5	13.7375
67	13.7394
67.5	13.7420
68	13.7435
68.5	13.7449
69	13.7456
69.5	13.7482
70	13.7496
70.5	13.7505
71	13.7515
71.5	13.7527
72	13.7537
72.5	13.7547
73	13.7590
73.5	13.7606
74	13.7643
74.5	13.7658
75	13.7644
75.5	13.7629
76	13.7640
76.5	13.7642
77	13.7667
77.5	13.7672
78	13.7687
78.5	13.7704
79	13.7713
79.5	13.7725
80	13.7739
