Dielectric_constant	Dipole_moment_Debye
2	8.1955
2.5	8.9266
3	9.3385
3.5	9.5987
4	9.8021
4.5	9.9717
5	10.1148
5.5	10.2446
6	10.3659
6.5	11.6344
7	11.7245
7.5	11.8018
8	11.8694
8.5	11.9287
9	11.9831
9.5	12.0316
10	12.0749
10.5	12.1148
11	12.1507
11.5	12.1840
12	12.2148
12.5	12.2431
13	12.2694
13.5	12.2940
14	12.3169
14.5	12.3384
15	12.3585
15.5	12.3771
16	12.3950
16.5	12.4110
17	12.4275
17.5	12.4425
18	12.4565
18.5	12.4702
19	12.4830
19.5	12.4953
20	12.5070
20.5	12.5181
21	12.5289
21.5	12.5391
22	12.5490
22.5	12.5584
23	12.5675
23.5	12.5761
24	12.5844
24.5	12.5924
25	12.6000
25.5	12.6069
26	12.6146
26.5	12.6215
27	12.6281
27.5	12.6345
28	12.6404
28.5	12.6467
29	12.6524
29.5	12.6579
30	12.6635
30.5	12.6687
31	12.6740
31.5	12.6787
32	12.6836
32.5	12.6883
33	12.6928
33.5	12.6973
34	12.7015
34.5	12.7054
35	12.7096
35.5	12.7138
36	12.7173
36.5	12.7208
37	12.7249
37.5	12.7279
38	12.7319
38.5	12.7349
39	12.7386
39.5	12.7419
40	12.7451
40.5	12.7483
41	12.7512
41.5	12.7541
42	12.7570
42.5	12.7599
43	12.7627
43.5	12.7653
44	12.7681
44.5	12.7687
45	12.7727
45.5	12.7757
46	12.7763
46.5	12.7806
47	12.7811
47.5	12.7854
48	12.7859
48.5	12.7899
49	12.7904
49.5	12.7941
50	12.7946
50.5	12.7981
51	12.7986
51.5	12.8022
52	12.8027
52.5	12.8061
53	12.8065
53.5	12.8100
54	12.8104
54.5	12.8135
55	12.8139
55.5	12.8171
56	12.8175
56.5	12.8200
57	12.8204
57.5	12.8240
58	12.8243
58.5	12.8272
59	12.8276
59.5	12.8303
60	12.8307
60.5	12.8333
61	12.8336
61.5	12.8363
62	12.8366
62.5	12.8392
63	12.8395
63.5	12.8398
64	12.8437
64.5	12.8440
65	12.8443
65.5	12.8477
66	12.8480
66.5	12.8482
67	12.8513
67.5	12.8516
68	12.8519
68.5	12.8553
69	12.8555
69.5	12.8558
70	12.8585
70.5	12.8588
71	12.8590
71.5	12.8621
72	12.8634
72.5	12.8636
73	12.8638
73.5	12.8641
74	12.8676
74.5	12.8663
75	12.8695
75.5	12.8697
76	12.8699
76.5	12.8701
77	12.8739
77.5	12.8741
78	12.8743
78.5	12.8745
79	12.8773
79.5	12.8775
80	12.8777
