Dielectric_constant	Dipole_moment_Debye
2	7.7121
2.5	8.184
3	8.5351
3.5	8.7895
4	9.0064
4.5	9.1793
5.5	9.4786
6	9.8613
6.5	9.9827
7	10.0888
7.5	10.1817
8	10.2647
8.5	10.3396
9	10.4084
9.5	10.4714
10	10.5282
10.5	10.5801
11	10.6287
11.5	10.6745
12	10.7172
12.5	10.7578
13	10.7954
13.5	10.8657
14	10.8972
14.5	10.5814
15	10.6033
15.5	10.623
16	10.6413
16.5	10.6584
17	10.6749
17.5	10.6905
18	10.7054
18.5	10.719
19	10.7333
20	10.7584
20.5	10.7703
21	10.7815
21.5	10.7922
22	10.8029
22.5	10.8131
23	10.8222
23.5	10.8313
24	10.8402
24.5	10.8488
25	10.8572
25.5	10.865
26	10.8726
26.5	10.88
27	10.8872
27.5	10.894
28	10.9006
28.5	10.9068
29	10.9134
29.5	10.9195
30	10.9255
30.5	10.9315
31	10.9371
31.5	10.9422
32	10.9474
32.5	10.9523
33	10.9572
33.5	10.962
34	10.9667
34.5	10.9712
35	10.9755
35.5	10.9799
36	10.9839
36.5	10.9883
37	10.9918
37.5	10.996
38	10.9996
38.5	11.0033
39	11.0069
39.5	11.0104
40	11.0139
40.5	11.0172
41	11.0205
41.5	11.0237
42	11.0269
42.5	11.0299
43	11.0329
43.5	11.0359
44	11.0393
44.5	11.042
45	11.0449
45.5	11.0473
46	11.0498
46.5	11.0529
47	11.055
47.5	11.0573
48	11.0599
48.5	11.0623
49.5	11.0678
50	11.0698
50.5	11.0722
51	11.0737
51.5	11.0757
52	11.0786
52.5	11.0807
53	11.0828
53.5	11.0838
54	11.0857
54.5	11.0876
55	11.0897
55.5	11.0917
56	11.0932
56.5	11.095
57	11.0968
57.5	11.0997
58	11.0993
58.5	11.1018
59	11.1033
59.5	11.1051
60	11.1081
60.5	11.1085
61	11.1102
61.5	11.1117
62	11.1132
62.5	11.1149
63	11.1161
63.5	11.1178
64	11.1189
64.5	11.1205
65	11.1218
65.5	11.123
66	11.1247
66.5	11.1257
67	11.1272
67.5	11.1284
68	11.1296
68.5	11.1309
69	11.132
69.5	11.1333
70	11.1345
70.5	11.1356
71	11.1369
71.5	11.1381
72	11.1392
72.5	11.1402
73	11.1414
73.5	11.1425
74	11.1436
74.5	11.1445
75	11.1458
75.5	11.1467
76	11.1477
76.5	11.1489
77	11.1498
77.5	11.1507
78	11.1517
78.5	11.1528
79	11.1537
79.5	11.1547
80	11.1552
