file,n_atoms,total_charge_e,mu_x_eA,mu_y_eA,mu_z_eA,mu_total_eA,mu_x_D,mu_y_D,mu_z_D,mu_total_D
coordinate_2,6,-1.1102230246251565e-16,0.7645796506,-0.6624802411,2.0002160815000005,2.241500944601797,3.672432580897245,-3.1820282160362043,9.607447308819628,10.766387900342048
coordinate_2p5,6,-1.1102230246251565e-16,0.7823281260999999,-0.6681084640999999,2.0355264252,2.280739801988971,3.7576821420597826,-3.2090617232732,9.777050118081942,10.954860165059994
coordinate_3,6,-1.1102230246251565e-16,0.7965557672,-0.6766435423000001,2.0684558621999996,2.3175109983483178,3.8260204148400616,-3.250057451105597,9.935216945062624,11.131479748700055
coordinate_3p5,6,-1.1102230246251565e-16,0.8065398665000003,-0.6857921219999998,2.0943708514,2.346743840738708,3.8739760876485927,-3.29399995223396,10.059691943314274,11.271891075031402
coordinate_4,6,-1.1102230246251565e-16,0.8142595037,-0.6923138178999999,2.11348512,2.3683615252495676,3.911055085426964,-3.3253249927147905,10.151501688331129,11.375725239148819
coordinate_4p5,6,-1.1102230246251565e-16,0.8203206371,-0.6973106915,2.1282647071999996,2.3850951368961066,3.940167949937361,-3.3493259995384292,10.22249107122001,11.456100201467796
coordinate_5,6,-1.1102230246251565e-16,0.8253206478999999,-0.7011017443999998,2.1404366846,2.398784489826512,3.9641840253748226,-3.367535202693311,10.28095557042899,11.521852965975157
coordinate_5p5,6,-1.1102230246251565e-16,0.8295017692000001,-0.7041681060999998,2.1506699332,2.4102504161030414,3.984266806906811,-3.382263565661196,10.330107958329414,11.576926157100566
coordinate_6,6,-1.1102230246251565e-16,0.8328889496000003,-0.7067881218000001,2.1593881004999997,2.4199608302748126,4.000536127766417,-3.3948480374184453,10.371983100589748,11.623567264211427
coordinate_6p5,6,-1.1102230246251565e-16,0.8356823100999999,-0.7092040246000002,2.1669817134000002,2.4284038004691295,4.0139532100839235,-3.406452113132518,10.408456777856465,11.66412057843686
coordinate_7,6,-1.1102230246251565e-16,0.8379267904000001,-0.7114448404000002,2.1738412207,2.43595170720117,4.024733908438155,-3.41721521014308,10.441404395645733,11.700374719622237
coordinate_7p5,6,-1.1102230246251565e-16,0.8398099942999999,-0.7135666383999999,2.1801003642,2.4428048984617283,4.0337793222853655,-3.4274066402958003,10.471468343201586,11.733292000181097
coordinate_8,6,-1.1102230246251565e-16,0.8414866287999998,-0.7155872980000002,2.1859482908000003,2.449190653575089,4.041832541017023,-3.4371122820090223,10.499557131805474,11.76396408923491
coordinate_8p5,6,-1.1102230246251565e-16,0.8430132026,-0.7174190608000002,2.1914683801,2.4551771890303926,4.04916498748727,-3.445910613722293,10.52607125074504,11.792718644545793
coordinate_9,6,-1.1102230246251565e-16,0.8444854486,-0.7191298232000001,2.1966326321,2.4607922090089973,4.056236486412533,-3.4541277557440604,10.550876210288342,11.819688734968205
coordinate_9p5,6,-1.1102230246251565e-16,0.8459221681,-0.7207948781999999,2.2014235041,2.46604846167432,4.0631373442855745,-3.4621253557667484,10.573887749256063,11.844935592540741
coordinate_10,6,-1.1102230246251565e-16,0.8473276201,-0.722392864,2.2059475994999995,2.471036292222812,4.0698880179552654,-3.469800808691929,10.595617905601458,11.868893163736761
coordinate_10p5,6,-1.1102230246251565e-16,0.8485971579,-0.7239592719,2.2101323408,2.4756653908830293,4.0759858678990115,-3.4773245864990163,10.615718074734508,11.891127672236468
coordinate_11,6,-1.1102230246251565e-16,0.8498066523999999,-0.7255269813,2.2140749522000003,2.4800581930706826,4.081795317581239,-3.4848546156770372,10.63465524439082,11.912227200405594
coordinate_11p5,6,-1.1102230246251565e-16,0.8509743622,-0.7270771645999998,2.2177875458000003,2.4842262712382017,4.087404066795514,-3.4923004634089443,10.6524875914662,11.932247333102184
coordinate_12,6,-1.1102230246251565e-16,0.8521229768999998,-0.7286004770000002,2.2212801649,2.488183633461107,4.092921098335481,-3.4996172447073426,10.669263355986532,11.951255353980589
coordinate_12p5,6,-1.1102230246251565e-16,0.8532228931000001,-0.7301495478000001,2.2245888095,2.491967704207883,4.0982042210107545,-3.507057748874007,10.685155453321473,11.969431020424203
coordinate_13,6,-1.1102230246251565e-16,0.8543843609000001,-0.7316747133,2.2276759708999996,2.4955682225814613,4.103782988621213,-3.514383430991056,10.699983721506415,11.986725047243871
coordinate_13p5,6,-1.1102230246251565e-16,0.8553375611999999,-0.7333242665000002,2.2306039510000004,2.498991958701376,4.108361404794196,-3.5223065726949323,10.71404740932105,12.00316995270964
coordinate_14,6,-1.1102230246251565e-16,0.8562054854999999,-0.7351216901999998,2.2333537842,2.5022711400252486,4.11253022288211,-3.5309399666812564,10.727255421106072,12.01892053189784
coordinate_14p5,6,-1.1102230246251565e-16,0.8568608837,-0.7370845274999999,2.2359354964,2.5053765622669495,4.11567823460496,-3.540367876050625,10.739655913311612,12.033836510643697
coordinate_15,6,-1.1102230246251565e-16,0.8570979630000001,-0.7394225801,2.2385304583,2.508461935704287,4.116816975015974,-3.551598021317183,10.752120046538632,12.048656190877956
coordinate_15p5,6,-1.1102230246251565e-16,0.8574521713999999,-0.7415855206,2.2409489803,2.5113792312014045,4.118518310472084,-3.561987067319792,10.763736702806485,12.062668558357672
coordinate_16,6,-1.1102230246251565e-16,0.8577526209999999,-0.7437686763999998,2.2432611226999994,2.5141901016914847,4.119961431406694,-3.572473211546626,10.774842396078297,12.07616974474205
coordinate_16p5,6,-1.1102230246251565e-16,0.8578721398,-0.7461110479,2.2455673857,2.5169821588090366,4.120535504670095,-3.5837241013740178,10.785919849388325,12.08958056664684
coordinate_17,6,-1.1102230246251565e-16,0.8574289686000001,-0.749327281,2.2479002002999997,2.5198672823690718,4.118406862673781,-3.599172327356662,10.797124835468598,12.103438405726747
