file,n_atoms,total_charge_e,mu_x_eA,mu_y_eA,mu_z_eA,mu_total_eA,mu_x_D,mu_y_D,mu_z_D,mu_total_D
coordinate_2,6,0.0,0.894137792,-0.5513286479999999,2.113875536,2.360490510653968,4.29472685622157,-2.6481443602485917,10.153376936302191,11.337919144750526
coordinate_2p5,6,0.0,0.902978024,-0.5716128320000001,2.1471890159999996,2.398443497763717,4.3371883002241844,-2.745573448428035,10.313388400430304,11.52021511129219
coordinate_3,6,0.0,0.9112048559999999,-0.5850959440000001,2.1729862000000004,2.4278592584154612,4.376703458456108,-2.8103355955265474,10.43729755619015,11.661505031478487
coordinate_3p5,6,0.0,0.921214304,-0.59066948,2.194746792,2.4524354648985094,4.424780886259935,-2.837106429907427,10.541818134232868,11.779549582274965
coordinate_4,6,0.0,1.00791024,-0.5111511200000001,2.2149472,2.4865939793544807,4.841199214615825,-2.4551634684195687,10.63884482913431,11.943619919884286
coordinate_4p5,6,0.0,1.0139217680000003,-0.5172416719999999,2.230811664,2.5044154965013394,4.870073814235175,-2.484417636488122,10.71504509738151,12.02922031502923
coordinate_5,6,0.0,1.018897768,-0.5223318159999999,2.243875408,2.519118900383308,4.8939745608849226,-2.508866640136583,10.777792934126122,12.099843773845926
coordinate_5p5,6,0.0,1.023288096,-0.52683028,2.254926568,2.531671878109887,4.915062205024252,-2.5304736836207113,10.83087391791749,12.160138295619017
coordinate_6,6,0.0,1.0272241200000003,-0.530601528,2.264440976,2.5425224301888747,4.933967734049843,-2.548587759786583,10.876573567260406,12.2122557184988
coordinate_6p5,6,0.0,1.030812528,-0.5339823360000002,2.272647736,2.5519873304912184,4.951203592266067,-2.5648264727044787,10.91599231556734,12.257717572235027
coordinate_7,6,0.0,1.03415796,-0.537136792,2.2797851440000003,2.5603552336257,4.96727238701405,-2.5799779706292734,10.950274747308478,12.2979103240049
coordinate_7p5,6,0.0,1.03732888,-0.5402415039999999,2.2862546879999996,2.568048400308727,4.982502964901233,-2.5948905379388463,10.981349291537455,12.334862178471404
coordinate_8,6,0.0,1.0403722720000002,-0.5433623599999999,2.2921683919999998,2.5751996147668,4.997120999697833,-2.6098806481852996,11.009754022459001,12.36921092545702
coordinate_8p5,6,0.0,1.043374752,-0.5466971200000001,2.2977531439999996,2.582087939030977,5.01154252578323,-2.6258981831325916,11.036578729583937,12.402296957024427
coordinate_9,6,0.0,1.0464263280000001,-0.550268088,2.3032412719999997,2.588961835494474,5.026199870007197,-2.6430502734586288,11.062939331856727,12.435313688911616
coordinate_9p5,6,0.0,1.049664136,-0.5543906239999998,2.3086633760000006,2.5959719463174977,5.041751724651194,-2.662851657801568,11.088982807341576,12.468984686252403
coordinate_10,6,0.0,1.0532793200000004,-0.5593173359999999,2.3143985440000003,2.6035886443059937,5.059116193476804,-2.686515664097445,11.116529993306557,12.505569245924972
coordinate_10p5,6,0.0,1.0570851280000002,-0.5649953760000002,2.320341384,2.611634139967387,5.077396268397541,-2.7137884525836085,11.145074670400605,12.54421340860074
coordinate_11,6,0.0,1.0612289920000002,-0.5727251999999999,2.32697984,2.6208884569822506,5.097300095490591,-2.7509163796477463,11.176960533543998,12.588663787698152
coordinate_11p5,6,0.0,1.0685254640000004,-0.5966219200000002,2.3412052,2.6417695151447154,5.132346544186129,-2.8656972177667197,11.245287849734007,12.688959784667556
coordinate_12,6,0.0,1.07229504,-0.6061212880000001,2.348514112,2.6519272619810916,5.150452589393719,-2.911324626910758,11.280394050296168,12.737749522141135
coordinate_12p5,6,0.0,1.075001024,-0.611347904,2.353502368,2.6586362777762305,5.163449984494659,-2.9364291335127533,11.304353665022875,12.769974298425053
coordinate_13,6,0.0,1.077298512,-0.6152325680000001,2.35757952,2.6640691413341204,5.174485289683332,-2.9550879699443056,11.323937060723138,12.796069454269063
coordinate_13p5,6,0.0,1.0793036319999998,-0.618331192,2.3612375840000004,2.6688335881322183,5.184116291516601,-2.969971295343588,11.341507490966825,12.818954067582476
coordinate_14,6,0.0,1.081188536,-0.621049744,2.364553624,2.673160166483075,5.1931698712921435,-2.983029057121356,11.357435109921894,12.839735509106616
coordinate_14p5,6,0.0,1.082996912,-0.6235265359999997,2.367644104,2.6772011982112325,5.201855871417443,-2.9949255961278105,11.372279318021999,12.859145411746947
coordinate_15,6,0.0,1.0846746719999998,-0.6257956319999998,2.370640984,2.681059117611746,5.209914496156004,-3.005824528728285,11.386673946161006,12.87767578839221
coordinate_15p5,6,0.0,1.08634008,-0.627898024,2.3735095199999994,2.684760350476023,5.217913791709957,-3.0159227478903565,11.400452111794381,12.895453567528225
coordinate_16,6,0.0,1.088089816,-0.6300431759999998,2.3764082159999997,2.6885330312978084,5.2263181319109115,-3.026226352085935,11.41437514208189,12.913574525830448
coordinate_16p5,6,0.0,1.0900876720000001,-0.6323783519999999,2.3794375999999997,2.6925669546026842,5.235914243265148,-3.0374426804538164,11.428925893586875,12.932950285258576
coordinate_17,6,0.0,1.092453648,-0.6349744399999999,2.382668992,2.6969907374553808,5.247278510338176,-3.0499122225696635,11.44444693086944,12.954198619904034
coordinate_17p5,6,0.0,1.095385776,-0.6379963679999999,2.386298928,2.70209769209373,5.261362121365635,-3.0644271613803116,11.461882256570968,12.978728368489836
coordinate_18,6,0.0,1.099143968,-0.6417342560000003,2.39060052,2.7083041121592917,5.279413486890778,-3.0823810026369736,11.482543683536923,13.008539074596932
coordinate_18p5,6,0.0,1.1043727840000002,-0.6466543199999999,2.3961206800000006,2.716467442974099,5.304528560543142,-3.1060130772279186,11.509058142063067,13.047749223636885
coordinate_19,6,0.0,1.110566168,-0.652503888,2.402401112,2.7259217964388043,5.3342766517586995,-3.1341097498120196,11.539224342642441,13.093160418752863
coordinate_19p5,6,0.0,1.1178936160000004,-0.6590696240000002,2.4095159280000003,2.73675463154057,5.369471884523414,-3.1656463239087125,11.573398260382712,13.14519274336416
coordinate_20,6,0.0,1.13199376,-0.669294832,2.421125848,2.7552161107024915,5.437197762632132,-3.2147600911613226,11.629163082839275,13.23386700707572
coordinate_20p5,6,0.0,1.15095848,-0.676984888,2.4330878400000002,2.775415356017933,5.528289195108707,-3.251697004380452,11.686618979185404,13.33088811736521
coordinate_21,6,0.0,1.156830056,-0.678849424,2.43673204,2.7815023555072997,5.556491576622122,-3.260652752482409,11.70412281779895,13.36012522199795
coordinate_21p5,6,0.0,1.160857816,-0.6800233520000001,2.439285312,2.785701969266013,5.5758377324352235,-3.2662913689842275,11.716386705901824,13.380296826594778
coordinate_22,6,0.0,1.162872744,-0.6812039999999999,2.44072484,2.7880906823392806,5.585515844100313,-3.271962263021713,11.723301053575302,13.391770304485274
coordinate_22p5,6,0.0,1.164422192,-0.681199176,2.4428068720000002,2.7905585054779967,5.592958160035796,-3.2719390923621803,11.733301479489425,13.403623764214945
coordinate_23,6,0.0,1.16963228,-0.6820115999999998,2.444748296,2.79463302130127,5.617983279270302,-3.2758413311475847,11.742626536395322,13.423194497818733
coordinate_23p5,6,0.0,1.17186624,-0.6825422160000001,2.4460898479999997,2.796871449595528,5.628713446469995,-3.278389988419351,11.749070285283878,13.433946127150463
coordinate_24,6,0.0,1.1739301439999998,-0.6829510960000003,2.4474101520000002,2.798991002956624,5.638626799889087,-3.2803539227622274,11.755411975678705,13.444126775843023
coordinate_24p5,6,0.0,1.175902856,-0.6833326959999999,2.4486189600000006,2.80096874517426,5.648102139464032,-3.2821868256805424,11.7612181279609,13.453626276583023
coordinate_25,6,0.0,1.1777077600000003,-0.6836765919999999,2.449729272,2.802781253773937,5.6567714628625705,-3.2838386285683763,11.76655118379172,13.462332126430566
coordinate_25p5,6,0.0,1.1793672800000001,-0.6840287360000001,2.4507399999999997,2.80444808124671,5.664742477147174,-3.285530048288681,11.771405917284445,13.47033824000283
coordinate_26,6,0.0,1.18085536,-0.6843582480000001,2.4516735999999995,2.805970248199955,5.671890030015855,-3.2871127618799294,11.7758901892041,13.477649519485976
coordinate_26p5,6,0.0,1.1823332640000002,-0.684682584,2.452559112,2.807445170586247,5.678988705473382,-3.2886706140835855,11.78014348461554,13.484733873642488
coordinate_27,6,0.0,1.183599048,-0.6851127280000001,2.453294776,2.8087259414978525,5.685068525147277,-3.2907366837714696,11.783677029407208,13.490885678520835
coordinate_27p5,6,0.0,1.184831864,-0.6853741680000001,2.4541121919999997,2.8100233000874653,5.690989992768209,-3.2919924336115236,11.787603245790537,13.497117157412356
coordinate_28,6,0.0,1.186070152,-0.6856415039999999,2.454862416,2.811265935297129,5.696937743525329,-3.2932765031465627,11.791206725242823,13.50308578870742
coordinate_28p5,6,0.0,1.1872622160000001,-0.6859006480000001,2.4555807440000006,2.8124594323779406,5.702663470947814,-3.2945212248285975,11.794657001677596,13.508818399510412
coordinate_29,6,0.0,1.1883849279999998,-0.6861676159999999,2.4563024720000004,2.8136287189851474,5.708056086517073,-3.295803526784302,11.798123609008389,13.514434722452494
coordinate_29p5,6,0.0,1.1893684960000002,-0.6864573759999999,2.456910704,2.814645866849306,5.712780364969807,-3.2971953033818164,11.801045071817121,13.519320291867
coordinate_30,6,0.0,1.190389416,-0.6866557439999998,2.457508096,2.8156471928135027,5.717684052724963,-3.2981481054942394,11.803914467886775,13.524129865457049
coordinate_30p5,6,0.0,1.1912377040000002,-0.6869052239999999,2.458093168,2.816577369212136,5.7217585536441815,-3.2993464090059317,11.806724688474368,13.528597693118487
coordinate_31,6,0.0,1.1920958000000001,-0.68721228,2.4586018879999996,2.8174592025152023,5.725880164395218,-3.3008212618321555,11.809168174775744,13.532833318995475
coordinate_31p5,6,0.0,1.192915792,-0.6874107919999999,2.4591807119999993,2.8183597105468774,5.729818753833888,-3.3017747556060564,11.811948384940292,13.537158643416925
coordinate_32,6,0.0,1.1938537439999999,-0.6876174079999997,2.4597503279999997,2.8193041939357237,5.734323929300452,-3.302767174550948,11.814684367195849,13.541695190481176
coordinate_32p5,6,0.0,1.1944922079999998,-0.6878250080000001,2.460222376,2.8200370593263484,5.737390602594058,-3.3037643198492797,11.81695171037401,13.545215292979103
coordinate_33,6,0.0,1.1951926720000001,-0.688015168,2.4607261439999997,2.8208196593128165,5.7407550745798455,-3.304677697257421,11.819371411205651,13.548974280922165
coordinate_33p5,6,0.0,1.19573668,-0.6882115040000002,2.4612097519999994,2.8215199317876993,5.743368056369121,-3.3056207392578694,11.821694279430286,13.552337832973604
coordinate_34,6,0.0,1.196528544,-0.6884936479999999,2.461698976,2.8223511313056986,5.747171541265636,-3.3069759346482916,11.824044122452593,13.556330254415546
coordinate_34p5,6,0.0,1.1972078320000001,-0.688668528,2.4621267600000003,2.8230549262754216,5.750434300588429,-3.3078159190884264,11.826098856577355,13.559710725730802
coordinate_35,6,0.0,1.197914016,-0.6888717200000001,2.46256512,2.8237863245269854,5.753826246905169,-3.308791891860383,11.828204389395156,13.56322378125948
coordinate_35p5,6,0.0,1.19873072,-0.6891154799999999,2.4629881520000003,2.8245612262331514,5.757749043406744,-3.3099627210411184,11.830236298691126,13.566945792786315
coordinate_36,6,0.0,1.1995463919999998,-0.689350744,2.4634481279999996,2.825365936327589,5.761666883001055,-3.311092742194617,11.83244565758199,13.57081098010417
coordinate_36p5,6,0.0,1.2002488,-0.689529536,2.463848104,2.826056553309259,5.765040692416804,-3.311951516771587,11.83436682419011,13.57412815484511
coordinate_37,6,0.0,1.20095684,-0.6897705920000001,2.464274168,2.82678757182122,5.768441553481491,-3.313109358086781,11.836413296802766,13.577639386406736
coordinate_37p5,6,0.0,1.2016747920000002,-0.6899696080000001,2.4646789840000003,2.8274940954603585,5.771890023911292,-3.3140652726758577,11.83835771092169,13.581032964079787
coordinate_38,6,0.0,1.2023581440000002,-0.6901743279999999,2.4650782560000004,2.8281825467386965,5.775172303458036,-3.315048584744614,11.840275496073687,13.584339736504276
coordinate_38p5,6,0.0,1.2030440640000002,-0.6904107919999999,2.4654697039999998,2.8288730871104044,5.778466917634482,-3.3161843697437674,11.842155700952011,13.587656543271883
coordinate_39,6,0.0,1.2036429439999998,-0.690642,2.4658616239999995,2.8295258008226223,5.781343460872745,-3.3172949090989516,11.84403817294296,13.590791660850368
coordinate_39p5,6,0.0,1.2042763520000002,-0.6908365999999999,2.466224736,2.830159216076767,5.784385849163326,-3.3182296127360176,11.845782274212553,13.593834083984088
