Dielectric_constant,Dipole_moment_Gaussian,Dipole_moment_MD,correction_factor,correction_factor_fit,residual,abs_error
2.0,8.3115,11.337919,0.733071033582089,0.744387482680901,-0.01131644909881202,0.01131644909881202
2.5,8.7226,11.520215,0.757156007939088,0.7605269050363667,-0.003370897097278669,0.003370897097278669
3.0,9.0365,11.661505,0.774899980748626,0.7741648802112224,0.0007351005374035546,0.0007351005374035546
3.5,9.2903,11.77955,0.788680382527346,0.7858411309326576,0.002839251594688341,0.002839251594688341
4.0,9.5891,11.94362,0.802863788365671,0.795950527468954,0.006913260896716955,0.006913260896716955
4.5,9.7665,12.02922,0.811898028301087,0.8047886270657483,0.007109401235338764,0.007109401235338764
5.0,9.9132,12.099844,0.819283289933325,0.812581049426003,0.006702240507322044,0.006702240507322044
5.5,10.0378,12.160138,0.825467605713027,0.8195030078976585,0.005964597815368511,0.005964597815368511
6.0,10.1451,12.212256,0.830731029549331,0.8256926416185495,0.005038387930781485,0.005038387930781485
6.5,10.2384,12.257718,0.83526150626079,0.8312603287407069,0.00400117752008311,0.00400117752008311
7.0,10.3204,12.29791,0.839199506257567,0.8362953265220615,0.0029041797355054966,0.0029041797355054966
7.5,10.3948,12.334862,0.842717170244791,0.8408705925528085,0.0018465776919824872,0.0018465776919824872
8.0,10.4627,12.369211,0.845866401664585,0.8450463430027199,0.0008200586618651862,0.0008200586618651862
8.5,10.5264,12.402297,0.848746002454223,0.8488727177366344,-0.00012671528241137153,0.00012671528241137153
9.0,10.588,12.435314,0.851446131557273,0.8523918033383475,-0.0009456717810745197,0.0009456717810745197
9.5,10.6485,12.468985,0.853998942175326,0.8556391875539169,-0.0016402453785908655,0.0016402453785908655
10.0,10.7112,12.505569,0.856514405701972,0.8586451670714152,-0.002130761369443235,0.002130761369443235
10.5,10.7752,12.544213,0.858977761299174,0.8614356956009683,-0.0024579343017943067,0.0024579343017943067
11.0,10.8454,12.588664,0.861521127261797,0.86403313514927,-0.002512007887473078,0.002512007887473078
11.5,10.9862,12.68896,0.86580775729453,0.8664568565571792,-0.000649099262649222,0.000649099262649222
12.0,11.0604,12.73775,0.868316617927028,0.8687237234434229,-0.00040710551639489,0.00040710551639489
12.5,11.1125,12.769974,0.870205373949861,0.8708484851360132,-0.0006431111861522343,0.0006431111861522343
13.0,11.1559,12.796069,0.871822432342308,0.8728440979532982,-0.0010216656109901523,0.0010216656109901523
13.5,11.1946,12.818954,0.873284980974267,0.8747219896279332,-0.0014370086536662496,0.0014370086536662496
14.0,11.2299,12.839736,0.874620786595612,0.8764922782764417,-0.0018714916808296733,0.0018714916808296733
