file,n_atoms,total_charge_e,mu_x_eA,mu_y_eA,mu_z_eA,mu_total_eA,mu_x_D,mu_y_D,mu_z_D,mu_total_D
coordinate_2,10,0.0,-1.9788590100000005,-0.33643168,1.48312971,2.495744977647053,-9.504864922344128,-1.6159502308339309,7.123775612424968,11.98757403800789
coordinate_2p5,10,0.0,-2.00777068,-0.34102178,1.5069923499999998,2.533468946101482,-9.643733591936403,-1.6379974207850996,7.238392757327334,12.168769981065058
coordinate_3,10,0.0,-2.0019820200000007,-0.19069448000000003,1.58555647,2.560915014729035,-9.615929472944938,-0.9159446249971359,7.615752308750271,12.300599067238446
coordinate_3p5,10,0.0,-2.0049453999999995,-0.18491371000000004,1.6136080799999997,2.5802577725817257,-9.63016319372607,-0.8881784032908512,7.750489934097453,12.393506292910596
coordinate_4,10,0.0,-2.010257070000001,-0.18005525999999997,1.6348722500000001,2.5973757252193455,-9.655676232101694,-0.8648422733550639,7.852626095650351,12.475727323689165
coordinate_4p5,10,0.0,-2.0150320600000002,-0.17485663999999998,1.6551908499999999,2.613538941225796,-9.678611486572166,-0.839872237272202,7.950220490923179,12.55336255898164
coordinate_5,10,0.0,-2.0195298200000007,-0.17227372000000005,1.67105293,2.626898708236284,-9.70021514860018,-0.8274659437560102,8.026409308330347,12.617532254845257
coordinate_5p5,10,0.0,-2.02367471,-0.1704958800000001,1.6840165799999998,2.6382266806901664,-9.72012390378126,-0.8189266142898146,8.088676373102457,12.671942825519611
coordinate_6,10,0.0,-2.027896359999999,-0.16864075000000006,1.69701976,2.649656471184947,-9.740401352956077,-0.8100160451313839,8.151133308556858,12.726842449087831
coordinate_6p5,10,0.0,-2.032174590000001,-0.16541043000000008,1.71208561,2.6623920279634867,-9.760950567453547,-0.794500156884274,8.223497670275734,12.78801393542372
coordinate_7,10,0.0,-2.036293530000001,-0.15786913999999996,1.73245498,2.6782110192087187,-9.78073467947234,-0.7582777972174145,8.321335924251821,12.863995788720926
coordinate_7p5,10,0.0,-2.0413653400000005,-0.14610647,1.7553661399999998,2.6962621974481036,-9.8050956211656,-0.7017792852410057,8.431382915934272,12.950699293107785
coordinate_8,10,0.0,-2.04761143,-0.13951139999999995,1.7688466699999998,2.7094269764964496,-9.835096870088735,-0.6701018139372747,8.496132661158217,13.013932421872747
coordinate_8p5,10,0.0,-1.6233864200000006,-0.06530738000000001,2.27629869,2.7966380260267143,-7.7974573028665715,-0.313684715381617,10.933528595025516,13.432824945964713
coordinate_9,10,0.0,-1.6231121500000008,-0.07514981000000003,2.2847807799999997,2.8036340271294447,-7.796139927910056,-0.36095992154076,10.97426980968596,13.466428171430493
coordinate_9p5,10,0.0,-1.6264484800000005,-0.06901297000000002,2.29236213,2.8115870221603796,-7.812165003888744,-0.3314834227324703,11.010684585733605,13.504628034642128
coordinate_10,10,0.0,-1.6303555100000002,-0.07148934,2.2967818600000003,2.8175125070079203,-7.830931268796896,-0.34337793478653783,11.031913453697896,13.5330893513861
coordinate_10p5,10,0.0,-1.6331374800000007,-0.06893485999999995,2.3023127100000003,2.8235675763352144,-7.844293640211127,-0.3311082444123711,11.058479258482414,13.562173088913898
coordinate_11,10,0.0,-1.63953545,-0.07032772999999996,2.3035854700000002,2.828343773130978,-7.875024399866007,-0.3377984841603689,11.064592585312386,13.585114139871473
coordinate_11p5,10,0.0,-1.636859190000001,-0.07100568999999997,2.31069673,2.832608196332936,-7.862169775221949,-0.3410548648273031,11.098749422856697,13.605597037491512
coordinate_12,10,0.0,-1.6383909400000007,-0.0788916600000001,2.31277472,2.8353969160882433,-7.869527084040427,-0.3789327930944914,11.108730434217373,13.618991829362242
coordinate_12p5,10,0.0,-1.6415764199999998,-0.0737369299999999,2.31625575,2.8399385516158446,-7.884827596588221,-0.35417356966646313,11.125450533917968,13.640806234531192
coordinate_13,10,0.0,-1.6449494500000008,-0.07420403000000003,2.31785541,2.843205696531613,-7.9010289501798665,-0.35641714658770535,11.13313402836848,13.656499000387262
coordinate_13p5,10,0.0,-1.628771400000001,-0.0587816300000001,2.3360462699999998,2.8484142481500707,-7.823322464179671,-0.28234020222856204,11.220508452846184,13.681516740066703
coordinate_14,10,0.0,-1.6504330700000005,-0.07672395000000007,2.3203720299999997,2.8484982430501073,-7.92736789960581,-0.3685208382070056,11.145221869412227,13.68192018476639
coordinate_14p5,10,0.0,-1.6565440600000008,-0.07271245000000003,2.31981308,2.8514834821975343,-7.956720235572281,-0.3492527825025298,11.142537118138137,13.69625889950746
coordinate_15,10,0.0,-1.6598603199999995,-0.07624752000000012,2.31943782,2.8531985151865973,-7.972648911232382,-0.366232447385796,11.140734667537698,13.704496554042741
coordinate_15p5,10,0.0,-1.6630966599999994,-0.07268835000000003,2.3205022100000003,2.8558544436549567,-7.988193714771862,-0.34913702526895685,11.145847150601712,13.717253522178215
coordinate_16,10,0.0,-1.6622732199999999,-0.07455031000000006,2.32302102,2.8574703263572316,-7.984238563883346,-0.3580804003155743,11.15794551066378,13.725014937588742
coordinate_16p5,10,0.0,-1.663289670000001,-0.07415072000000006,2.3248148599999996,2.859509571391928,-7.989120781313443,-0.35616108774447836,11.166561691405375,13.734809848949483
coordinate_17,10,0.0,-1.6747127600000002,-0.06973770999999998,2.31814725,2.860652521608562,-8.043988221033553,-0.33496449731585826,11.134535795631797,13.740299672816253
coordinate_17p5,10,0.0,-1.66570053,-0.07677552000000004,2.32641916,2.8622855979319493,-8.000700635426785,-0.3687685394740327,11.174267472725752,13.748143672708732
coordinate_18,10,0.0,-1.663014800000001,-0.0751034000000001,2.33141747,2.864745392723724,-7.987800524434098,-0.36073700481005,11.19827537887264,13.75995857064454
coordinate_18p5,10,0.0,-1.662480940000001,-0.07232683000000004,2.3343350999999997,2.8667393333355484,-7.985236285566246,-0.34740057070126845,11.212289353038175,13.769535875587842
coordinate_19,10,0.0,-1.667415350000002,-0.07590425999999992,2.3312640899999995,2.8671985741181762,-8.008937266932005,-0.36458369933615814,11.197538663333823,13.771741703079163
coordinate_19p5,10,0.0,-1.6681027800000008,-0.07521147,2.33253059,2.8686098729435203,-8.012239133947562,-0.361256087143337,11.203621922102297,13.7785204602479
coordinate_20,10,0.0,-1.6709556300000004,-0.07708975000000011,2.3309975300000003,2.8690738979416097,-8.025941956511815,-0.370277850490864,11.196258321085645,13.780749267305474
coordinate_20p5,10,0.0,-1.6686744999999998,-0.06766369999999995,2.33647355,2.871961283356296,-8.014985222145826,-0.3250026027099403,11.222560766155773,13.794617970536303
coordinate_21,10,0.0,-1.67456388,-0.07968731000000001,2.3305417499999996,2.8708777584684357,-8.043273119915945,-0.3827544629240475,11.194069116441746,13.789413578688745
coordinate_21p5,10,0.0,-1.6711938300000013,-0.07820622000000002,2.33538242,2.872806307066632,-8.027086079874353,-0.3756404844563069,11.217319845397746,13.798676792404022
coordinate_22,10,0.0,-1.66990718,-0.07593726999999999,2.3388477199999995,2.8748156664627738,-8.020906036530919,-0.36474225312372044,11.233964390688213,13.808328156924818
coordinate_22p5,10,0.0,-1.6724476000000004,-0.07735992000000015,2.3372807799999995,2.8750559953721897,-8.033108193846829,-0.3715755323080593,11.226438057095898,13.80948250587509
coordinate_23,10,0.0,-1.67237678,-0.0744257399999999,2.33902512,2.8763556450913246,-8.032768030889082,-0.3574820651045286,11.234816479204225,13.81572498953073
coordinate_23p5,10,0.0,-1.6689375700000002,-0.07349031000000011,2.3443651200000004,2.8786804709960463,-8.016248801209565,-0.35298900332025007,11.260465592369354,13.826891604272195
coordinate_24,10,0.0,-1.6763154899999986,-0.07645481000000015,2.33757896,2.8775257347625502,-8.051686461322523,-0.36722810369066483,11.227870276677095,13.821345169753691
coordinate_24p5,10,0.0,-1.6816676200000003,-0.0787972300000001,2.33281239,2.8768435193019535,-8.07739383736082,-0.3784792264734834,11.204975465190298,13.818068349238365
