file,n_atoms,total_charge_e,mu_x_eA,mu_y_eA,mu_z_eA,mu_total_eA,mu_x_D,mu_y_D,mu_z_D,mu_total_D
coordinate_2,8,-2.220446049250313e-16,-0.9261307000000002,-0.92876162,1.9213784700000007,2.326373023667326,-4.4483953426959975,-4.461032190038392,9.228774121735047,11.174045870475233
coordinate_2p5,8,-2.220446049250313e-16,-0.9000624700000002,-0.9602423800000001,2.0300062699999994,2.4193187748806224,-4.323184297511632,-4.612240724825686,9.75053568261118,11.620483340716321
coordinate_3,8,-2.220446049250313e-16,-0.9045320900000001,-0.9981195100000002,2.06585618,2.4662081450126228,-4.34465279735903,-4.794172334140323,9.9227301392684,11.845702584303798
coordinate_3p5,8,-2.220446049250313e-16,-0.9126949699999999,-1.01750589,2.0848255900000003,2.492955692579963,-4.3838607810431744,-4.887289085916,10.013844098775081,11.974176530828943
coordinate_4,8,-2.220446049250313e-16,-0.9207088400000001,-1.0326931099999999,2.09862372,2.513639064313382,-4.4223530391931005,-4.960236412590841,10.080119341815736,12.073522999410745
coordinate_4p5,8,-2.220446049250313e-16,-0.9277214000000001,-1.0453360999999999,2.11025876,2.5311235829445202,-4.456035800432283,-5.020963281739819,10.13600482077468,12.15750472169685
coordinate_5,8,-2.220446049250313e-16,-0.93393304,-1.05611267,2.12002708,2.5460007295504643,-4.4858715789530725,-5.072725353549163,10.182924061432574,12.228962702384118
coordinate_5p5,8,-2.220446049250313e-16,-0.93950051,-1.0674388999999997,2.12875226,2.5600142964402712,-4.512613277094165,-5.127127554860817,10.224832887126599,12.296272732909157
coordinate_6,8,-2.220446049250313e-16,-0.9440790600000002,-1.0795969799999998,2.13704536,2.57367009957631,-4.534604990030905,-5.185525302012623,10.264666344128415,12.361864350886112
coordinate_6p5,8,-2.220446049250313e-16,-0.17638587000000006,-1.4857703999999998,2.3647341300000004,2.7983197033646237,-0.8472174420148061,-7.136459387077404,11.358302117191744,13.440902386479182
coordinate_7,8,-2.220446049250313e-16,-0.1783862300000001,-1.4893289399999998,2.3739326700000003,2.808109445920594,-0.8568255805936433,-7.153551783175274,11.402484587868509,13.487924524058869
coordinate_7p5,8,-2.220446049250313e-16,-0.18002977000000014,-1.49256666,2.3815598500000004,2.8163794616070175,-0.8647198396669413,-7.169103215137258,11.43911949478813,13.527647102376926
coordinate_8,8,-2.220446049250313e-16,-0.18129120999999998,-1.4955717099999997,2.38810064,2.823583876803379,-0.8707787942195652,-7.183537085458766,11.470536248140062,13.562251383399403
coordinate_8p5,8,-2.220446049250313e-16,-0.18234151999999992,-1.4984627399999997,2.39362757,2.8298572326087976,-0.8758236481612246,-7.197423294378948,11.497083224362108,13.59238359556762
coordinate_9,8,-2.220446049250313e-16,-0.1830363899999999,-1.5008729100000002,2.3989423599999995,2.8356738632357685,-0.8791612510198482,-7.2089998342810455,11.522611248736427,13.620322063206368
coordinate_9p5,8,-2.220446049250313e-16,-0.18383086000000004,-1.5033761400000003,2.40335283,2.8407813060632896,-0.8829772530678445,-7.221023360413693,11.54379563902508,13.6448541566647
coordinate_10,8,-2.220446049250313e-16,-0.18428683999999992,-1.50525337,2.4075849100000006,2.8453847624096906,-0.8851674183526818,-7.23004008039627,11.564123185625057,13.666965499881846
coordinate_10p5,8,-2.220446049250313e-16,-0.18484481000000008,-1.5073018999999999,2.41120431,2.849567133108136,-0.8878474624861553,-7.239879589346111,11.58150790476173,13.687054282530333
coordinate_11,8,-2.220446049250313e-16,-0.18514985,-1.5088864999999998,2.41468938,2.8533740972263093,-0.8893126320516774,-7.247490747533649,11.598247409409367,13.70533991052333
coordinate_11p5,8,-2.220446049250313e-16,-0.1855593900000001,-1.5105962800000001,2.4177181900000004,2.856867979908048,-0.8912797365096639,-7.255703170887109,11.612795403874848,13.722121744285424
coordinate_12,8,-2.220446049250313e-16,-0.18590626999999993,-1.5121155700000004,2.42056294,2.86010132421269,-0.8929458721603594,-7.263000631774871,11.626459320480931,13.737652158886842
coordinate_12p5,8,-2.220446049250313e-16,-0.18617174000000009,-1.51350077,2.4232058500000004,2.863087684483213,-0.8942209789154062,-7.269654030942722,11.639153758247833,13.751996258611651
