Dielectric_constant,Dipole_moment_Gaussian,Dipole_moment_MD,correction_factor,correction_factor_fit,residual,abs_error
2.0,8.1955,11.174046,0.733440689254367,0.7286801471810417,0.0047605420733253245,0.0047605420733253245
2.5,8.9266,11.620483,0.768178052495753,0.7641831831321826,0.003994869363570408,0.003994869363570408
3.0,9.3385,11.845703,0.788344938244695,0.788597795120322,-0.00025285687562703885,0.00025285687562703885
3.5,9.5987,11.974177,0.801616678958395,0.806417091167648,-0.004800412209253091,0.004800412209253091
4.0,9.8021,12.073523,0.811867422623869,0.819995526128863,-0.008128103504993933,0.008128103504993933
4.5,9.9717,12.157505,0.8202094097432,0.8306860450408637,-0.010476635297663739,0.010476635297663739
5.0,10.1148,12.228963,0.82711837463242,0.8393214106114806,-0.012203035979060584,0.012203035979060584
5.5,10.2446,12.296273,0.833146759184673,0.8464422809058567,-0.013295521721183756,0.013295521721183756
6.0,10.3659,12.361864,0.838538589326011,0.8524149590854417,-0.01387636975943074,0.01387636975943074
6.5,11.6344,13.440902,0.865596669033075,0.8574964336292361,0.008100235403838862,0.008100235403838862
7.0,11.7245,13.487925,0.869258985351713,0.86187232527693,0.007386660074782947,0.007386660074782947
7.5,11.8018,13.527647,0.872420754326307,0.8656800529248425,0.006740701401464433,0.006740701401464433
8.0,11.8694,13.562251,0.875179201446722,0.8690235260652993,0.006155675381422698,0.006155675381422698
8.5,11.9287,13.592384,0.877601751098262,0.871982771921904,0.005618979176358008,0.005618979176358008
9.0,11.9831,13.620322,0.879795646534642,0.8746204239193507,0.005175222615291353,0.005175222615291353
9.5,12.0316,13.644854,0.881768320862942,0.8769862037845528,0.004782117078389159,0.004782117078389159
10.0,12.0749,13.666965,0.883509981916248,0.879120085616726,0.0043898962995219115,0.0043898962995219115
10.5,12.1148,13.687054,0.885128384822621,0.8810545729851275,0.004073811837493557,0.004073811837493557
11.0,12.1507,13.70534,0.886566841829535,0.882816366188499,0.003750475641036033,0.003750475641036033
11.5,12.184,13.722122,0.887909318981423,0.8844276020782452,0.0034817169031777784,0.0034817169031777784
12.0,12.2148,13.737652,0.889147577766564,0.8859067890523041,0.0032407887142598124,0.0032407887142598124
12.5,12.2431,13.751996,0.890278036730086,0.8872695212158122,0.003008515514273835,0.003008515514273835
13.0,12.2694,13.765328,0.891326381761481,0.8885290302547897,0.002797351506691359,0.002797351506691359
13.5,12.294,13.77779,0.892305660051431,0.889696616477546,0.002609043573884917,0.002609043573884917
14.0,12.3169,13.789451,0.893211774710973,0.8907819888026106,0.002429785908362403,0.002429785908362403
14.5,12.3384,13.800342,0.89406479926367,0.8917935353699171,0.002271263893752873,0.002271263893752873
15.0,12.3585,13.810531,0.894860595874264,0.8927385407482491,0.0021220551260149323,0.0021220551260149323
15.5,12.3771,13.820023,0.895591852488234,0.8936233616428638,0.0019684908453702077,0.0019684908453702077
16.0,12.395,13.829086,0.89629929266475,0.8944535700683042,0.0018457225964457757,0.0018457225964457757
16.5,12.411,13.837155,0.896932931661169,0.8952340708043325,0.0016988608568365704,0.0016988608568365704
17.0,12.4275,13.8456,0.897577569769457,0.8959691983675208,0.0016083714019362594,0.0016083714019362594
17.5,12.4425,13.853219,0.89816670046146,0.8966627975486594,0.0015039029128005588,0.0015039029128005588
18.0,12.4565,13.860395,0.898711761100604,0.8973182906760899,0.0013934704245140983,0.0013934704245140983
