System,E_K,G(PCM)_non_opt,G(PCM)_opt,G(Vac),ΔG_non_opt (kJ/mol),ΔG_opt (kJ/mol)
,2,-424.759826758,-424.759833842,-424.71228582,-124.818713702618,-124.837312741793
,2.5,-424.769228133,-424.76923787,-424.71228582,-149.502020004669,-149.527584494198
,3,-424.775487694,-424.775499592,-424.71228582,-165.936494906289,-165.967733100596
,3.5,-424.779957549,-424.779971169,-424.71228582,-177.672097420913,-177.707856725476
,4,-424.783310446,-424.783325472,-424.71228582,-186.47512715314,-186.514577910204
,4.5,-424.785919147,-424.785935354,-424.71228582,-193.324270585271,-193.366822057255
,5,-424.788006985,-424.788024183,-424.71228582,-198.805888419046,-198.851041761227
,5.5,-424.789715976,-424.789734015,-424.71228582,-203.292843606064,-203.34020499334
,6,-424.791140764,-424.791159525,-424.71228582,-207.033623930022,-207.08288092811
,6.5,-424.792346867,-424.792366254,-424.71228582,-210.200246874121,-210.25114743489
,7,-424.793381087,-424.793401022,-424.71228582,-212.915591070454,-212.967930405011
,7.5,-424.794277752,-424.794298169,-424.71228582,-215.269784669361,-215.323389494624
,8,-424.795062612,-424.795083458,-424.71228582,-217.330434285294,-217.385165450063
,8.5,-424.795755365,-424.795776593,-424.71228582,-219.149257009719,-219.204991115325
,9,-424.796371336,-424.796392908,-424.71228582,-220.766488623836,-220.823125901155
,9.5,-424.796922627,-424.79694451,-424.71228582,-222.213902923877,-222.271356731593
,10,-424.797418873,-424.797441087,-424.71228582,-223.516796598409,-223.575119446405
,10.5,-424.797868015,-424.797890486,-424.71228582,-224.696018739698,-224.75501634112
,11,-424.798276422,-424.798299128,-424.71228582,-225.768291154859,-225.827905748728
,11.5,-424.798649397,-424.798672319,-424.71228582,-226.747536868182,-226.807718569937
,12,-424.798991362,-424.799014483,-424.71228582,-227.645365838794,-227.706070015116
,12.5,-424.79930603,-424.799329335,-424.71228582,-228.471526547043,-228.532713815107
,13,-424.799596547,-424.799620022,-424.71228582,-229.234278814326,-229.295912417378
,13.5,-424.799865589,-424.799889224,-424.71228582,-229.940648477596,-230.002702160767
,14,-424.800115455,-424.800139238,-424.71228582,-230.596671560773,-230.659113817656
,14.5,-424.800348125,-424.800372046,-424.71228582,-231.207546552712,-231.270351128588
,15,-424.800565314,-424.800589365,-424.71228582,-231.777776185216,-231.840922076163
,15.5,-424.800768519,-424.800792692,-424.71228582,-232.311290831411,-232.374757033354
,16,-424.800959049,-424.800983336,-424.71228582,-232.811527270342,-232.875292779059
,16.5,-424.801138054,-424.801162448,-424.71228582,-233.281504826109,-233.345551263445
,17,-424.801306549,-424.801331045,-424.71228582,-233.723888381277,-233.788202619428
,17.5,-424.801465433,-424.801490025,-424.71228582,-234.141038259652,-234.205604545934
,18,-424.801615506,-424.801640189,-424.71228582,-234.535054861236,-234.599860067842
,18.5,-424.801757482,-424.801782251,-424.71228582,-234.907812792469,-234.972843792041
,19,-424.801891998,-424.80191685,-424.71228582,-235.26098449652,-235.326233412643
,19.5,-424.802019628,-424.802044557,-424.71228582,-235.596077010491,-235.661528090034
,20,-424.802140888,-424.802165891,-424.71228582,-235.914445092025,-235.980090458573
,20.5,-424.802256242,-424.802281315,-424.71228582,-236.217306972888,-236.283136124405
,21,-424.802366111,-424.802391252,-424.71228582,-236.505767988513,-236.571775673906
,21.5,-424.802470879,-424.802496084,-424.71228582,-236.780836330531,-236.847012047912
,22,-424.802570893,-424.802596159,-424.71228582,-237.043423047519,-237.109758920472
,22.5,-424.802666468,-424.802691792,-424.71228582,-237.294355171759,-237.360843323721
,23,-424.802757894,-424.802783275,-424.71228582,-237.534394098294,-237.601031903643
,23.5,-424.802845435,-424.80287087,-424.71228582,-237.764232958701,-237.831012541021
,24,-424.802929334,-424.802954822,-424.71228582,-237.98450974965,-238.05142848347
