,E_K,G(PCM)_non_opt,G(PCM)_opt,G(Vac),ΔG_non_opt (kJ/mol),ΔG_opt (kJ/mol)
,2,-761.17845707,-761.178459897,-761.132815227,-119.832640539759,-119.840062827136
,2.5,-761.187504195,-761.187508412,-761.132815227,-143.585863608247,-143.596935340276
,3,-761.19353109,-761.193536275,-761.132815227,-159.409474019965,-159.423087235594
,3.5,-761.197836354,-761.197842267,-761.132815227,-170.71294292981,-170.728467509232
,4,-761.201066569,-761.201072976,-761.132815227,-179.193871120304,-179.210692696244
,4.5,-761.203580256,-761.203587168,-761.132815227,-185.793555333415,-185.811702786659
,5,-761.205592321,-761.205599661,-761.132815227,-191.07623118617,-191.095502353
,5.5,-761.207239461,-761.207247169,-761.132815227,-195.400796597135,-195.421033948047
,6,-761.208612803,-761.20862083,-761.132815227,-199.006505469005,-199.027580354089
,6.5,-761.209775439,-761.209783744,-761.132815227,-202.05900582196,-202.080810595974
,7,-761.210772447,-761.210780997,-761.132815227,-204.676649926893,-204.69909794867
,7.5,-761.211636893,-761.211645661,-761.132815227,-206.946252554211,-206.969272934818
,8,-761.212393586,-761.212402548,-761.132815227,-208.932949722958,-208.956479450474
,8.5,-761.213061504,-761.213070641,-761.132815227,-210.686568165028,-210.710557354591
,9,-761.213655413,-761.213664707,-761.132815227,-212.245876006747,-212.270277400165
,9.5,-761.214186975,-761.214196412,-761.132815227,-213.641491825101,-213.666268664871
,10,-761.214665523,-761.21467509,-761.132815227,-214.897919407804,-214.923037562494
,10.5,-761.215098615,-761.215108301,-761.132815227,-216.035002280515,-216.060432869637
,11,-761.215492436,-761.215502232,-761.132815227,-217.068979158457,-217.094698552466
,11.5,-761.215852099,-761.215861996,-761.132815227,-218.013274221198,-218.039258790548
,12,-761.216181865,-761.216191854,-761.132815227,-218.879074722124,-218.905300837867
,12.5,-761.216485313,-761.216495389,-761.132815227,-219.675777324923,-219.702231858805
,13,-761.216765475,-761.216775632,-761.132815227,-220.411342543772,-220.438009743261
,13.5,-761.217024933,-761.217035164,-761.132815227,-221.092549418883,-221.119410905377
,14,-761.217265901,-761.217276202,-761.132815227,-221.725210806682,-221.752256077995
,14.5,-761.217490287,-761.217500654,-761.132815227,-222.314336159963,-222.341554714208
,15,-761.217699748,-761.217710175,-761.132815227,-222.864275931522,-222.891652015868
,15.5,-761.217895724,-761.217906209,-761.132815227,-223.378810841096,-223.406339204599
,16,-761.218079477,-761.218090017,-761.132815227,-223.861254269062,-223.888927035009
,16.5,-761.218252117,-761.218262708,-761.132815227,-224.314520520198,-224.342327186403
,17,-761.218414566,-761.218425262,-761.132815227,-224.74103030461,-224.769112648342
,17.5,-761.218567804,-761.218578546,-761.132815227,-225.143356612453,-225.171559729083
,18,-761.218712546,-761.21872333,-761.132815227,-225.52337667549,-225.551690063132
,18.5,-761.218849478,-761.218860304,-761.132815227,-225.882891586802,-225.911315245454
,19,-761.218979217,-761.218990083,-761.132815227,-226.223521279225,-226.252049957944
,19.5,-761.219102316,-761.219113218,-761.132815227,-226.546717654503,-226.575340851104
,20,-761.21921927,-761.219230208,-761.132815227,-226.853780334925,-226.882498049407
,20.5,-761.21933053,-761.219341502,-761.132815227,-227.145893420226,-227.174700401945
,21,-761.219436501,-761.219447505,-761.132815227,-227.42412023844,-227.453011235855
,21.5,-761.219537551,-761.219548587,-761.132815227,-227.689426973052,-227.718401986461
,22,-761.219634017,-761.219645082,-761.132815227,-227.942698417322,-227.971749570608
,22.5,-761.219726202,-761.219737295,-761.132815227,-228.184730097873,-228.213854764967
,23,-761.219814385,-761.219825506,-761.132815227,-228.416254529107,-228.445452710307
,23.5,-761.219898822,-761.219909969,-761.132815227,-228.637943838976,-228.667210283042
,24,-761.219979747,-761.219990919,-761.132815227,-228.850412394159,-228.879744475618
,24.5,-761.220057374,-761.220068569,-761.132815227,-229.054222051598,-229.083614519506
,25,-761.2201319,-761.220143097,-761.132815227,-229.249890034617,-229.279287753766
,25.5,-761.220203508,-761.220214727,-761.132815227,-229.437896810232,-229.46735229006
,26,-761.220272367,-761.220283607,-761.132815227,-229.618686087064,-229.648196702696
,26.5,-761.22033863,-761.220349891,-761.132815227,-229.792659567079,-229.822225317919
,27,-761.220402443,-761.220413702,-761.132815227,-229.960200573046,-229.989761072942
,27.5,-761.220463939,-761.220475217,-761.132815227,-230.121658296301,-230.151268680758
,28,-761.220523242,-761.220534539,-761.132815227,-230.27735829923,-230.307018568249
,28.5,-761.220580466,-761.220591781,-761.132815227,-230.42759988831,-230.457307416419
,29,-761.220635721,-761.220647053,-761.132815227,-230.572671868725,-230.602424030154
,29.5,-761.220689104,-761.220700453,-761.132815227,-230.71282891393,-230.742625708679
,30,-761.220740711,-761.220752076,-761.132815227,-230.848323071609,-230.878161874803
,30.5,-761.220790628,-761.220802009,-761.132815227,-230.979380135324,-231.009260946067
,31,-761.220838936,-761.220850333,-761.132815227,-231.106212769787,-231.136135588975
,31.5,-761.220885713,-761.220897125,-761.132815227,-231.229025764785,-231.258987966051
,32,-761.220931031,-761.220942456,-761.132815227,-231.348008155485,-231.378004488481
,32.5,-761.220974955,-761.220986394,-761.132815227,-231.463330599943,-231.493363689843
,33,-761.22101755,-761.221028985,-761.132815227,-231.57516375562,-231.605186343334
,33.5,-761.221058875,-761.221070324,-761.132815227,-231.683662526547,-231.713721871464
,34,-761.221098986,-761.221110448,-761.132815227,-231.788973940939,-231.819067417288
,34.5,-761.221137936,-761.22114941,-761.132815227,-231.891237150295,-231.921362132605
,35,-761.221175775,-761.22118726,-761.132815227,-231.990583429699,-232.020737292497
,35.5,-761.221212548,-761.221224046,-761.132815227,-232.087130926577,-232.117318920808
,36,-761.221248302,-761.22125981,-761.132815227,-232.181003039301,-232.211217288549
