,E_K,G(PCM)_non_opt,G(PCM)_opt,G(Vac),ΔG_non_opt (kJ/mol),ΔG_opt (kJ/mol)
,2,-1352.22373141,-1352.22376301,-1352.18553273,-100.29061906066,-100.373584848169
,2.5,-1352.2312342,-1352.2312743,-1352.18553273,-119.989191204517,-120.09447373842
,3,-1352.23622982,-1352.23627612,-1352.18553273,-133.105189516388,-133.226750147591
,3.5,-1352.23979925,-1352.23985058,-1352.18553273,-142.476726553538,-142.611493447758
,4,-1352.24247879,-1352.24253424,-1352.18553273,-149.511857751505,-149.657441704301
,4.5,-1352.24456526,-1352.24462412,-1352.18553273,-154.989883901903,-155.144420808572
,5,-1352.24623641,-1352.24629829,-1352.18553273,-159.377487558424,-159.539953473608
,5.5,-1352.24760528,-1352.24766985,-1352.18553273,-162.971455196082,-163.140983705122
,6,-1352.24874728,-1352.24881415,-1352.18553273,-165.969775739473,-166.145342897607
,6.5,-1352.24971458,-1352.2497835,-1352.18553273,-168.509421502439,-168.690370934545
,7,-1352.25054449,-1352.25061528,-1352.18553273,-170.688349875457,-170.87420899183
,7.5,-1352.25126437,-1352.25133678,-1352.18553273,-172.578394527258,-172.768506953372
,8,-1352.25189479,-1352.25196869,-1352.18553273,-174.23356198537,-174.427586405709
,8.5,-1352.25245145,-1352.25252676,-1352.18553273,-175.695072592783,-175.892798967211
,9,-1352.25294661,-1352.25302318,-1352.18553273,-176.995114974458,-177.196149478618
,9.5,-1352.25338993,-1352.25346761,-1352.18553273,-178.159051456949,-178.363000265887
,10,-1352.25378915,-1352.25386788,-1352.18553273,-179.207203407761,-179.41390899078
,10.5,-1352.25415056,-1352.25423029,-1352.18553273,-180.156085217852,-180.365416300762
,11,-1352.25447928,-1352.25455997,-1352.18553273,-181.019139446286,-181.230991009021
,11.5,-1352.25477956,-1352.2548611,-1352.18553273,-181.807524466559,-182.021607703636
,12,-1352.25505494,-1352.25513731,-1352.18553273,-182.530534546271,-182.746796948252
,12.5,-1352.25530839,-1352.25539149,-1352.18553273,-183.195967419749,-183.414146436465
,13,-1352.25554245,-1352.25562623,-1352.18553273,-183.810491855892,-184.030456212559
,13.5,-1352.25575924,-1352.25584371,-1352.18553273,-184.379673914688,-184.601449865427
,14,-1352.25596062,-1352.25604571,-1352.18553273,-184.908397023894,-185.131800785079
,14.5,-1352.25614818,-1352.25623388,-1352.18553273,-185.400835729095,-185.625841044814
,15,-1352.25632328,-1352.25640954,-1352.18553273,-185.860560708999,-186.087036304466
,15.5,-1352.25648714,-1352.2565739,-1352.18553273,-186.29077507327,-186.518563418385
,16,-1352.2566408,-1352.25672808,-1352.18553273,-186.694209341868,-186.923362946664
,16.5,-1352.25678518,-1352.25687288,-1352.18553273,-187.073278973953,-187.303535288859
,17,-1352.25692111,-1352.25700927,-1352.18553273,-187.430163134429,-187.661627179512
,17.5,-1352.2570493,-1352.25713788,-1352.18553273,-187.766725928596,-187.999292683192
,18,-1352.25717039,-1352.25725938,-1352.18553273,-188.084647675142,-188.318290884532
,18.5,-1352.25728497,-1352.25737434,-1352.18553273,-188.385477419166,-188.620118318598
,19,-1352.25739353,-1352.25748327,-1352.18553273,-188.670501655595,-188.906113989755
,19.5,-1352.25749655,-1352.25758666,-1352.18553273,-188.940980624641,-189.177564393528
,20,-1352.25759444,-1352.25768488,-1352.18553273,-189.197990780502,-189.435440964049
,20.5,-1352.25768757,-1352.25777832,-1352.18553273,-189.442503557904,-189.680767646674
,21,-1352.25777628,-1352.25786734,-1352.18553273,-189.67541162742,-189.914489621414
,21.5,-1352.25786087,-1352.25795224,-1352.18553273,-189.897502638958,-190.13739453698
,22,-1352.25794164,-1352.25803331,-1352.18553273,-190.109564241231,-190.350243789758
,22.5,-1352.25801883,-1352.25811075,-1352.18553273,-190.312226555837,-190.55356247889
,23,-1352.25809267,-1352.25818485,-1352.18553273,-190.506093446074,-190.748111998967
,23.5,-1352.25816338,-1352.25825581,-1352.18553273,-190.69174252291,-190.934417450925
,24,-1352.25823115,-1352.25832383,-1352.18553273,-190.869672630767,-191.113003933905
,24.5,-1352.25829616,-1352.25838908,-1352.18553273,-191.04035635995,-191.284317782298
,25,-1352.25835859,-1352.2584517,-1352.18553273,-191.204266299567,-191.448726567533
,25.5,-1352.25841857,-1352.2585119,-1352.18553273,-191.361743765733,-191.606781643472
,26,-1352.25847625,-1352.25856979,-1352.18553273,-191.513182582804,-191.758771815001
,26.5,-1352.25853176,-1352.25862551,-1352.18553273,-191.658924065701,-191.905064652952
,27,-1352.25858522,-1352.25867917,-1352.18553273,-191.799283274028,-192.045948961616
,27.5,-1352.25863674,-1352.25873089,-1352.18553273,-191.93454901327,-192.181739800597
