,E_K,G(PCM)_non_opt,G(PCM)_opt,G(Vac),ΔG_non_opt (kJ/mol),ΔG_opt (kJ/mol)
,2,-7.37456348849,,-7.2764095721,-257.703068220377,-257.703068220377
,2.5,-7.39419432113,,-7.2764095721,-309.243811464363,-309.243811464363
,3,-7.40728155225,,-7.2764095721,-343.604331535031,-343.604331535031
,3.5,-7.41662957911,,-7.2764095721,-368.147572316752,-368.147572316752
,4,-7.42364060179,,-7.2764095721,-386.555009558682,-386.555009558682
,4.5,-7.42909362094,,-7.2764095721,-400.871909155799,-400.871909155799
,5,-7.43345603722,,-7.2764095721,-412.325431353973,-412.325431353973
,5.5,-7.43702528754,,-7.2764095721,-421.696496641433,-421.696496641433
,6,-7.43999966324,,-7.2764095721,-429.505718852033,-429.505718852033
,6.5,-7.44251644299,,-7.2764095721,-436.113523078945,-436.113523078945
,7,-7.444673683,,-7.2764095721,-441.777355862306,-441.777355862306
,7.5,-7.44654329118,,-7.2764095721,-446.686011391052,-446.686011391052
,8,-7.44817919846,,-7.2764095721,-450.981085300329,-450.981085300329
,8.5,-7.44962264617,,-7.2764095721,-454.770856685554,-454.770856685554
,9,-7.45090571088,,-7.2764095721,-458.139542568433,-458.139542568433
,9.5,-7.4520537162,,-7.2764095721,-461.153630076891,-461.153630076891
,10,-7.45308692105,,-7.2764095721,-463.866308997284,-463.866308997284
,10.5,-7.45402172547,,-7.2764095721,-466.320637628072,-466.320637628072
,11,-7.45487154771,,-7.2764095721,-468.551845579263,-468.551845579263
,11.5,-7.45564747239,,-7.2764095721,-470.589035516234,-470.589035516234
,12,-7.45635873671,,-7.2764095721,-472.456459703889,-472.456459703889
,12.5,-7.4570130999,,-7.2764095721,-474.174489997488,-474.174489997488
,13,-7.45761712748,,-7.2764095721,-475.760364167166,-475.760364167166
,13.5,-7.45817641229,,-7.2764095721,-477.228766212109,-477.228766212109
,14,-7.45869574819,,-7.2764095721,-478.592282409824,-478.592282409824
,14.5,-7.45917926784,,-7.2764095721,-479.86176305749,-479.86176305749
,15,-7.45963055286,,-7.2764095721,-481.046611696987,-481.046611696987
,15.5,-7.46005272272,,-7.2764095721,-482.15501849555,-482.15501849555
,16,-7.46044850697,,-7.2764095721,-483.194149885609,-483.194149885609
,16.5,-7.4608203043,,-7.2764095721,-484.170303626807,-484.170303626807
,17,-7.46117023121,,-7.2764095721,-485.08903658904,-485.08903658904
,17.5,-7.4615001623,,-7.2764095721,-485.955270533863,-485.955270533863
,18,-7.46181176389,,-7.2764095721,-486.773380383768,-486.773380383768
,18.5,-7.46210652215,,-7.2764095721,-487.547268077494,-487.547268077494
,19,-7.46238576683,,-7.2764095721,-488.280424873136,-488.280424873136
,19.5,-7.46265069127,,-7.2764095721,-488.975983884387,-488.975983884387
,20,-7.46290236949,,-7.2764095721,-489.636764950325,-489.636764950325
,20.5,-7.46314177072,,-7.2764095721,-490.26531278393,-490.26531278393
,21,-7.4633697719,,-7.2764095721,-490.863929790819,-490.863929790819
,21.5,-7.46358716838,,-7.2764095721,-491.434704162101,-491.434704162101
,22,-7.4637946832,,-7.2764095721,-491.979534239004,-491.979534239004
,22.5,-7.46399297514,,-7.2764095721,-492.500149648158,-492.500149648158
,23,-7.46418264569,,-7.2764095721,-492.998129601315,-492.998129601315
,23.5,-7.46436424516,,-7.2764095721,-493.474918937159,-493.474918937159
,24,-7.46453827799,,-7.2764095721,-493.931842062712,-493.931842062712
,24.5,-7.46470520743,,-7.2764095721,-494.370115240659,-494.370115240659
,25,-7.4648654597,,-7.2764095721,-494.790857511445,-494.790857511445
,25.5,-7.46501942757,,-7.2764095721,-495.195100092541,-495.195100092541
,26,-7.4651674736,,-7.2764095721,-495.583794885089,-495.583794885089
,26.5,-7.46530993298,,-7.2764095721,-495.957821930296,-495.957821930296
,27,-7.46544711609,,-7.2764095721,-496.317996130726,-496.317996130726
,27.5,-7.46557931073,,-7.2764095721,-496.665073105168,-496.665073105168
,28,-7.46570678413,,-7.2764095721,-496.999754465879,-496.999754465879
,28.5,-7.46582978478,,-7.2764095721,-497.322692623255,-497.322692623255
,29,-7.46594854403,,-7.2764095721,-497.634494986625,-497.634494986625
,29.5,-7.46606327754,,-7.2764095721,-497.935727771237,-497.935727771237
,30,-7.46617418661,,-7.2764095721,-498.226919490158,-498.226919490158
,30.5,-7.46628145931,,-7.2764095721,-498.5085639211,-498.5085639211
,31,-7.4663852716,,-7.2764095721,-498.781123046969,-498.781123046969
,31.5,-7.46648578826,,-7.2764095721,-499.045029497592,-499.045029497592
,32,-7.46658316378,,-7.2764095721,-499.300688886403,-499.300688886403
,32.5,-7.46667754313,,-7.2764095721,-499.548481832076,-499.548481832076
,33,-7.4667690625,,-7.2764095721,-499.788765901403,-499.788765901403
,33.5,-7.46685784995,,-7.2764095721,-500.021877315864,-500.021877315864
,34,-7.466944026,,-7.2764095721,-500.248132500668,-500.248132500668
,34.5,-7.4670277042,,-7.2764095721,-500.467829581297,-500.467829581297
,35,-7.46710899159,,-7.2764095721,-500.681249591226,-500.681249591226
,35.5,-7.46718798919,,-7.2764095721,-500.888657758428,-500.888657758428
,36,-7.46726479242,,-7.2764095721,-501.090304608071,-501.090304608071
,36.5,-7.46733949145,,-7.2764095721,-501.286426881456,-501.286426881456
,37,-7.46741217159,,-7.2764095721,-501.477248559955,-501.477248559955
,37.5,-7.46748291359,,-7.2764095721,-501.662981652656,-501.662981652656
,38,-7.46755179396,,-7.2764095721,-501.843827036541,-501.843827036541
,38.5,-7.46761888523,,-7.2764095721,-502.019975139089,-502.019975139089
,39,-7.46768425621,,-7.2764095721,-502.191606620931,-502.191606620931
,39.5,-7.46774797223,,-7.2764095721,-502.358893005953,-502.358893005953
,40,-7.46781009535,,-7.2764095721,-502.521997232665,-502.521997232665
,40.5,-7.46787068456,,-7.2764095721,-502.681074179285,-502.681074179285
,41,-7.46792979599,,-7.2764095721,-502.836271215104,-502.836271215104
,41.5,-7.46798748305,,-7.2764095721,-502.987728568059,-502.987728568059
,42,-7.46804379661,,-7.2764095721,-503.135579797314,-503.135579797314
,42.5,-7.46809878514,,-7.2764095721,-503.279952160833,-503.279952160833
,43,-7.46815249487,,-7.2764095721,-503.420967035465,-503.420967035465
,43.5,-7.46820496989,,-7.2764095721,-503.558740179486,-503.558740179486
,44,-7.4682562523,,-7.2764095721,-503.693382126426,-503.693382126426
,44.5,-7.4683063823,,-7.2764095721,-503.824998421374,-503.824998421374
,45,-7.46835539829,,-7.2764095721,-503.953689883513,-503.953689883513
,45.5,-7.46840333701,,-7.2764095721,-504.079552973698,-504.079552973698
,46,-7.46845023359,,-7.2764095721,-504.202679925728,-504.202679925728
,46.5,-7.46849612163,,-7.2764095721,-504.323158956395,-504.323158956395
,47,-7.46854103334,,-7.2764095721,-504.441074633035,-504.441074633035
,47.5,-7.46858499953,,-7.2764095721,-504.556507847293,-504.556507847293
,48,-7.46862804977,,-7.2764095721,-504.669536235194,-504.669536235194
,48.5,-7.46867021237,,-7.2764095721,-504.780234124628,-504.780234124628
,49,-7.4687115145,,-7.2764095721,-504.888672850422,-504.888672850422
,49.5,-7.46875198226,,-7.2764095721,-504.994920938114,-504.994920938114
,50,-7.46879164065,,-7.2764095721,-505.099044025197,-505.099044025197
,50.5,-7.46883051374,,-7.2764095721,-505.201105307443,-505.201105307443
,51,-7.4688686246,,-7.2764095721,-505.301165355127,-505.301165355127
,51.5,-7.46890599545,,-7.2764095721,-505.399282506855,-505.399282506855
,52,-7.46894264763,,-7.2764095721,-505.495512790783,-505.495512790783
,52.5,-7.46897860167,,-7.2764095721,-505.589910108422,-505.589910108422
,53,-7.46901387733,,-7.2764095721,-505.682526339642,-505.682526339642
,53.5,-7.46904849364,,-7.2764095721,-505.7734114477,-505.7734114477
,54,-7.4690824689,,-7.2764095721,-505.86261347924,-505.86261347924
,54.5,-7.46911582076,,-7.2764095721,-505.950178774329,-505.950178774329
,55,-7.46914856623,,-7.2764095721,-506.036151992717,-506.036151992717
,55.5,-7.46918072169,,-7.2764095721,-506.120576140084,-506.120576140084
,56,-7.46921230294,,-7.2764095721,-506.203492699327,-506.203492699327
,56.5,-7.46924332523,,-7.2764095721,-506.284941709312,-506.284941709312
,57,-7.46927380328,,-7.2764095721,-506.364961817397,-506.364961817397
,57.5,-7.46930375126,,-7.2764095721,-506.443590226907,-506.443590226907
,58,-7.46933318291,,-7.2764095721,-506.520863012209,-506.520863012209
,58.5,-7.46936211145,,-7.2764095721,-506.596814882408,-506.596814882408
,59,-7.46939054967,,-7.2764095721,-506.671479417643,-506.671479417643
,59.5,-7.46941850995,,-7.2764095721,-506.744889121598,-506.744889121598
,60,-7.46944600421,,-7.2764095721,-506.817075290231,-506.817075290231
,60.5,-7.46947304403,,-7.2764095721,-506.888068326825,-506.888068326825
,61,-7.46949964057,,-7.2764095721,-506.957897531956,-506.957897531956
,61.5,-7.46952580465,,-7.2764095721,-507.026591313531,-507.026591313531
,62,-7.46955154673,,-7.2764095721,-507.094177134274,-507.094177134274
,62.5,-7.46957687693,,-7.2764095721,-507.160681564241,-507.160681564241
,63,-7.46960180507,,-7.2764095721,-507.226130385841,-507.226130385841
,63.5,-7.46962634063,,-7.2764095721,-507.290548488806,-507.290548488806
,64,-7.46965049283,,-7.2764095721,-507.353960080245,-507.353960080245
,64.5,-7.46967427058,,-7.2764095721,-507.416388553359,-507.416388553359
,65,-7.46969768251,,-7.2764095721,-507.477856566209,-507.477856566209
,65.5,-7.46972073701,,-7.2764095721,-507.538386146739,-507.538386146739
,66,-7.4697434422,,-7.2764095721,-507.597998614002,-507.597998614002
,66.5,-7.46976580596,,-7.2764095721,-507.656714656935,-507.656714656935
,67,-7.46978783593,,-7.2764095721,-507.714554334359,-507.714554334359
,67.5,-7.46980953953,,-7.2764095721,-507.771537127477,-507.771537127477
,68,-7.46983092397,,-7.2764095721,-507.827681966143,-507.827681966143
,68.5,-7.46985199621,,-7.2764095721,-507.883007123835,-507.883007123835
,69,-7.46987276307,,-7.2764095721,-507.937530506457,-507.937530506457
,69.5,-7.46989323112,,-7.2764095721,-507.991269363546,-507.991269363546
,70,-7.46991340677,,-7.2764095721,-508.04424052455,-508.04424052455
,70.5,-7.46993329624,,-7.2764095721,-508.096460320079,-508.096460320079
,71,-7.46995290558,,-7.2764095721,-508.147944634405,-508.147944634405
,71.5,-7.46997224066,,-7.2764095721,-508.198708879211,-508.198708879211
,72,-7.4699913072,,-7.2764095721,-508.248768072355,-508.248768072355
,72.5,-7.47001011075,,-7.2764095721,-508.298136785358,-508.298136785358
,73,-7.47002865672,,-7.2764095721,-508.346829222176,-508.346829222176
,73.5,-7.47004695036,,-7.2764095721,-508.394859166679,-508.394859166679
,74,-7.47006499679,,-7.2764095721,-508.442240061423,-508.442240061423
,74.5,-7.47008280099,,-7.2764095721,-508.488984981403,-508.488984981403
,75,-7.47010036779,,-7.2764095721,-508.535106607775,-508.535106607775
,75.5,-7.47011770193,,-7.2764095721,-508.580617385411,-508.580617385411
,76,-7.47013480798,,-7.2764095721,-508.625529312845,-508.625529312845
,76.5,-7.47015169043,,-7.2764095721,-508.669854178566,-508.669854178566
,77,-7.47016835362,,-7.2764095721,-508.713603377247,-508.713603377247
,77.5,-7.47018480181,,-7.2764095721,-508.756788093513,-508.756788093513
,78,-7.47020103912,,-7.2764095721,-508.799419144422,-508.799419144422
,78.355,-7.47021244181,,-7.2764095721,-508.829356902457,-508.829356902457
,78.5,-7.47021706958,,-7.2764095721,-508.841507110741,-508.841507110741
,79,-7.47023289713,,-7.2764095721,-508.883062336934,-508.883062336934
,79.5,-7.47024852559,,-7.2764095721,-508.924094852412,-508.924094852412
,80,-7.47026395869,,-7.2764095721,-508.96461445029,-508.96461445029
