System,E_K,G(PCM)_non_opt,G(PCM)_opt,G(Vac),ΔG_non_opt (kJ/mol),ΔG_opt (kJ/mol)
,2,-941.07080365,-941.070806414,-941.027350628,-114.085891879776,-114.093148760637
,2.5,-941.079404803,-941.07940915,-941.027350628,-136.668215640742,-136.679628687394
,3,-941.085137585,-941.08514169,-941.027350628,-151.719632488618,-151.730410164519
,3.5,-941.089236104,-941.089241488,-941.027350628,-162.480292483624,-162.494428173521
,4,-941.092314207,-941.092320707,-941.027350628,-170.561850678902,-170.578916426408
,4.5,-941.094712001,-941.094719465,-941.027350628,-176.857257866757,-176.876854595975
,5,-941.096633295,-941.096641593,-941.027350628,-181.901614495236,-181.923400890947
,5.5,-941.098207727,-941.098216746,-941.027350628,-186.03528508172,-186.058964462622
,6,-941.099521733,-941.099531378,-941.027350628,-189.485207308897,-189.510530252778
,6.5,-941.100635181,-941.100645369,-941.027350628,-192.408564587699,-192.435313177412
,7,-941.101590859,-941.101601521,-941.027350628,-194.917696794345,-194.945689871139
,7.5,-941.102420171,-941.102431252,-941.027350628,-197.095055118491,-197.124148279624
,8,-941.10314669,-941.103158137,-941.027350628,-199.002530462562,-199.032584556535
,8.5,-941.103788459,-941.103800228,-941.027350628,-200.687494715423,-200.718394219983
,9,-941.104359525,-941.10437158,-941.027350628,-202.186828269752,-202.218478667614
,9.5,-941.104870988,-941.104883296,-941.027350628,-203.52967417184,-203.561988820942
,10,-941.105331736,-941.105344273,-941.027350628,-204.739367861602,-204.772283750022
,10.5,-941.105748971,-941.105761711,-941.027350628,-205.834818187172,-205.868267052045
,11,-941.106128592,-941.106141514,-941.027350628,-206.831512970769,-206.86543967659
,11.5,-941.106475474,-941.106488561,-941.027350628,-207.742251523097,-207.776611436248
,12,-941.106793686,-941.106806921,-941.027350628,-208.577717001578,-208.612465489038
,12.5,-941.107086646,-941.107100016,-941.027350628,-209.346883364458,-209.381986294198
,13,-941.107357251,-941.107370744,-941.027350628,-210.057356683933,-210.092782549991
,13.5,-941.10760797,-941.107621574,-941.027350628,-210.715619318015,-210.751336614432
,14,-941.10784092,-941.107854624,-941.027350628,-211.327229449679,-211.363209296264
,14.5,-941.108057928,-941.108071725,-941.027350628,-211.896983867006,-211.93320788486
,15,-941.108260578,-941.108274462,-941.027350628,-212.429041360961,-212.46549379755
,15.5,-941.108450253,-941.108464214,-941.027350628,-212.927032997595,-212.963687597605
,16,-941.108628161,-941.108642194,-941.027350628,-213.394130380314,-213.430974016385
,16.5,-941.108795365,-941.108809462,-941.027350628,-213.833124415526,-213.870136083287
,17,-941.108952804,-941.108966962,-941.027350628,-214.246480446954,-214.283652270288
,17.5,-941.109101311,-941.109115525,-941.027350628,-214.636385516215,-214.673704367465
,18,-941.109241625,-941.109255892,-941.027350628,-215.004779866995,-215.042237869744
,18.5,-941.109374407,-941.109388724,-941.027350628,-215.353398954979,-215.390988232812
,19,-941.109500249,-941.109514609,-941.027350628,-215.683797075612,-215.721499249928
,19.5,-941.10961968,-941.109634082,-941.027350628,-215.997363118419,-216.035175563447
,20,-941.10973318,-941.10974762,-941.027350628,-216.295357323013,-216.333269537165
,20.5,-941.109841179,-941.109855656,-941.027350628,-216.578908654222,-216.616918012026
,21,-941.109944069,-941.10995858,-941.027350628,-216.84904630805,-216.887144932791
,21.5,-941.110042203,-941.110056743,-941.027350628,-217.106697085903,-217.144871849925
,22,-941.110135905,-941.110150477,-941.027350628,-217.352711649313,-217.390970429627
,22.5,-941.110225469,-941.110240066,-941.027350628,-217.587861895654,-217.626186313063
,23,-941.110311162,-941.110325788,-941.027350628,-217.812848832772,-217.851249389759
