,E_K,G(PCM)_non_opt,G(PCM)_opt,G(Vac),ΔG_non_opt (kJ/mol),ΔG_opt (kJ/mol)
,2,-1827.97811198,-1827.9782122,-1827.94228247,-94.0703641731567,-94.333491742864
,2.5,-1827.98522613,-1827.98536039,-1827.94228247,-112.748562152514,-113.101061729061
,3,-1827.9899934,-1827.99015809,-1827.94228247,-125.265027630612,-125.697421159787
,3.5,-1827.99341832,-1827.9936097,-1827.94228247,-134.257153720757,-134.759621834029
,4,-1827.99600134,-1827.99621593,-1827.94228247,-141.038871697482,-141.602277656755
,4.5,-1827.99802057,-1827.99825519,-1827.94228247,-146.340359255019,-146.956353970911
,5,-1827.99964331,-1827.9998955,-1827.94228247,-150.600862475667,-151.262987220009
,5.5,-1828.00097648,-1828.00124393,-1827.94228247,-154.101099777275,-154.803289645656
,6,-1828.00209146,-1828.00237239,-1827.94228247,-157.028479321312,-157.766060923723
,6.5,-1828.00303794,-1828.00333077,-1827.94228247,-159.513462182822,-160.282287230781
,7,-1828.00385161,-1828.00415502,-1827.94228247,-161.649752442539,-162.446355276214
,7.5,-1828.00455865,-1828.00487154,-1827.94228247,-163.506085679597,-164.327578249525
,8,-1828.0051788,-1828.00550022,-1827.94228247,-165.13428925662,-165.978177337694
,8.5,-1828.00572716,-1828.00605636,-1827.94228247,-166.574008217378,-167.438322685426
,9,-1828.00621558,-1828.00655179,-1827.94228247,-167.856354731441,-168.739073952256
,9.5,-1828.00665339,-1828.00699603,-1827.94228247,-169.005824711898,-169.905425894505
,10,-1828.00704804,-1828.00739657,-1827.94228247,-170.041978128675,-170.957043504553
,10.5,-1828.00740565,-1828.00775961,-1827.94228247,-170.980883040729,-171.910204879103
,11,-1828.00773117,-1828.00809021,-1827.94228247,-171.835535670345,-172.778195047119
,11.5,-1828.00802881,-1828.00839254,-1827.94228247,-172.616989371549,-173.571962340768
,12,-1828.00830198,-1828.00867,-1827.94228247,-173.33419709702,-174.300433459802
,12.5,-1828.00855358,-1828.00892561,-1827.94228247,-173.994772796264,-174.971537412735
,13,-1828.00878605,-1828.00916187,-1827.94228247,-174.605122688612,-175.591837948402
,13.5,-1828.00900153,-1828.00938086,-1827.94228247,-175.170865342293,-176.166796105527
,14,-1828.00920181,-1828.00958443,-1827.94228247,-175.696700402036,-176.701269058941
,14.5,-1828.00938844,-1828.00977416,-1827.94228247,-176.186697392761,-177.199405098316
,15,-1828.00956277,-1828.00995139,-1827.94228247,-176.644400737862,-177.664722392327
,15.5,-1828.00972598,-1828.01011735,-1827.94228247,-177.072908527532,-178.100450305953
,16,-1828.00987909,-1828.01027306,-1827.94228247,-177.4748987711,-178.509266848524
,16.5,-1828.01002303,-1828.01041947,-1827.94228247,-177.852813183638,-178.893666245144
,17,-1828.01015859,-1828.01055734,-1827.94228247,-178.208725909387,-179.255643875303
,17.5,-1828.01028649,-1828.01068744,-1827.94228247,-178.544527308364,-179.597221373207
,18,-1828.01040735,-1828.01081038,-1827.94228247,-178.861845189822,-179.920000293986
,18.5,-1828.01052174,-1828.01092675,-1827.94228247,-179.162176089421,-180.225529682141
,19,-1828.01063016,-1828.01103705,-1827.94228247,-179.446832755615,-180.515122287917
,19.5,-1828.01073308,-1828.01114176,-1827.94228247,-179.717049174493,-180.790038351524
,20,-1828.0108309,-1828.0112413,-1827.94228247,-179.973875545534,-181.051380581281
,20.5,-1828.010924,-1828.01133604,-1827.94228247,-180.218309558185,-181.300120413706
,21,-1828.0110127,-1828.01142631,-1827.94228247,-180.451191372982,-181.537124262265
,21.5,-1828.0110973,-1828.01151242,-1827.94228247,-180.673308639238,-181.763206032779
,22,-1828.0111781,-1828.01159467,-1827.94228247,-180.88544900686,-181.979153375154
,22.5,-1828.01125532,-1828.01167329,-1827.94228247,-181.088190085622,-182.185570153884
,23,-1828.01132922,-1828.01174852,-1827.94228247,-181.282214506557,-182.383086488773
,23.5,-1828.01140001,-1828.01182057,-1827.94228247,-181.46807362293,-182.572253734879
,24,-1828.01146787,-1828.01188965,-1827.94228247,-181.64624002564,-182.753623247255
,24.5,-1828.01153298,-1828.01195594,-1827.94228247,-181.817186304991,-182.927667615607
,25,-1828.01159551,-1828.0120196,-1827.94228247,-181.981358794777,-183.094806920204
,25.5,-1828.0116556,-1828.01208077,-1827.94228247,-182.139125065829,-183.255408730686
,26,-1828.0117134,-1828.01213962,-1827.94228247,-182.290878942505,-183.409919382039
,26.5,-1828.01176903,-1828.01219625,-1827.94228247,-182.436935485604,-183.558601424433
